STATE,COUNTY,PRECINCT,DEM,REP
VA,ACCOMACK COUNTY,PROVISIONAL (02),0.0,0.0
VA,ACCOMACK COUNTY,AB - CENTRAL ABSENTEE PRECINCT (02),733.0,439.0
VA,ACCOMACK COUNTY,101 - CHINCOTEAGUE (02),465.0,974.0
VA,ACCOMACK COUNTY,201 - ATLANTIC (02),149.0,452.0
VA,ACCOMACK COUNTY,202 - GREENBACKVILLE (02),268.0,558.0
VA,ACCOMACK COUNTY,301 - NEW CHURCH (02),508.0,459.0
VA,ACCOMACK COUNTY,401 - BLOXOM (02),103.0,268.0
VA,ACCOMACK COUNTY,402 - PARKSLEY (02),211.0,392.0
VA,ACCOMACK COUNTY,403 - SAXIS (02),34.0,122.0
VA,ACCOMACK COUNTY,501 - MAPPSVILLE (02),288.0,201.0
VA,ACCOMACK COUNTY,502 - RUE (02),306.0,108.0
VA,ACCOMACK COUNTY,601 - ACCOMAC (02),407.0,533.0
VA,ACCOMACK COUNTY,602 - TANGIER (02),14.0,188.0
VA,ACCOMACK COUNTY,701 - NANDUA (02),714.0,830.0
VA,ACCOMACK COUNTY,801 - BOBTOWN (02),193.0,337.0
VA,ACCOMACK COUNTY,802 - MELFA (02),345.0,326.0
VA,ACCOMACK COUNTY,803 - WACHAPREAGUE (02),138.0,314.0
VA,ACCOMACK COUNTY,901 - PAINTER (02),851.0,524.0
VA,JAMES CITY COUNTY,PROVISIONAL (02),0.0,0.0
VA,JAMES CITY COUNTY,AB - CENTRAL ABSENTEE PRECINCT (02),639.0,496.0
VA,JAMES CITY COUNTY,104- BERKELEY D (02),380.0,321.0
VA,JAMES CITY COUNTY,201 - JAMESTOWN A (02),390.0,268.0
VA,JAMES CITY COUNTY,202 - JAMESTOWN B (02),3.0,0.0
VA,JAMES CITY COUNTY,501 - ROBERTS A (02),746.0,251.0
VA,JAMES CITY COUNTY,502 - ROBERTS B (02),896.0,1441.0
VA,JAMES CITY COUNTY,503 - ROBERTS C (02),265.0,119.0
VA,JAMES CITY COUNTY,504 - ROBERTS D (02),1145.0,1005.0
VA,NORTHAMPTON COUNTY,PROVISIONAL (02),0.0,0.0
VA,NORTHAMPTON COUNTY,AB - CENTRAL ABSENTEE PRECINCT (02),295.0,246.0
VA,NORTHAMPTON COUNTY,101 - PRECINCT 1-1 (02),562.0,586.0
VA,NORTHAMPTON COUNTY,201 - PRECINCT 2-1 (02),597.0,257.0
VA,NORTHAMPTON COUNTY,301 - PRECINCT 3-1 (02),518.0,239.0
VA,NORTHAMPTON COUNTY,401 - PRECINCT 4-1 (02),436.0,491.0
VA,NORTHAMPTON COUNTY,501 - PRECINCT 5-1 (02),397.0,492.0
VA,YORK COUNTY,PROVISIONAL (02),0.0,0.0
VA,YORK COUNTY,AB - CENTRAL ABSENTEE PRECINCT (02),1309.0,1173.0
VA,YORK COUNTY,101 - QUEENS LAKE (02),774.0,727.0
VA,YORK COUNTY,102 - WALLER MILL (02),908.0,1016.0
VA,YORK COUNTY,103 - MAGRUDER (02),1471.0,779.0
VA,YORK COUNTY,201 - COVENTRY (02),1220.0,1356.0
VA,YORK COUNTY,202 - KILN CREEK (02),635.0,721.0
VA,YORK COUNTY,301 - SEAFORD (02),659.0,1786.0
VA,YORK COUNTY,302 - YORKTOWN (02),755.0,1103.0
VA,YORK COUNTY,303 - EDGEHILL (02),1005.0,888.0
VA,YORK COUNTY,401 - HARWOODS MILL (02),795.0,1504.0
VA,YORK COUNTY,402 - DARE (02),768.0,1540.0
VA,YORK COUNTY,403 - GRAFTON (02),481.0,726.0
VA,YORK COUNTY,501 - TABB (02),987.0,1495.0
VA,YORK COUNTY,502 - BETHEL (02),1180.0,1239.0
VA,HAMPTON CITY,PROVISIONAL (02),0.0,0.0
VA,HAMPTON CITY,AB - CENTRAL ABSENTEE PRECINCT (02),447.0,304.0
VA,HAMPTON CITY,110 - PHOEBUS (02),305.0,157.0
VA,HAMPTON CITY,201 - BOOKER (02),935.0,896.0
VA,HAMPTON CITY,202 - BRYAN (02),1047.0,768.0
VA,HAMPTON CITY,203 - BURBANK (02),800.0,487.0
VA,HAMPTON CITY,205 - ASBURY (02),1088.0,1498.0
VA,HAMPTON CITY,209 - LANGLEY (02),901.0,626.0
VA,HAMPTON CITY,213 - PHILLIPS (02),1243.0,1177.0
VA,HAMPTON CITY,215 - TYLER (02),34.0,11.0
VA,NORFOLK CITY,PROVISIONAL (02),0.0,0.0
VA,NORFOLK CITY,AB - CENTRAL ABSENTEE PRECINCT (02),778.0,428.0
VA,NORFOLK CITY,102 - OCEAN VIEW SCHOOL (02),506.0,387.0
VA,NORFOLK CITY,103 - NORTHSIDE (02),700.0,538.0
VA,NORFOLK CITY,104 - TITUSTOWN (02),584.0,83.0
VA,NORFOLK CITY,106 - SECOND PRESBYTERIAN (02),1074.0,592.0
VA,NORFOLK CITY,215 - SUBURBAN PARK (02),826.0,476.0
VA,NORFOLK CITY,217 - WESLEY (02),789.0,319.0
VA,NORFOLK CITY,406 - BARRON BLACK (02),623.0,385.0
VA,NORFOLK CITY,501 - BAYVIEW (02),872.0,707.0
VA,NORFOLK CITY,503 - EAST OCEAN VIEW (02),1025.0,770.0
VA,NORFOLK CITY,504 - LARRYMORE (02),845.0,497.0
VA,NORFOLK CITY,505 - LITTLE CREEK (02),485.0,446.0
VA,NORFOLK CITY,506 - OCEAN VIEW CENTER (02),1201.0,575.0
VA,NORFOLK CITY,507 - PRETLOW (02),873.0,577.0
VA,NORFOLK CITY,509 - TARRALLTON (02),670.0,794.0
VA,NORFOLK CITY,510 - THIRD PRESBYTERIAN (02),794.0,811.0
VA,NORFOLK CITY,511 - CROSSROADS (02),844.0,626.0
VA,NORFOLK CITY,512 - AZALEA GARDENS (02),499.0,404.0
VA,POQUOSON CITY,PROVISIONAL (02),0.0,0.0
VA,POQUOSON CITY,AB - CENTRAL ABSENTEE PRECINCT (02),204.0,394.0
VA,POQUOSON CITY,001 - CENTRAL (02),425.0,1261.0
VA,POQUOSON CITY,002 - EASTERN (02),443.0,1359.0
VA,POQUOSON CITY,003 - WESTERN (02),481.0,1414.0
VA,VIRGINIA BEACH CITY,PROVISIONAL (02),0.0,0.0
VA,VIRGINIA BEACH CITY,AB - CENTRAL ABSENTEE PRECINCT (02),8180.0,6719.0
VA,VIRGINIA BEACH CITY,001 - NORTH BEACH (02),893.0,1400.0
VA,VIRGINIA BEACH CITY,002 - SOUTH BEACH (02),873.0,876.0
VA,VIRGINIA BEACH CITY,003 - OCEAN LAKES (02),546.0,681.0
VA,VIRGINIA BEACH CITY,004 - LINKHORN (02),722.0,1086.0
VA,VIRGINIA BEACH CITY,005 - SEATACK (02),956.0,647.0
VA,VIRGINIA BEACH CITY,006 - ALANTON (02),795.0,1163.0
VA,VIRGINIA BEACH CITY,007 - KINGSTON (02),521.0,722.0
VA,VIRGINIA BEACH CITY,008 - LONDON BRIDGE (02),963.0,945.0
VA,VIRGINIA BEACH CITY,009 - TRANTWOOD (02),673.0,1069.0
VA,VIRGINIA BEACH CITY,010 - GREAT NECK (02),638.0,1371.0
VA,VIRGINIA BEACH CITY,011 - CAPE HENRY (02),1040.0,1122.0
VA,VIRGINIA BEACH CITY,012 - PLAZA (02),961.0,686.0
