,COUNTY,PRECINCT,STATE,DEM,REP
0,ASHLEY,BEECH CREEK,AR,0,0
1,ASHLEY,BOYDELL,AR,0,0
2,ASHLEY,COOTER,AR,0,0
3,ASHLEY,CROSSROADS,AR,0,4
4,ASHLEY,CW1,AR,8,4
5,ASHLEY,CW2,AR,5,5
6,ASHLEY,CW3,AR,0,0
7,ASHLEY,FH CITY,AR,0,0
8,ASHLEY,FH RURAL,AR,0,0
9,ASHLEY,HAMBURG RURAL,AR,0,0
10,ASHLEY,HICKORY GROVE,AR,0,0
11,ASHLEY,HW1,AR,2,0
12,ASHLEY,HW2,AR,0,0
13,ASHLEY,HW3,AR,3,3
14,ASHLEY,MILO,AR,0,0
15,ASHLEY,MIST,AR,0,0
16,ASHLEY,MONTROSE CITY,AR,0,0
17,ASHLEY,MONTROSE RURAL,AR,0,0
18,ASHLEY,MT ZION,AR,0,0
19,ASHLEY,NCE,AR,2,5
20,ASHLEY,NCW,AR,0,0
21,ASHLEY,PARKDALE CITY,AR,0,0
22,ASHLEY,PARKDALE RURAL,AR,0,0
23,ASHLEY,PORTLAND CITY,AR,1,3
24,ASHLEY,PORTLAND RURAL,AR,0,0
25,ASHLEY,SNY/TRA,AR,0,0
26,ASHLEY,VOTECH,AR,0,0
27,ASHLEY,WCR,AR,1,2
28,ASHLEY,WILMOT CITY,AR,3,1
29,ASHLEY,WILMOT RURAL,AR,0,0
30,BRADLEY,BANKS CITY,AR,10,19
31,BRADLEY,BANKS RURAL,AR,0,0
32,BRADLEY,EAGLE LAKE,AR,13,29
33,BRADLEY,HERMITAGE CITY,AR,0,0
34,BRADLEY,HERMITAGE RURAL,AR,0,0
35,BRADLEY,JERSEY,AR,0,0
36,BRADLEY,JOHNSVILLE,AR,0,0
37,BRADLEY,MARION,AR,1,29
38,BRADLEY,NORTH,AR,0,0
39,BRADLEY,SOUTH,AR,14,101
40,BRADLEY,SPRINGHILL,AR,0,0
41,BRADLEY,WARD 1,AR,121,61
42,BRADLEY,WARD 2,AR,0,0
43,BRADLEY,WARD 3,AR,0,0
44,CALHOUN,CHAMBERSVILLE,AR,0,0
45,CALHOUN,CHAMBERSVILLE WEST,AR,0,0
46,CALHOUN,CHAMPAGNOLLE,AR,0,0
47,CALHOUN,DR. RHINE PARK,AR,3,17
48,CALHOUN,HAMPTON CITY,AR,0,0
49,CALHOUN,HAMPTON RURAL,AR,0,0
50,CALHOUN,HAMPTON SOUTH CITY,AR,39,26
51,CALHOUN,HAMPTON SOUTH RURAL,AR,0,3
52,CALHOUN,HARRELL CITY,AR,0,0
53,CALHOUN,HARRELL RURAL 7,AR,0,0
54,CALHOUN,HARRELL RURAL 8,AR,23,28
55,CALHOUN,LOCUST,AR,0,0
56,CALHOUN,LOCUST NORTH,AR,0,0
57,CALHOUN,THORNTON CITY,AR,59,49
58,CALHOUN,THORNTON RURAL,AR,0,0
59,CALHOUN,TINSMAN CITY,AR,5,15
60,CALHOUN,TINSMAN RURAL,AR,0,0
61,CALHOUN,TINSMAN WEST,AR,2,31
62,CALHOUN,WATSON ADDITION,AR,0,0
63,CALHOUN,WOODBERRY,AR,0,0
64,CLARK,AMITY CITY,AR,0,0
65,CLARK,ARKADELPHIA WARD 1,AR,0,0
66,CLARK,ARKADELPHIA WARD 2,AR,0,0
67,CLARK,ARKADELPHIA WARD 3,AR,13,8
68,CLARK,ARKADELPHIA WARD 4,AR,0,0
69,CLARK,ARKADELPHIA WARD 5,AR,0,0
70,CLARK,CADDO VALLEY WARDS 1-3,AR,0,0
71,CLARK,CENTRAL,AR,0,0
72,CLARK,CURTIS,AR,1,0
73,CLARK,EAST COUNTY,AR,0,0
74,CLARK,GUM SPRINGS INSIDE/OUTSIDE,AR,0,0
75,CLARK,GURDON GENERAL,AR,0,0
76,CLARK,GURDON WARDS 1-5,AR,0,0
77,CLARK,HOLLYWOOD,AR,0,0
78,CLARK,NORTH COUNTY,AR,3,8
79,CLARK,NORTHEAST COUNTY,AR,0,0
80,CLARK,OKOLONA CITY,AR,0,0
81,CLARK,SOUTH COUNTY,AR,4,1
82,CLARK,WEST COUNTY,AR,0,0
83,CLARK,WHELEN SPRINGS,AR,0,0
84,CLEVELAND,BOWMAN,AR,0,0
85,CLEVELAND,HARPER,AR,0,0
86,CLEVELAND,HUDGIN,AR,0,0
87,CLEVELAND,HURRICANE,AR,11,114
88,CLEVELAND,KINGSLAND INSIDE,AR,0,0
89,CLEVELAND,KINGSLAND OUTSIDE,AR,12,98
90,CLEVELAND,LEE,AR,0,0
91,CLEVELAND,MILLER,AR,0,0
92,CLEVELAND,NIVEN,AR,0,0
93,CLEVELAND,REDLAND,AR,0,0
94,CLEVELAND,RISON INSIDE,AR,0,0
95,CLEVELAND,RISON OUTSIDE,AR,0,0
96,CLEVELAND,ROWELL,AR,0,0
97,CLEVELAND,SALINE,AR,0,0
98,CLEVELAND,SMITH,AR,0,0
99,CLEVELAND,WHITEOAK,AR,0,0
100,CLEVELAND,WHITEVILLE,AR,28,171
101,COLUMBIA,COLUMBIA NORTH,AR,0,0
102,COLUMBIA,COLUMBIA SOUTH,AR,77,120
103,COLUMBIA,EMERSON CITY,AR,25,37
104,COLUMBIA,EMERSON TOWNSHIP,AR,0,0
105,COLUMBIA,MAG WARD 1,AR,58,69
106,COLUMBIA,MAG WARD 2,AR,104,26
107,COLUMBIA,MAG WARD 3,AR,0,0
108,COLUMBIA,MAG WARD 4,AR,0,0
109,COLUMBIA,MCNEIL CITY,AR,26,31
110,COLUMBIA,MCNEIL TOWNSHIP,AR,0,0
111,COLUMBIA,TAYLOR,AR,20,115
112,COLUMBIA,TAYLOR TOWNSHIP,AR,0,0
113,COLUMBIA,WALDO,AR,0,0
