,STATE,COUNTY,PRECINCT,DEM,REP
0,MN,3,5,0,0
1,MN,3,10,0,0
2,MN,3,15,0,0
3,MN,3,20,0,0
4,MN,3,25,0,0
5,MN,3,30,0,0
6,MN,3,35,0,0
7,MN,3,40,243,216
8,MN,3,45,0,0
9,MN,3,50,0,0
10,MN,3,51,185,165
11,MN,3,55,455,317
12,MN,3,65,0,0
13,MN,3,75,682,563
14,MN,3,82,0,0
15,MN,3,85,0,0
16,MN,3,90,0,0
17,MN,3,95,42,35
18,MN,3,100,0,0
19,MN,3,105,0,0
20,MN,3,110,0,0
21,MN,3,115,0,0
22,MN,3,120,0,0
23,MN,3,125,0,0
24,MN,3,130,0,0
25,MN,3,135,0,0
26,MN,3,140,0,0
27,MN,3,145,0,0
28,MN,3,150,0,0
29,MN,3,155,160,165
30,MN,3,160,0,0
31,MN,3,165,0,0
32,MN,3,170,134,117
33,MN,3,175,0,0
34,MN,3,180,0,0
35,MN,3,185,34,40
36,MN,3,190,0,0
37,MN,3,195,94,73
38,MN,3,200,0,0
39,MN,3,205,0,0
40,MN,3,210,0,0
41,MN,3,215,0,0
42,MN,3,220,0,0
43,MN,3,225,22,10
44,MN,3,230,0,0
45,MN,3,235,9,20
46,MN,3,240,0,0
47,MN,4,5,0,0
48,MN,4,10,0,0
49,MN,4,15,0,0
50,MN,4,20,0,0
51,MN,4,25,0,0
52,MN,4,30,0,0
53,MN,4,35,0,0
54,MN,4,40,0,0
55,MN,4,45,29,7
56,MN,4,60,0,0
57,MN,4,75,0,0
58,MN,4,90,430,386
59,MN,4,100,0,0
60,MN,4,115,0,0
61,MN,4,120,0,0
62,MN,4,125,0,0
63,MN,4,130,0,0
64,MN,4,140,0,0
65,MN,4,145,159,137
66,MN,4,150,0,0
67,MN,4,155,0,0
68,MN,4,172,0,0
69,MN,4,180,0,0
70,MN,4,195,350,17
71,MN,4,200,0,0
72,MN,4,202,214,6
73,MN,4,205,0,0
74,MN,4,215,0,0
75,MN,4,220,14,21
76,MN,4,225,0,0
77,MN,4,230,0,0
78,MN,4,275,0,0
79,MN,4,280,0,0
80,MN,4,290,25,26
81,MN,4,295,0,0
82,MN,4,300,15,13
83,MN,6,5,52,20
84,MN,6,10,31,18
85,MN,6,15,0,0
86,MN,6,20,0,0
87,MN,6,25,75,71
88,MN,6,30,0,0
89,MN,6,31,47,29
90,MN,6,35,96,47
91,MN,6,40,6,3
92,MN,6,45,0,0
93,MN,6,50,0,0
94,MN,6,55,21,26
95,MN,6,56,0,0
96,MN,6,60,0,0
97,MN,6,65,0,0
98,MN,6,70,0,0
99,MN,6,75,21,39
100,MN,6,80,0,0
101,MN,6,85,140,135
102,MN,6,86,0,0
103,MN,6,90,0,0
104,MN,6,95,59,24
105,MN,6,100,0,0
106,MN,12,5,92,24
107,MN,12,10,313,199
108,MN,12,15,0,0
109,MN,12,20,0,0
110,MN,12,25,247,110
111,MN,12,30,0,0
112,MN,12,35,0,0
113,MN,12,40,0,0
114,MN,12,45,74,43
115,MN,12,50,0,0
116,MN,12,55,0,0
117,MN,12,60,0,0
118,MN,12,65,0,0
119,MN,12,70,85,29
120,MN,12,75,544,321
121,MN,12,90,0,0
122,MN,12,105,0,0
123,MN,12,110,0,0
124,MN,12,115,0,0
125,MN,12,120,0,0
126,MN,12,125,0,0
127,MN,12,130,0,0
128,MN,12,135,37,61
129,MN,14,5,0,0
130,MN,14,10,198,93
131,MN,14,15,0,0
132,MN,14,20,0,0
133,MN,14,25,49,14
134,MN,14,30,0,0
135,MN,14,35,0,0
136,MN,14,40,0,0
137,MN,14,45,0,0
138,MN,14,50,0,0
139,MN,14,55,0,0
140,MN,14,60,0,0
141,MN,14,65,0,0
142,MN,14,70,0,0
143,MN,14,75,0,0
144,MN,14,80,0,0
145,MN,14,85,0,0
146,MN,14,90,0,0
147,MN,14,95,0,0
148,MN,14,100,31,27
149,MN,14,105,400,244
150,MN,14,110,0,0
151,MN,14,115,0,0
152,MN,14,120,58,30
153,MN,14,125,56,17
154,MN,14,130,54,42
155,MN,14,135,0,0
156,MN,14,140,52,62
157,MN,14,145,0,0
158,MN,14,150,0,0
159,MN,14,155,0,0
160,MN,14,160,0,0
161,MN,14,165,585,294
162,MN,14,170,0,0
163,MN,14,175,145,56
164,MN,14,180,0,0
165,MN,14,185,0,0
166,MN,14,190,0,0
167,MN,14,195,0,0
168,MN,14,200,0,0
169,MN,14,205,0,0
170,MN,14,210,0,0
171,MN,14,212,445,269
172,MN,14,214,635,366
173,MN,14,215,0,0
174,MN,14,217,0,0
175,MN,14,220,0,0
176,MN,14,225,0,0
177,MN,14,230,0,0
178,MN,14,235,0,0
179,MN,14,240,0,0
180,MN,14,245,47,21
181,MN,14,250,0,0
182,MN,14,255,0,0
183,MN,14,260,129,43
184,MN,14,265,25,19
185,MN,14,270,0,0
186,MN,15,5,188,154
187,MN,15,10,26,24
188,MN,15,15,0,0
189,MN,15,20,0,0
190,MN,15,25,156,165
191,MN,15,30,0,0
192,MN,15,35,64,62
193,MN,15,40,31,28
194,MN,15,45,0,0
195,MN,15,50,0,0
196,MN,15,55,0,0
197,MN,15,56,0,0
198,MN,15,60,66,68
199,MN,15,65,0,0
200,MN,15,70,0,0
201,MN,15,75,61,85
202,MN,15,80,0,0
203,MN,15,85,0,0
204,MN,15,90,0,0
205,MN,15,95,0,0
206,MN,15,100,0,0
207,MN,15,105,85,97
208,MN,15,110,0,0
209,MN,15,115,28,15
210,MN,15,120,0,0
211,MN,15,125,0,0
212,MN,15,130,27,18
213,MN,15,135,0,0
214,MN,15,140,18,15
215,MN,17,5,0,0
216,MN,17,10,16,43
217,MN,17,15,0,0
218,MN,17,35,0,0
219,MN,17,47,19,21
220,MN,17,50,83,67
221,MN,17,55,0,0
222,MN,17,60,0,0
223,MN,17,90,0,0
224,MN,17,100,13,20
225,MN,17,105,0,0
226,MN,17,110,0,0
227,MN,17,115,0,0
228,MN,17,120,0,0
229,MN,17,125,0,0
230,MN,17,130,0,0
231,MN,17,135,0,0
232,MN,17,140,0,0
233,MN,17,145,0,0
234,MN,21,5,0,0
235,MN,21,7,0,0
236,MN,21,10,0,0
237,MN,21,15,0,0
238,MN,21,20,0,0
239,MN,21,25,0,0
240,MN,21,27,0,0
241,MN,21,30,533,704
242,MN,21,35,64,84
243,MN,21,40,0,0
244,MN,21,45,0,0
245,MN,21,50,0,0
246,MN,21,55,436,622
247,MN,21,60,95,133
248,MN,21,65,0,0
249,MN,21,70,47,46
250,MN,21,75,0,0
251,MN,21,80,0,0
252,MN,21,85,0,0
253,MN,21,90,0,0
254,MN,21,95,0,0
255,MN,21,100,0,0
256,MN,21,105,0,0
257,MN,21,110,0,0
258,MN,21,115,0,0
259,MN,21,120,0,0
260,MN,21,125,0,0
261,MN,21,130,0,0
262,MN,21,135,0,0
263,MN,21,140,0,0
264,MN,21,145,31,37
265,MN,21,150,0,0
266,MN,21,155,0,0
267,MN,21,160,0,0
268,MN,21,165,0,0
269,MN,21,170,0,0
270,MN,21,175,0,0
271,MN,26,5,0,0
272,MN,26,10,0,0
273,MN,26,15,0,0
274,MN,26,20,0,0
275,MN,26,25,0,0
276,MN,26,30,0,0
277,MN,26,35,0,0
278,MN,26,40,0,0
279,MN,26,45,0,0
280,MN,26,50,0,0
281,MN,26,55,0,0
282,MN,26,60,10,30
283,MN,26,65,53,23
284,MN,26,70,30,9
285,MN,26,75,0,0
286,MN,26,80,0,0
287,MN,26,85,0,0
288,MN,26,90,127,119
289,MN,26,95,0,0
290,MN,26,100,0,0
291,MN,26,105,0,0
292,MN,26,110,0,0
293,MN,26,115,45,27
294,MN,34,5,117,55
295,MN,34,10,239,158
296,MN,34,15,0,0
297,MN,34,20,0,0
298,MN,34,25,0,0
299,MN,34,30,0,0
300,MN,34,35,0,0
301,MN,34,40,46,68
302,MN,34,45,0,0
303,MN,34,50,0,0
304,MN,34,55,0,0
305,MN,34,60,150,129
306,MN,34,65,0,0
307,MN,34,70,258,241
308,MN,34,75,0,0
309,MN,34,80,143,133
310,MN,34,85,0,0
311,MN,34,90,0,0
312,MN,34,95,0,0
313,MN,34,100,45,40
314,MN,34,105,0,0
315,MN,34,110,0,0
316,MN,34,115,742,662
317,MN,34,120,0,0
318,MN,34,125,80,70
319,MN,34,130,0,0
320,MN,34,135,0,0
321,MN,34,140,0,0
322,MN,34,145,0,0
323,MN,34,150,0,0
324,MN,34,155,0,0
325,MN,34,160,0,0
326,MN,34,165,30,18
327,MN,34,170,0,0
328,MN,34,175,299,289
329,MN,34,180,205,129
330,MN,34,185,0,0
331,MN,34,190,0,0
332,MN,34,195,0,0
333,MN,34,200,0,0
334,MN,34,205,0,0
335,MN,34,210,0,0
336,MN,34,215,0,0
337,MN,34,220,0,0
338,MN,34,225,0,0
339,MN,34,230,0,0
340,MN,34,235,113,102
341,MN,35,5,19,19
342,MN,35,10,0,0
343,MN,35,15,0,0
344,MN,35,20,0,0
345,MN,35,25,0,0
346,MN,35,30,35,19
347,MN,35,35,0,0
348,MN,35,40,0,0
349,MN,35,45,0,0
350,MN,35,50,0,0
351,MN,35,55,0,0
352,MN,35,60,0,0
353,MN,35,65,0,0
354,MN,35,70,0,0
355,MN,35,75,0,0
356,MN,35,80,0,0
357,MN,35,85,0,0
358,MN,35,90,0,0
359,MN,35,95,0,0
360,MN,35,100,0,0
361,MN,35,105,0,0
362,MN,35,115,23,6
363,MN,35,118,0,0
364,MN,35,120,0,0
365,MN,35,125,0,0
366,MN,35,130,0,0
367,MN,35,135,0,0
368,MN,35,140,0,0
369,MN,35,145,0,0
370,MN,35,150,0,0
371,MN,35,155,29,4
372,MN,35,160,0,0
373,MN,35,165,0,0
374,MN,35,170,19,3
375,MN,35,175,19,3
376,MN,35,180,0,0
377,MN,35,185,0,0
378,MN,37,5,0,0
379,MN,37,10,0,0
380,MN,37,15,35,16
381,MN,37,20,0,0
382,MN,37,25,0,0
383,MN,37,30,0,0
384,MN,37,35,67,65
385,MN,37,40,0,0
386,MN,37,45,0,0
387,MN,37,60,0,0
388,MN,37,65,0,0
389,MN,37,70,0,0
390,MN,37,75,0,0
391,MN,37,80,0,0
392,MN,37,85,63,27
393,MN,37,90,0,0
394,MN,37,95,0,0
395,MN,37,110,0,0
396,MN,37,115,25,16
397,MN,37,120,0,0
398,MN,37,125,0,0
399,MN,37,130,0,0
400,MN,37,135,0,0
401,MN,37,140,18,25
402,MN,37,145,0,0
403,MN,37,150,0,0
404,MN,37,155,0,0
405,MN,37,160,0,0
406,MN,37,165,0,0
407,MN,39,5,52,51
408,MN,39,10,151,97
409,MN,39,15,0,0
410,MN,39,20,0,0
411,MN,39,30,0,0
412,MN,39,31,0,0
413,MN,39,35,18,18
414,MN,39,40,0,0
415,MN,39,44,0,0
416,MN,39,45,0,0
417,MN,39,46,19,24
418,MN,39,50,0,0
419,MN,39,55,0,0
420,MN,39,65,0,0
421,MN,39,70,0,0
422,MN,39,80,0,0
423,MN,41,5,56,29
424,MN,41,10,0,0
425,MN,41,15,0,0
426,MN,41,20,0,0
427,MN,41,25,0,0
428,MN,41,30,0,0
429,MN,41,35,134,99
430,MN,41,40,0,0
431,MN,41,45,0,0
432,MN,41,50,0,0
433,MN,41,55,0,0
434,MN,41,60,0,0
435,MN,41,65,0,0
436,MN,41,70,0,0
437,MN,41,75,0,0
438,MN,41,80,0,0
439,MN,41,85,0,0
440,MN,41,90,0,0
441,MN,41,95,0,0
442,MN,41,100,18,26
443,MN,42,5,0,0
444,MN,42,10,0,0
445,MN,42,15,0,0
446,MN,42,20,0,0
447,MN,42,25,259,203
448,MN,42,30,0,0
449,MN,42,35,53,43
450,MN,42,40,0,0
451,MN,42,45,0,0
452,MN,42,50,0,0
453,MN,42,55,68,48
454,MN,42,60,0,0
455,MN,42,65,0,0
456,MN,42,70,0,0
457,MN,42,75,47,42
458,MN,42,80,0,0
459,MN,42,85,0,0
460,MN,42,90,0,0
461,MN,42,95,0,0
462,MN,42,105,808,661
463,MN,42,115,0,0
464,MN,42,125,270,255
465,MN,42,130,0,0
466,MN,42,135,46,48
467,MN,42,140,0,0
468,MN,42,145,65,57
469,MN,42,150,0,0
470,MN,42,155,0,0
471,MN,42,160,0,0
472,MN,42,165,0,0
473,MN,42,170,0,0
474,MN,42,180,55,35
475,MN,42,185,50,55
476,MN,43,5,0,0
477,MN,43,10,133,207
478,MN,43,15,0,0
479,MN,43,20,0,0
480,MN,43,25,0,0
481,MN,43,30,0,0
482,MN,43,35,0,0
483,MN,43,40,265,201
484,MN,43,45,0,0
485,MN,43,50,0,0
486,MN,43,55,0,0
487,MN,43,60,132,135
488,MN,43,65,0,0
489,MN,43,70,654,739
490,MN,43,75,0,0
491,MN,43,80,0,0
492,MN,43,95,0,0
493,MN,43,100,0,0
494,MN,43,105,0,0
495,MN,43,110,0,0
496,MN,43,115,0,0
497,MN,43,120,0,0
498,MN,43,125,0,0
499,MN,43,130,0,0
500,MN,43,135,0,0
501,MN,43,140,0,0
