,STATE,COUNTY,PRECINCT,REP,DEM
0,VA,CAROLINE COUNTY,# AB - Central Absentee Precinct,0.0,0.0
1,VA,CAROLINE COUNTY,## Provisional,0.0,0.0
2,VA,CAROLINE COUNTY,101 - BOWLING GREEN,431.0,266.0
3,VA,CAROLINE COUNTY,102 - SPARTA,0.0,0.0
4,VA,CAROLINE COUNTY,201 - NORTH MADISON,0.0,0.0
5,VA,CAROLINE COUNTY,202 - SOUTH MADISON,0.0,0.0
6,VA,CAROLINE COUNTY,301 - PORT ROYAL,0.0,0.0
7,VA,CAROLINE COUNTY,302 - WOODFORD,0.0,0.0
8,VA,CAROLINE COUNTY,401 - DAWN,0.0,0.0
9,VA,CAROLINE COUNTY,402 - CARMEL CHURCH,107.0,247.0
10,VA,CAROLINE COUNTY,501 - WEST MATTAPONI,268.0,391.0
11,VA,CAROLINE COUNTY,502 - MILFORD,270.0,263.0
12,VA,CAROLINE COUNTY,601 - CHILESBURG,275.0,290.0
13,VA,CAROLINE COUNTY,602 - LAKE,0.0,0.0
14,VA,ESSEX COUNTY,# AB - Central Absentee Precinct,0.0,0.0
15,VA,ESSEX COUNTY,## Provisional,0.0,0.0
16,VA,ESSEX COUNTY,101 - GREATER TAPPAHANNOCK,0.0,0.0
17,VA,ESSEX COUNTY,201 - NORTH,0.0,0.0
18,VA,ESSEX COUNTY,301 - SOUTH,488.0,287.0
19,VA,ESSEX COUNTY,401 - CENTRAL,0.0,0.0
20,VA,FAUQUIER COUNTY,# AB - Central Absentee Precinct,0.0,0.0
21,VA,FAUQUIER COUNTY,## Provisional,0.0,0.0
22,VA,FAUQUIER COUNTY,102 - CATLETT,831.0,292.0
23,VA,FAUQUIER COUNTY,104 - LOIS,0.0,0.0
24,VA,FAUQUIER COUNTY,301 - MORRISVILLE,0.0,0.0
25,VA,FAUQUIER COUNTY,303 - BEALETON,680.0,336.0
26,VA,FREDERICKSBURG CITY,# AB - Central Absentee Precinct,0.0,0.0
27,VA,FREDERICKSBURG CITY,## Provisional,5.0,6.0
28,VA,FREDERICKSBURG CITY,101 - PRECINCT 1 - DISTRICT ONE,0.0,0.0
29,VA,FREDERICKSBURG CITY,201 - PRECINCT 1 - DISTRICT TWO,0.0,0.0
30,VA,FREDERICKSBURG CITY,301 - PRECINCT 1 - DISTRICT THREE,0.0,0.0
31,VA,FREDERICKSBURG CITY,401 - PRECINCT 1 - DISTRICT FOUR,0.0,0.0
32,VA,FREDERICKSBURG CITY,402 - PRECINCT 2 - DISTRICT FOUR,0.0,0.0
33,VA,GLOUCESTER COUNTY,# AB - Central Absentee Precinct,0.0,0.0
34,VA,GLOUCESTER COUNTY,## Provisional,0.0,0.0
35,VA,GLOUCESTER COUNTY,101 - HARCUM,0.0,0.0
36,VA,GLOUCESTER COUNTY,102 - SALEM,0.0,0.0
37,VA,GLOUCESTER COUNTY,103 - PEASLEY,0.0,0.0
38,VA,GLOUCESTER COUNTY,201 - COURTHOUSE,0.0,0.0
39,VA,GLOUCESTER COUNTY,202 - BOTETOURT,0.0,0.0
40,VA,GLOUCESTER COUNTY,301 - WHITE MARSH,0.0,0.0
41,VA,GLOUCESTER COUNTY,302 - ROANES,0.0,0.0
42,VA,GLOUCESTER COUNTY,401 - HAYES,0.0,0.0
43,VA,GLOUCESTER COUNTY,402 - SARAHS CREEK,0.0,0.0
44,VA,GLOUCESTER COUNTY,501 - ACHILLES,982.0,412.0
45,VA,GLOUCESTER COUNTY,502 - WALKER,0.0,0.0
46,VA,JAMES CITY COUNTY,# AB - Central Absentee Precinct,0.0,0.0
47,VA,JAMES CITY COUNTY,## Provisional,0.0,0.0
48,VA,JAMES CITY COUNTY,101 - BERKELEY A,0.0,0.0
49,VA,JAMES CITY COUNTY,102 - BERKELEY B,0.0,0.0
50,VA,JAMES CITY COUNTY,103 - BERKELEY C,0.0,0.0
51,VA,JAMES CITY COUNTY,201 - JAMESTOWN A,0.0,0.0
52,VA,JAMES CITY COUNTY,202 - JAMESTOWN B,592.0,683.0
53,VA,JAMES CITY COUNTY,203 - JAMESTOWN C,0.0,0.0
54,VA,JAMES CITY COUNTY,204 - JAMESTOWN D,1188.0,812.0
55,VA,JAMES CITY COUNTY,301 - POWHATAN A,0.0,0.0
56,VA,JAMES CITY COUNTY,302 - POWHATAN B,221.0,257.0
57,VA,JAMES CITY COUNTY,303 - POWHATAN C,0.0,0.0
58,VA,JAMES CITY COUNTY,304 - POWHATAN D,596.0,714.0
59,VA,JAMES CITY COUNTY,401 - STONEHOUSE A,0.0,0.0
60,VA,JAMES CITY COUNTY,402 - STONEHOUSE B,0.0,0.0
61,VA,JAMES CITY COUNTY,403 - STONEHOUSE C,0.0,0.0
62,VA,JAMES CITY COUNTY,501 - ROBERTS A,0.0,0.0
63,VA,JAMES CITY COUNTY,502 - ROBERTS B,0.0,0.0
64,VA,JAMES CITY COUNTY,503 - ROBERTS C,59.0,147.0
65,VA,JAMES CITY COUNTY,504 - ROBERTS D,0.0,0.0
66,VA,KING & QUEEN COUNTY,# AB - Central Absentee Precinct,0.0,0.0
67,VA,KING & QUEEN COUNTY,## Provisional,0.0,0.0
68,VA,KING & QUEEN COUNTY,101 - OWENTON,129.0,221.0
69,VA,KING & QUEEN COUNTY,201 - CLARKS,0.0,0.0
70,VA,KING & QUEEN COUNTY,301 - SHACKLEFORDS,214.0,188.0
71,VA,KING & QUEEN COUNTY,401 - COURTHOUSE,0.0,0.0
72,VA,KING & QUEEN COUNTY,501 - OLDMILL,0.0,0.0
73,VA,KING GEORGE COUNTY,# AB - Central Absentee Precinct,0.0,0.0
74,VA,KING GEORGE COUNTY,## Provisional,8.0,5.0
75,VA,KING GEORGE COUNTY,101 - COURTHOUSE,702.0,375.0
76,VA,KING GEORGE COUNTY,102 - PASSAPATANZY,0.0,0.0
77,VA,KING GEORGE COUNTY,201 - MONROE,1102.0,521.0
78,VA,KING GEORGE COUNTY,301 - DAHLGREN,0.0,0.0
