,STATE,COUNTY,PRECINCT,DEM,REP
0,NC,BLADEN,P40,0,0
1,NC,BLADEN,P10,103,131
2,NC,BLADEN,ABSENTEE,248,403
3,NC,BLADEN,P80,0,0
4,NC,BLADEN,P25,108,104
5,NC,BLADEN,P501,0,0
6,NC,BLADEN,P70,0,0
7,NC,BLADEN,P201,104,347
8,NC,BLADEN,PROVISIONAL,0,0
9,NC,BLADEN,ONE STOP LIBRARY,0,0
10,NC,BLADEN,P45,0,0
11,NC,BLADEN,P60,0,0
12,NC,BLADEN,P202,210,345
13,NC,BLADEN,P15,224,532
14,NC,BLADEN,P35,89,68
15,NC,ANSON,POLK,198,242
16,NC,ANSON,W2,520,221
17,NC,ANSON,GULL,336,188
18,NC,ANSON,LILE,780,432
19,NC,ANSON,W1,0,0
20,NC,ANSON,BURN,206,493
21,NC,ANSON,PEAC,188,505
22,NC,ANSON,MM,0,0
23,NC,ANSON,WS,0,0
24,NC,ANSON,W3,710,451
25,NC,ANSON,ANS,0,0
26,NC,CUMBERLAND,G9A,0,0
27,NC,CUMBERLAND,G6B,104,356
28,NC,CUMBERLAND,ONE STOP D 21-45,0,0
29,NC,CUMBERLAND,ONE STOP C 1-20,0,0
30,NC,CUMBERLAND,ONE STOP A 21-45,0,0
31,NC,CUMBERLAND,CC08,30,66
32,NC,CUMBERLAND,EO61-2,0,0
33,NC,CUMBERLAND,G3B,0,0
34,NC,CUMBERLAND,EO61-1,0,0
35,NC,CUMBERLAND,G6A,323,946
36,NC,CUMBERLAND,SH77,266,364
37,NC,CUMBERLAND,AL51,0,0
38,NC,CUMBERLAND,G9B-2,333,379
39,NC,CUMBERLAND,CC16,0,0
40,NC,CUMBERLAND,ONE STOP B 1-20,276,111
41,NC,CUMBERLAND,ONE STOP A 1-20,2380,1587
42,NC,CUMBERLAND,G3A-1,0,0
43,NC,CUMBERLAND,G3A-2,0,0
44,NC,CUMBERLAND,G1A,0,0
45,NC,CUMBERLAND,ABSENTEE 1-20,200,170
46,NC,CUMBERLAND,PROVISIONAL 21-45,0,0
47,NC,CUMBERLAND,TRANSFER 1-20,0,0
48,NC,CUMBERLAND,G1B,363,673
49,NC,CUMBERLAND,ONE STOP C 21-45,0,0
50,NC,CUMBERLAND,PROVISIONAL 1-20,0,0
51,NC,CUMBERLAND,CC01,0,0
52,NC,CUMBERLAND,ABSENTEE 21-45,0,0
53,NC,CUMBERLAND,G9B-1,0,0
54,NC,CUMBERLAND,G6C,271,450
55,NC,CUMBERLAND,ONE STOP D 1-20,0,0
56,NC,CUMBERLAND,G3C,0,0
57,NC,CUMBERLAND,TRANSFER 21-45,0,0
58,NC,CUMBERLAND,ONE STOP B 21-45,0,0
59,NC,CUMBERLAND,CC05,0,0
60,NC,MECKLENBURG,110,546,377
61,NC,MECKLENBURG,101,0,0
62,NC,MECKLENBURG,070,0,0
63,NC,MECKLENBURG,136,702,715
64,NC,MECKLENBURG,001,680,363
65,NC,MECKLENBURG,226,1201,862
66,NC,MECKLENBURG,CURBSIDE 36-70,0,0
67,NC,MECKLENBURG,CURBSIDE 71-106,15,31
68,NC,MECKLENBURG,PROVISIONAL 1-35,0,0
69,NC,MECKLENBURG,121,0,0
70,NC,MECKLENBURG,CURBSIDE 1-35,0,0
71,NC,MECKLENBURG,057,0,0
72,NC,MECKLENBURG,008,0,0
73,NC,MECKLENBURG,227,0,0
74,NC,MECKLENBURG,103,0,0
75,NC,MECKLENBURG,100,0,0
76,NC,MECKLENBURG,091,0,0
77,NC,MECKLENBURG,139.1,0,0
78,NC,MECKLENBURG,119,579,370
79,NC,MECKLENBURG,071,600,527
80,NC,MECKLENBURG,PROVISIONAL 36-70,0,0
81,NC,MECKLENBURG,019,731,446
82,NC,MECKLENBURG,002,131,27
83,NC,MECKLENBURG,090,563,415
84,NC,MECKLENBURG,233,1333,1355
85,NC,MECKLENBURG,144,1201,906
86,NC,MECKLENBURG,219,645,790
87,NC,MECKLENBURG,218,0,0
88,NC,MECKLENBURG,ABSENTEE BY MAIL 71-106,0,0
89,NC,MECKLENBURG,ABSENTEE BY MAIL 36-70,0,0
90,NC,MECKLENBURG,069,0,0
91,NC,MECKLENBURG,118,0,0
92,NC,MECKLENBURG,131,0,0
93,NC,MECKLENBURG,018,0,0
94,NC,MECKLENBURG,073,689,424
95,NC,MECKLENBURG,072,619,380
96,NC,MECKLENBURG,075,1167,890
97,NC,MECKLENBURG,092,0,0
98,NC,MECKLENBURG,112,0,0
99,NC,MECKLENBURG,137,1674,1579
100,NC,MECKLENBURG,217,847,623
101,NC,MECKLENBURG,114,0,0
102,NC,MECKLENBURG,ABSENTEE BY MAIL 1-35,568,307
103,NC,MECKLENBURG,232,0,0
104,NC,MECKLENBURG,PROVISIONAL 71-106,0,0
105,NC,MECKLENBURG,216,1524,1193
106,NC,MECKLENBURG,220,888,1130
107,NC,MECKLENBURG,048,0,0
108,NC,MECKLENBURG,221,1040,1616
109,NC,MECKLENBURG,236,1095,1624
110,NC,MECKLENBURG,086,0,0
111,NC,MECKLENBURG,076,1144,739
