,COUNTY,PRECINCT,STATE,DEM,REP
0,BANKS,ANDERSON,GA,0,0
1,BANKS,BALDWIN,GA,0,0
2,BANKS,BERLIN,GA,0,0
3,BANKS,BUSHVILLE,GA,0,0
4,BANKS,COLUMBIA,GA,0,0
5,BANKS,DAVIDS,GA,0,0
6,BANKS,GOLDEN HILL,GA,0,0
7,BANKS,GROVE RIVER,GA,0,0
8,BANKS,HOLLINGSWORTH,GA,0,0
9,BANKS,HOMER,GA,0,0
10,BANKS,POPLAR SPRINGS,GA,0,0
11,BANKS,WASHINGTON,GA,0,0
12,BANKS,WILMONTS,GA,0,0
13,CLARKE,'1A W''VILLE TRAIN DEPOT',GA,0,0
14,CLARKE,2A JUDIA J. HARRIS SCH,GA,0,0
15,CLARKE,5D ACC FLEET MGT BLDG,GA,0,0
16,DAWSON,CENTRAL,GA,0,0
17,DAWSON,EAST,GA,0,0
18,DAWSON,WEST,GA,0,0
19,ELBERT,CENTERVILLE,GA,57,244
20,ELBERT,ELBERTON,GA,0,0
21,ELBERT,ELIAM,GA,0,0
22,ELBERT,GAINES,GA,0,0
23,ELBERT,GOSHEN,GA,0,0
24,ELBERT,LONGSTREET,GA,0,0
25,ELBERT,MOSS-RUCKERSVILLE,GA,0,0
26,ELBERT,PETERSBURG,GA,0,0
27,ELBERT,PIKE,GA,0,0
28,ELBERT,WEBBSBORO,GA,0,0
29,ELBERT,WYCHE,GA,0,0
30,FANNIN,COLWELL,GA,0,0
31,FANNIN,FAIRPLAY,GA,0,0
32,FANNIN,FLINTHILL,GA,0,0
33,FANNIN,HEMPTOWN,GA,0,0
34,FANNIN,HOTHOUSE,GA,0,0
35,FANNIN,MINERAL BLUFF,GA,0,0
36,FANNIN,MOBILE,GA,0,0
37,FANNIN,MORGANTON,GA,0,0
38,FANNIN,NOONTOOTLA,GA,0,0
39,FANNIN,SKENIAH,GA,0,0
40,FANNIN,SUGAR CREEK,GA,0,0
41,FANNIN,TOCCOA,GA,0,0
42,FORSYTH,04 CHESTATEE,GA,0,0
43,FORSYTH,05 COAL MOUNTAIN,GA,0,0
44,FORSYTH,06 CROSSROADS,GA,268,1023
45,FORSYTH,27 CONCORD,GA,0,0
46,FRANKLIN,CANON,GA,0,0
47,FRANKLIN,CARNESVILLE,GA,0,0
48,FRANKLIN,LAVONIA,GA,0,0
49,FRANKLIN,NORTHEAST,GA,0,0
50,FRANKLIN,ROYSTON,GA,0,0
51,FRANKLIN,SOUTHWEST,GA,0,0
52,FRANKLIN,WEST FRANKLIN,GA,0,0
53,GILMER,BIG CREEK,GA,0,0
54,GILMER,BOARDTOWN,GA,0,0
55,GILMER,CARTECAY,GA,0,0
56,GILMER,CHERRY LOG,GA,0,0
57,GILMER,EAST ELLIJAY,GA,0,0
58,GILMER,ELLIJAY NORTH,GA,0,0
59,GILMER,ELLIJAY NORTHEAST,GA,0,0
60,GILMER,ELLIJAY SOUTH,GA,0,0
61,GILMER,LEACHES,GA,0,0
62,GILMER,MOUNTAINTOWN,GA,0,0
63,GILMER,TAILS CREEK,GA,0,0
64,GILMER,TOWN CREEK,GA,0,0
65,GILMER,YUKON,GA,0,0
66,HABERSHAM,AMYS CREEK,GA,0,0
67,HABERSHAM,CITY OF BALDWIN,GA,0,0
68,HABERSHAM,DEMOREST,GA,0,0
69,HABERSHAM,HABERSHAM NORTH,GA,0,0
70,HABERSHAM,HABERSHAM SOUTH,GA,0,0
71,HABERSHAM,MUD CREEK,GA,0,0
72,HABERSHAM,TOWN OF MOUNT AIRY,GA,0,0
73,HALL,01-WILSON,GA,0,0
74,HALL,02-CHICOPEE,GA,0,0
75,HALL,03-OAKWOOD I,GA,0,0
76,HALL,04-OAKWOOD II,GA,0,0
77,HALL,05-FLOWERY BRANCH I,GA,0,0
78,HALL,06-FLOWERY BRANCH II,GA,0,0
79,HALL,07-ROBERTS,GA,0,0
80,HALL,08-MORGAN I,GA,0,0
81,HALL,09-MORGAN II,GA,0,0
82,HALL,10-CANDLER,GA,0,0
83,HALL,11-TADMORE,GA,0,0
84,HALL,12-GLADE,GA,226,836
85,HALL,13-LULA,GA,0,0
86,HALL,14-CLERMONT,GA,0,0
87,HALL,15-QUILLIANS,GA,0,0
88,HALL,16-BARK CAMP,GA,0,0
89,HALL,17-CHESTATEE,GA,0,0
90,HALL,18-FORK,GA,0,0
91,HALL,19-WHELCHEL,GA,0,0
92,HALL,20-WEST WHELCHEL,GA,0,0
93,HALL,21-GAINESVILLE I,GA,0,0
94,HALL,22-GAINESVILLE II,GA,0,0
95,HALL,23-GAINESVILLE III,GA,0,0
96,HALL,24-GAINESVILLE IV,GA,0,0
97,HALL,25-GAINESVILLE V,GA,152,285
98,HALL,26-GILLSVILLE,GA,0,0
99,HALL,27-BIG HICKORY,GA,0,0
100,HALL,28-FRIENDSHIP I,GA,0,0
101,HALL,29-FRIENDSHIP II,GA,0,0
102,HALL,30-FRIENDSHIP III,GA,0,0
103,HALL,31-FRIENDSHIP IV,GA,0,0
104,HART,BIO,GA,0,0
105,HART,BOWERSVILLE,GA,0,0
106,HART,COKESBURY,GA,0,0
107,HART,GOLDMINE,GA,0,0
108,HART,HARTWELL,GA,0,0
109,HART,REED CREEK,GA,0,0
110,HART,SHOAL CREEK,GA,0,0
111,JACKSON,CENTRAL JACKSON,GA,0,0
112,JACKSON,NORTH JACKSON,GA,0,0
113,JACKSON,SOUTH JACKSON,GA,430,1532
114,JACKSON,WEST JACKSON,GA,0,0
115,LUMPKIN,DAHLONEGA,GA,0,0
116,MADISON,COLBERT,GA,0,0
117,MADISON,COLLINS,GA,0,0
118,MADISON,COMER,GA,0,0
119,MADISON,DANIELSVILLE,GA,0,0
120,MADISON,FORK,GA,0,0
121,MADISON,HARRISON,GA,0,0
122,MADISON,HULL,GA,0,0
123,MADISON,ILA,GA,0,0
124,MADISON,MILL,GA,0,0
125,MADISON,PAOLI,GA,0,0
126,MADISON,PITTMAN,GA,0,0
127,MADISON,POCA,GA,0,0
128,PICKENS,APPALACHIAN,GA,0,0
129,PICKENS,JASPER,GA,109,356
130,PICKENS,NELSON,GA,0,0
131,PICKENS,REFUGE,GA,0,0
132,PICKENS,SHARPTOP,GA,0,0
133,PICKENS,YELLOW CREEK,GA,0,0
134,RABUN,RABUN,GA,0,0
135,STEPHENS,SENIOR CENTER,GA,0,0
136,TOWNS,HIAWASSEE,GA,0,0
137,TOWNS,MACEDONIA,GA,0,0
138,TOWNS,TATE CITY,GA,0,0
139,TOWNS,YOUNG HARRIS,GA,0,0
140,UNION,BLAIRSVILLE,GA,0,0
141,UNION,CHOESTOE,GA,0,0
142,UNION,COOSA,GA,0,0
143,UNION,DOOLEY,GA,0,0
144,UNION,GUMLOG,GA,0,0
145,UNION,IVY LOG,GA,0,0
146,UNION,JONES CREEK,GA,0,0
147,UNION,OWLTOWN,GA,51,312
148,UNION,PAT COLWELL,GA,0,0
149,UNION,SUCHES,GA,0,0
150,UNION,TRACKROCK,GA,0,0
151,WHITE,BLUE CREEK,GA,0,0
152,WHITE,BLUE RIDGE,GA,0,0
153,WHITE,HELEN,GA,0,0
154,WHITE,MOSSY CREEK,GA,0,0
155,WHITE,MT. YONAH,GA,0,0
156,WHITE,NACOOCHEE,GA,0,0
157,WHITE,ROBERTSTOWN,GA,0,0
158,WHITE,SHOAL CREEK,GA,0,0
159,WHITE,TESNATEE,GA,45,251
160,WHITE,TOWN CREEK,GA,0,0
161,WHITE,WHITE CREEK,GA,0,0
