,STATE,COUNTY,PRECINCT,DEM,REP
0,CO,ADAMS,4253001245,0,0
1,CO,ADAMS,4255601241,3,26
2,CO,ADAMS,4255601246,142,450
3,CO,ADAMS,4255601247,0,0
4,CO,ADAMS,4255601248,0,0
5,CO,ADAMS,4255601249,0,15
6,CO,ADAMS,4255601250,38,175
7,CO,ADAMS,4255601251,0,12
8,CO,ADAMS,6243101150,0,0
9,CO,ADAMS,6243101151,357,418
10,CO,ADAMS,6243101159,267,389
11,CO,ADAMS,6243401075,329,465
12,CO,ADAMS,6243401076,327,389
13,CO,ADAMS,6243401077,175,248
14,CO,ADAMS,6245601071,188,298
15,CO,ADAMS,6245601072,24,80
16,CO,ADAMS,6245601073,228,331
17,CO,ADAMS,6245601074,257,437
18,CO,ADAMS,6245601160,0,0
19,CO,ADAMS,6253001152,279,345
20,CO,ADAMS,6253001153,170,237
21,CO,ADAMS,6253001154,6,25
22,CO,ADAMS,6253001155,97,122
23,CO,ADAMS,6253001156,63,115
24,CO,ADAMS,6253001157,240,313
25,CO,ADAMS,6253001226,42,67
26,CO,ADAMS,6253001229,0,0
27,CO,ADAMS,6253001230,608,222
28,CO,ADAMS,6253001231,409,151
29,CO,ADAMS,6253001232,141,58
30,CO,ADAMS,6253001233,469,192
31,CO,ADAMS,6253001234,314,198
32,CO,ADAMS,6253001235,188,78
33,CO,ADAMS,6253001236,323,220
34,CO,ADAMS,6253001237,0,0
35,CO,ADAMS,6253001238,0,0
36,CO,ADAMS,6253001239,288,213
37,CO,ADAMS,6253001240,336,192
38,CO,ADAMS,6253001242,69,196
39,CO,ADAMS,6253001243,144,377
40,CO,ADAMS,6253101158,0,0
41,CO,ADAMS,6255601161,25,60
42,CO,ADAMS,6255601162,176,428
43,CO,ADAMS,6255601163,0,0
44,CO,ADAMS,6255601164,108,187
45,CO,ADAMS,6255601165,232,381
46,CO,ADAMS,6255601166,96,233
47,CO,ADAMS,6255601167,120,236
48,CO,ADAMS,6255601168,42,63
49,CO,ADAMS,6255601169,97,225
50,CO,ADAMS,6255601170,0,0
51,CO,ADAMS,6255601171,390,327
52,CO,ADAMS,6255601172,64,81
53,CO,ADAMS,6255601173,24,40
54,CO,ADAMS,6255601174,32,102
55,CO,ADAMS,6255601175,260,445
56,CO,ADAMS,6255601176,89,169
57,CO,ADAMS,6255601177,0,0
58,CO,ADAMS,6255601178,0,0
59,CO,ADAMS,6255601179,0,0
