,STATE,COUNTY,PRECINCT,DEM,REP
0,VA,ALBEMARLE COUNTY,# AB - Central Absentee Precinct,0.0,0
1,VA,ALBEMARLE COUNTY,## Provisional,12.0,8
2,VA,ALBEMARLE COUNTY,101 - WOODBROOK,611.0,670
3,VA,ALBEMARLE COUNTY,103 - BRANCHLANDS,256.0,175
4,VA,ALBEMARLE COUNTY,104 - AGNOR-HURT,541.0,374
5,VA,ALBEMARLE COUNTY,105 - DUNLORA,697.0,527
6,VA,ALBEMARLE COUNTY,106 - NORTHSIDE,0.0,0
7,VA,ALBEMARLE COUNTY,201 - JACK JOUETT,458.0,481
8,VA,ALBEMARLE COUNTY,202 - UNIVERSITY,388.0,231
9,VA,ALBEMARLE COUNTY,203 - GEORGETOWN,599.0,297
10,VA,ALBEMARLE COUNTY,204 - BELFIELD,251.0,329
11,VA,ALBEMARLE COUNTY,301 - IVY,1050.0,943
12,VA,ALBEMARLE COUNTY,302 - RED HILL,670.0,578
13,VA,ALBEMARLE COUNTY,304 - EAST IVY,0.0,0
14,VA,ALBEMARLE COUNTY,305 - COUNTRY GREEN,0.0,0
15,VA,ALBEMARLE COUNTY,306 - PORTERS,0.0,0
16,VA,ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,129.0,158
17,VA,ALBEMARLE COUNTY,401 - SCOTTSVILLE,253.0,398
18,VA,ALBEMARLE COUNTY,402 - MONTICELLO,233.0,319
19,VA,ALBEMARLE COUNTY,405 - CALE,0.0,0
20,VA,ALBEMARLE COUNTY,406 - STONE ROBINSON,487.0,917
21,VA,ALBEMARLE COUNTY,501 - KESWICK,281.0,312
22,VA,ALBEMARLE COUNTY,502 - STONY POINT,322.0,423
23,VA,ALBEMARLE COUNTY,503 - HOLLYMEAD,0.0,0
24,VA,ALBEMARLE COUNTY,504 - FREE BRIDGE,899.0,753
25,VA,ALBEMARLE COUNTY,506 - BAKER-BUTLER,595.0,822
26,VA,ALBEMARLE COUNTY,601 - CROZET,909.0,882
27,VA,ALBEMARLE COUNTY,602 - FREE UNION,307.0,347
28,VA,ALBEMARLE COUNTY,603 - EARLYSVILLE,627.0,878
29,VA,ALBEMARLE COUNTY,604 - BROWNSVILLE,872.0,1025
30,VA,APPOMATTOX COUNTY,# AB - Central Absentee Precinct,57.0,112
31,VA,APPOMATTOX COUNTY,## Provisional,,1
32,VA,APPOMATTOX COUNTY,101 - VERA,62.0,280
33,VA,APPOMATTOX COUNTY,102 - PAMPLIN,132.0,472
34,VA,APPOMATTOX COUNTY,201 - CHAP,76.0,142
35,VA,APPOMATTOX COUNTY,202 - SPOUT SPRING,104.0,628
36,VA,APPOMATTOX COUNTY,301 - US  460,65.0,358
37,VA,APPOMATTOX COUNTY,302 - STONEWALL,105.0,374
38,VA,APPOMATTOX COUNTY,401 - COURTHOUSE,0.0,0
39,VA,APPOMATTOX COUNTY,501 - OAKVILLE,151.0,463
40,VA,APPOMATTOX COUNTY,502 - AGEE,73.0,160
41,VA,BEDFORD COUNTY,# AB - Central Absentee Precinct,0.0,0
42,VA,BEDFORD COUNTY,## Provisional,0.0,0
43,VA,BEDFORD COUNTY,101 - GOODVIEW ELEM SCHOOL,0.0,0
44,VA,BEDFORD COUNTY,102 - HARDY VOL FIRE CO,112.0,324
45,VA,BEDFORD COUNTY,103 - CHAMBLISSBURG BAPTIST CHURCH,136.0,497
46,VA,BEDFORD COUNTY,104 - STEWARTSVILLE RESCUE SQUAD,147.0,463
47,VA,BEDFORD COUNTY,201 - BEDFORD CHRISTIAN CHURCH,86.0,289
48,VA,BEDFORD COUNTY,202 - STAUNTON RIVER HIGH SCHOOL,109.0,348
49,VA,BEDFORD COUNTY,203 - MONETA ELEM SCHOOL,226.0,776
50,VA,BEDFORD COUNTY,204 - Quaker BAPTIST CHURCH,69.0,209
51,VA,BEDFORD COUNTY,205 - SAUNDERS VOL FIRE CO,0.0,0
52,VA,BEDFORD COUNTY,302 - BEDFORD REGIONAL WATER AUTH,142.0,557
53,VA,BEDFORD COUNTY,303 - BETHESDA UNITED METHODIST CHURCH,0.0,0
54,VA,BEDFORD COUNTY,305 - HUDDLESTON ELEM SCHOOL,61.0,290
55,VA,BEDFORD COUNTY,602 - SHADY GROVE FIRE DEPARTMENT,132.0,540
56,VA,BEDFORD COUNTY,603 - THAXTON BAPTIST CHURCH #1,37.0,131
57,VA,BEDFORD COUNTY,604 - BEDFORD WELCOME CENTER,253.0,725
58,VA,BEDFORD COUNTY,701 - GOODE VOL RESCUE SQUAD,0.0,0
59,VA,BEDFORD COUNTY,702 - LIBERTY HIGH SCHOOL,0.0,0
60,VA,BEDFORD COUNTY,703 - THAXTON BAPTIST CHURCH #2,86.0,306
61,VA,BEDFORD COUNTY,704 - BEDFORD CENTRAL LIBRARY,296.0,707
62,VA,BRUNSWICK COUNTY,# AB - Central Absentee Precinct,100.0,174
63,VA,BRUNSWICK COUNTY,## Provisional,0.0,0
64,VA,BRUNSWICK COUNTY,101 - BRODNAX,109.0,110
65,VA,BRUNSWICK COUNTY,102 - ROCK STORE,0.0,0
66,VA,BRUNSWICK COUNTY,103 - TILLMAN,107.0,272
67,VA,BRUNSWICK COUNTY,201 - DROMGOOLE,80.0,71
68,VA,BRUNSWICK COUNTY,202 - EDGERTON,260.0,96
69,VA,BRUNSWICK COUNTY,203 - FITZHUGH,212.0,99
70,VA,BRUNSWICK COUNTY,301 - ALBERTA,38.0,60
71,VA,BRUNSWICK COUNTY,302 - DANIELTOWN,207.0,187
72,VA,BRUNSWICK COUNTY,303 - ELMORE,84.0,104
73,VA,BRUNSWICK COUNTY,304 - SEYMOUR,0.0,0
74,VA,BRUNSWICK COUNTY,401 - STURGEON,341.0,260
75,VA,BRUNSWICK COUNTY,402 - KING'S STORE,165.0,61
76,VA,BRUNSWICK COUNTY,501 - TOTARO,431.0,212
77,VA,BUCKINGHAM COUNTY,# AB - Central Absentee Precinct,0.0,0
78,VA,BUCKINGHAM COUNTY,## Provisional,0.0,0
79,VA,BUCKINGHAM COUNTY,101 - NEW CANTON,0.0,0
80,VA,BUCKINGHAM COUNTY,102  - GEORGIA CREEK,44.0,101
81,VA,BUCKINGHAM COUNTY,201 - WHITE HALL,137.0,190
82,VA,BUCKINGHAM COUNTY,301 - CURDSVILLE,126.0,257
83,VA,BUCKINGHAM COUNTY,302 - NEW STORE,41.0,248
84,VA,BUCKINGHAM COUNTY,401 - MAYSVILLE,195.0,356
85,VA,BUCKINGHAM COUNTY,501 - WRIGHTS,68.0,168
86,VA,BUCKINGHAM COUNTY,502 - GLENMORE,161.0,173
87,VA,BUCKINGHAM COUNTY,601 - SLATE RIVER,251.0,207
88,VA,BUCKINGHAM COUNTY,701 - GOLD HILL,0.0,0
89,VA,CAMPBELL COUNTY,# AB - Central Absentee Precinct,127.0,304
90,VA,CAMPBELL COUNTY,## Provisional,0.0,3
91,VA,CAMPBELL COUNTY,101 - BROOKVILLE,0.0,0
92,VA,CAMPBELL COUNTY,102 - NEW LONDON,189.0,935
93,VA,CAMPBELL COUNTY,201 - WALKER,167.0,732
94,VA,CAMPBELL COUNTY,202 - BEDFORD SPRINGS,225.0,1055
95,VA,CAMPBELL COUNTY,301 - EVINGTON,109.0,328
96,VA,CAMPBELL COUNTY,302 - OTTER RIVER,89.0,315
97,VA,CAMPBELL COUNTY,303 - ALTAVISTA,289.0,788
98,VA,CAMPBELL COUNTY,401 - THREE FORKS,121.0,650
99,VA,CAMPBELL COUNTY,402 - COURT HOUSE,0.0,0
100,VA,CAMPBELL COUNTY,501 - SPRING HILL,0.0,0
101,VA,CAMPBELL COUNTY,502 - YELLOW BRANCH,188.0,508
102,VA,CAMPBELL COUNTY,601 - KINGS,192.0,587
103,VA,CAMPBELL COUNTY,602 - CONCORD,270.0,941
104,VA,CAMPBELL COUNTY,701 - BROOKNEAL,0.0,0
105,VA,CAMPBELL COUNTY,702 - GLADYS,209.0,603
106,VA,CAMPBELL COUNTY,703 - MORRIS CHURCH,84.0,298
107,VA,CHARLOTTE COUNTY,# AB - Central Absentee Precinct,0.0,0
108,VA,CHARLOTTE COUNTY,## Provisional,0.0,0
109,VA,CHARLOTTE COUNTY,101 - COUNTY SEAT,0.0,0
110,VA,CHARLOTTE COUNTY,201 - RED OAK WYLLIESBURG,127.0,327
111,VA,CHARLOTTE COUNTY,302 - DRAKES BRANCH,128.0,269
112,VA,CHARLOTTE COUNTY,401 - KEYSVILLE,125.0,376
113,VA,CHARLOTTE COUNTY,501 - CULLEN,0.0,0
114,VA,CHARLOTTE COUNTY,503 - RED HOUSE,70.0,109
115,VA,CHARLOTTE COUNTY,602 - PHENIX,121.0,345
116,VA,CHARLOTTE COUNTY,701 - BACON,99.0,112
117,VA,CHARLOTTE COUNTY,702 - SAXE,68.0,164
118,VA,CHARLOTTESVILLE CITY,# AB - Central Absentee Precinct,593.0,150
119,VA,CHARLOTTESVILLE CITY,## Provisional,6.0,5
120,VA,CHARLOTTESVILLE CITY,101 - RECREATION,1062.0,319
121,VA,CHARLOTTESVILLE CITY,102 - CLARK,1062.0,258
122,VA,CHARLOTTESVILLE CITY,201 - CARVER,838.0,175
123,VA,CHARLOTTESVILLE CITY,202 - WALKER,1298.0,527
124,VA,CHARLOTTESVILLE CITY,301 - BENJAMIN TONSLER,736.0,146
125,VA,CHARLOTTESVILLE CITY,302 - JOHNSON,960.0,357
