STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Alachua,1,381,608
FL,Alachua,2,725,777
FL,Alachua,3,1045,1546
FL,Alachua,4,659,1336
FL,Alachua,5,1240,644
FL,Alachua,6,778,1101
FL,Alachua,7,1123,283
FL,Alachua,8,698,712
FL,Alachua,9,143,235
FL,Alachua,10,647,563
FL,Alachua,11,1081,940
FL,Alachua,12,1259,349
FL,Alachua,13,1634,56
FL,Alachua,14,261,532
FL,Alachua,15,271,365
FL,Alachua,16,673,910
FL,Alachua,17,1209,713
FL,Alachua,18,1064,921
FL,Alachua,19,1341,291
FL,Alachua,20,1008,1379
FL,Alachua,21,1182,874
FL,Alachua,22,1307,978
FL,Alachua,23,733,302
FL,Alachua,24,975,599
FL,Alachua,25,1144,321
FL,Alachua,26,849,418
FL,Alachua,27,1738,322
FL,Alachua,28,2008,156
FL,Alachua,29,938,1198
FL,Alachua,30,1633,275
FL,Alachua,31,2350,1075
FL,Alachua,32,1476,826
FL,Alachua,33,1665,319
FL,Alachua,34,399,412
FL,Alachua,35,618,550
FL,Alachua,36,1272,597
FL,Alachua,37,943,708
FL,Alachua,38,1404,927
FL,Alachua,39,1160,391
FL,Alachua,40,944,802
FL,Alachua,41,750,1141
FL,Alachua,42,1030,1167
FL,Alachua,43,1297,770
FL,Alachua,44,2503,889
FL,Alachua,45,2102,1912
FL,Alachua,46,1226,1421
FL,Alachua,47,997,1420
FL,Alachua,48,1120,606
FL,Alachua,49,683,1016
FL,Alachua,50,873,568
FL,Alachua,51,1299,1047
FL,Alachua,52,945,313
FL,Alachua,53,1145,878
FL,Alachua,54,1703,665
FL,Alachua,55,719,116
FL,Alachua,56,997,1069
FL,Alachua,57,1136,682
FL,Alachua,58,1609,1537
FL,Alachua,59,2261,1154
FL,Alachua,60,606,1600
FL,Alachua,61,1015,686
FL,Alachua,62,951,596
FL,Alachua,63,754,1233
