STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Citrus,100,642,1173
FL,Citrus,101,706,1316
FL,Citrus,102,291,381
FL,Citrus,104,540,793
FL,Citrus,105,631,1014
FL,Citrus,107,733,1195
FL,Citrus,108,803,1599
FL,Citrus,109,783,1648
FL,Citrus,110,1862,2652
FL,Citrus,200,711,1178
FL,Citrus,201,932,1394
FL,Citrus,202,1569,3023
FL,Citrus,203,849,1145
FL,Citrus,204,700,1371
FL,Citrus,205,615,627
FL,Citrus,206,726,739
FL,Citrus,208,451,781
FL,Citrus,300,578,938
FL,Citrus,301,1601,2602
FL,Citrus,302,1378,2054
FL,Citrus,305,1367,1709
FL,Citrus,307,2447,4078
FL,Citrus,400,500,910
FL,Citrus,401,285,435
FL,Citrus,402,715,1002
FL,Citrus,403,1477,1764
FL,Citrus,404,777,1246
FL,Citrus,405,1733,2662
FL,Citrus,406,726,1150
FL,Citrus,407,646,913
FL,Citrus,408,686,1170
