STATE,COUNTY,PRECINCT,DEM,REP
FL,Hernando,1,222,575
FL,Hernando,2,227,731
FL,Hernando,4,793,1546
FL,Hernando,6,537,1554
FL,Hernando,8,523,1210
FL,Hernando,9,308,980
FL,Hernando,10,650,1533
FL,Hernando,12,437,935
FL,Hernando,13,253,484
FL,Hernando,14,950,2085
FL,Hernando,15,765,1186
FL,Hernando,17,551,1328
FL,Hernando,18,315,738
FL,Hernando,19,1093,2127
FL,Hernando,21,549,953
FL,Hernando,23,699,1132
FL,Hernando,24,1164,2473
FL,Hernando,25,700,1241
FL,Hernando,27,848,1608
FL,Hernando,29,618,1033
FL,Hernando,30,380,988
FL,Hernando,31,622,1347
FL,Hernando,33,271,527
FL,Hernando,34,842,1318
FL,Hernando,35,337,733
FL,Hernando,36,314,690
FL,Hernando,37,244,662
FL,Hernando,38,585,1159
FL,Hernando,39,403,563
FL,Hernando,40,883,1546
FL,Hernando,42,431,1020
FL,Hernando,44,979,1794
FL,Hernando,46,325,697
FL,Hernando,47,644,1639
FL,Hernando,48,675,1148
FL,Hernando,53,145,367
FL,Hernando,54,425,923
