STATE,COUNTY,PRECINCT,DEM,REP
FL,Hillsborough,701,1437,3453
FL,Hillsborough,703,183,679
FL,Hillsborough,705,81,307
FL,Hillsborough,706,165,478
FL,Hillsborough,904,694,1070
FL,Hillsborough,905,67,175
FL,Hillsborough,906,81,202
FL,Hillsborough,907,207,459
FL,Hillsborough,908,870,1564
FL,Hillsborough,909,644,1665
FL,Hillsborough,913,701,1057
FL,Hillsborough,917,57,143
FL,Hillsborough,918,70,277
FL,Hillsborough,919,353,509
FL,Hillsborough,921,509,803
FL,Hillsborough,925,248,448
FL,Hillsborough,927,116,285
FL,Hillsborough,929,905,1642
FL,Hillsborough,944,1081,883
FL,Hillsborough,946,994,836
FL,Hillsborough,947,1830,1794
FL,Hillsborough,949,1364,1691
FL,Hillsborough,950,287,417
FL,Hillsborough,951,711,930
FL,Hillsborough,952,495,744
FL,Hillsborough,953,706,1011
FL,Hillsborough,962,154,210
