STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Indian River,1,2,28
FL,Indian River,2,472,162
FL,Indian River,3,208,498
FL,Indian River,4,5,21
FL,Indian River,5,1054,1446
FL,Indian River,6,438,593
FL,Indian River,7,487,779
FL,Indian River,8,1203,1611
FL,Indian River,9,1491,2116
FL,Indian River,10,1791,2296
FL,Indian River,11,442,565
FL,Indian River,12,215,457
FL,Indian River,13,1120,2516
FL,Indian River,14,577,1327
FL,Indian River,15,47,354
FL,Indian River,16,631,2484
FL,Indian River,17,1048,2307
FL,Indian River,18,610,2070
FL,Indian River,19,537,839
FL,Indian River,20,180,245
FL,Indian River,21,1766,278
FL,Indian River,22,741,1586
FL,Indian River,23,723,870
FL,Indian River,24,245,226
FL,Indian River,25,362,743
FL,Indian River,26,619,622
FL,Indian River,27,1189,1758
FL,Indian River,28,1761,2195
FL,Indian River,29,1791,1975
FL,Indian River,30,852,1438
FL,Indian River,31,875,1631
FL,Indian River,32,1454,2819
FL,Indian River,33,502,1172
FL,Indian River,34,848,1193
FL,Indian River,35,771,1396
FL,Indian River,36,392,740
FL,Indian River,37,43,94
