STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Lake,1,312,515
FL,Lake,2,126,292
FL,Lake,3,348,605
FL,Lake,4,481,954
FL,Lake,5,471,875
FL,Lake,6,1010,901
FL,Lake,7,652,1344
FL,Lake,8,1103,1942
FL,Lake,9,338,762
FL,Lake,10,355,710
FL,Lake,11,672,880
FL,Lake,12,730,1219
FL,Lake,13,349,692
FL,Lake,14,1119,1258
FL,Lake,15,1132,802
FL,Lake,16,491,1228
FL,Lake,17,369,798
FL,Lake,18,320,937
FL,Lake,19,431,674
FL,Lake,20,335,479
FL,Lake,21,358,899
FL,Lake,22,2358,2811
FL,Lake,23,1338,1601
FL,Lake,24,248,639
FL,Lake,25,925,1634
FL,Lake,26,630,688
FL,Lake,27,596,73
FL,Lake,28,311,176
FL,Lake,29,417,536
FL,Lake,30,661,1306
FL,Lake,31,757,1053
FL,Lake,32,906,1994
FL,Lake,33,307,544
FL,Lake,34,200,288
FL,Lake,35,508,575
FL,Lake,36,529,661
FL,Lake,37,431,701
FL,Lake,38,701,1347
FL,Lake,39,575,953
FL,Lake,40,751,844
FL,Lake,41,223,512
FL,Lake,42,624,880
FL,Lake,43,1357,1259
FL,Lake,44,612,611
FL,Lake,45,634,781
FL,Lake,46,392,422
FL,Lake,47,870,1306
FL,Lake,48,845,957
FL,Lake,49,605,1109
FL,Lake,50,371,238
FL,Lake,51,171,260
FL,Lake,52,616,627
FL,Lake,53,145,184
FL,Lake,54,265,462
FL,Lake,55,314,322
FL,Lake,56,192,298
FL,Lake,57,607,76
FL,Lake,58,329,406
FL,Lake,59,681,1117
FL,Lake,60,261,318
FL,Lake,61,888,1720
FL,Lake,62,499,896
FL,Lake,63,324,425
FL,Lake,64,255,38
FL,Lake,65,882,1479
FL,Lake,66,447,540
FL,Lake,67,839,1633
FL,Lake,68,715,648
FL,Lake,69,201,409
FL,Lake,70,309,457
FL,Lake,71,145,332
FL,Lake,72,439,531
FL,Lake,73,412,908
FL,Lake,74,416,798
FL,Lake,75,532,958
FL,Lake,76,102,179
FL,Lake,77,105,250
FL,Lake,78,968,1749
FL,Lake,79,1609,1932
FL,Lake,80,657,1082
FL,Lake,81,760,949
FL,Lake,82,1636,878
FL,Lake,83,755,1410
FL,Lake,84,1774,916
FL,Lake,85,350,554
FL,Lake,86,273,772
FL,Lake,87,1376,1696
FL,Lake,88,885,1487
FL,Lake,89,1150,1100
FL,Lake,90,738,868
FL,Lake,91,324,630
FL,Lake,92,343,895
FL,Lake,93,681,1261
FL,Lake,94,540,1329
FL,Lake,95,8,17
FL,Lake,96,400,711
FL,Lake,97,1604,1138
FL,Lake,98,114,180
FL,Lake,99,403,709
FL,Lake,100,834,1749
FL,Lake,101,438,733
FL,Lake,102,437,630
FL,Lake,103,460,726
FL,Lake,104,7,6
