STATE,COUNTY,PRECINCT,DEM,REP
FL,Monroe,1,398,253
FL,Monroe,2,575,344
FL,Monroe,3,518,290
FL,Monroe,4,461,71
FL,Monroe,5,875,515
FL,Monroe,6,630,211
FL,Monroe,7,382,205
FL,Monroe,8,685,224
FL,Monroe,9,571,314
FL,Monroe,10,585,223
FL,Monroe,11,669,475
FL,Monroe,12,451,450
FL,Monroe,13,491,385
FL,Monroe,14,405,475
FL,Monroe,15,559,686
FL,Monroe,16,454,494
FL,Monroe,17,393,373
FL,Monroe,18,264,257
FL,Monroe,19,428,627
FL,Monroe,20,310,374
FL,Monroe,21,260,380
FL,Monroe,22,144,344
FL,Monroe,23,241,409
FL,Monroe,24,312,627
FL,Monroe,25,353,538
FL,Monroe,26,421,719
FL,Monroe,27,353,427
FL,Monroe,28,350,432
FL,Monroe,29,502,746
FL,Monroe,30,318,336
FL,Monroe,31,318,339
FL,Monroe,32,426,506
FL,Monroe,33,392,424
