STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Palm Beach,1018,681,1027
FL,Palm Beach,1022,755,1028
FL,Palm Beach,1026,372,540
FL,Palm Beach,1028,596,794
FL,Palm Beach,1030,32,33
FL,Palm Beach,1032,370,443
FL,Palm Beach,1034,22,58
FL,Palm Beach,1038,827,1170
FL,Palm Beach,1040,80,135
FL,Palm Beach,1044,318,34
FL,Palm Beach,1046,217,63
FL,Palm Beach,1048,392,450
FL,Palm Beach,1050,420,704
FL,Palm Beach,1052,921,972
FL,Palm Beach,1054,706,1139
FL,Palm Beach,1056,520,505
FL,Palm Beach,1058,725,631
FL,Palm Beach,1060,160,157
FL,Palm Beach,1062,610,1120
FL,Palm Beach,1064,81,125
FL,Palm Beach,1068,593,610
FL,Palm Beach,1070,79,67
FL,Palm Beach,1072,752,986
FL,Palm Beach,1074,682,1063
FL,Palm Beach,1076,469,569
FL,Palm Beach,1078,382,862
FL,Palm Beach,1080,75,155
FL,Palm Beach,1082,107,124
FL,Palm Beach,1084,6,44
FL,Palm Beach,1088,8,39
FL,Palm Beach,1094,601,805
FL,Palm Beach,1096,38,86
FL,Palm Beach,1098,292,399
FL,Palm Beach,1100,392,383
FL,Palm Beach,1102,633,701
FL,Palm Beach,1104,378,498
FL,Palm Beach,1106,344,556
FL,Palm Beach,1108,600,764
FL,Palm Beach,1110,97,85
FL,Palm Beach,1112,28,48
FL,Palm Beach,1114,109,297
FL,Palm Beach,1118,147,242
FL,Palm Beach,1120,59,227
FL,Palm Beach,1122,39,59
FL,Palm Beach,1124,2,6
FL,Palm Beach,1126,482,871
FL,Palm Beach,1128,77,216
FL,Palm Beach,1130,1,4
FL,Palm Beach,1136,551,936
FL,Palm Beach,1138,230,830
FL,Palm Beach,1140,255,685
FL,Palm Beach,1142,333,563
FL,Palm Beach,1144,609,772
FL,Palm Beach,1146,22,35
FL,Palm Beach,1148,410,515
FL,Palm Beach,1150,2,3
FL,Palm Beach,1152,38,44
FL,Palm Beach,1154,138,278
FL,Palm Beach,1160,2,1
FL,Palm Beach,1164,12,94
FL,Palm Beach,1166,3,27
FL,Palm Beach,1172,182,333
FL,Palm Beach,1182,162,250
FL,Palm Beach,1184,585,555
FL,Palm Beach,1186,466,587
FL,Palm Beach,1188,328,244
FL,Palm Beach,1190,682,1058
FL,Palm Beach,1192,404,656
FL,Palm Beach,1194,558,988
FL,Palm Beach,1198,555,364
FL,Palm Beach,1202,582,1075
FL,Palm Beach,1204,12,26
FL,Palm Beach,1208,415,885
FL,Palm Beach,1210,221,305
FL,Palm Beach,1212,47,49
FL,Palm Beach,1214,278,386
FL,Palm Beach,1216,119,258
FL,Palm Beach,1228,123,196
FL,Palm Beach,1238,417,871
FL,Palm Beach,1240,752,1111
FL,Palm Beach,1242,830,1058
FL,Palm Beach,1244,489,616
FL,Palm Beach,1246,749,779
FL,Palm Beach,1248,482,585
FL,Palm Beach,1250,15,30
FL,Palm Beach,1252,860,1105
FL,Palm Beach,1254,151,201
FL,Palm Beach,1256,1,1
FL,Palm Beach,1258,301,164
FL,Palm Beach,1260,440,517
FL,Palm Beach,1266,160,60
FL,Palm Beach,1268,107,51
FL,Palm Beach,1272,710,638
FL,Palm Beach,1274,573,532
FL,Palm Beach,1276,100,76
FL,Palm Beach,1278,348,150
FL,Palm Beach,1280,145,144
FL,Palm Beach,1282,63,30
FL,Palm Beach,1284,703,671
FL,Palm Beach,1286,50,60
FL,Palm Beach,1288,15,19
FL,Palm Beach,1290,747,791
FL,Palm Beach,1292,11,39
FL,Palm Beach,1294,23,67
FL,Palm Beach,1296,185,176
FL,Palm Beach,1298,28,33
FL,Palm Beach,1302,25,67
FL,Palm Beach,1304,191,165
FL,Palm Beach,1306,2,1
FL,Palm Beach,1308,46,56
FL,Palm Beach,1312,7,9
FL,Palm Beach,1314,51,126
FL,Palm Beach,1316,172,146
FL,Palm Beach,1320,16,152
FL,Palm Beach,1324,445,414
FL,Palm Beach,1326,186,246
FL,Palm Beach,1328,653,772
FL,Palm Beach,1330,34,38
FL,Palm Beach,1332,336,306
FL,Palm Beach,1334,2,2
FL,Palm Beach,1336,25,102
FL,Palm Beach,1338,49,390
FL,Palm Beach,1340,6,5
FL,Palm Beach,1342,281,316
FL,Palm Beach,1344,347,488
FL,Palm Beach,1346,554,928
FL,Palm Beach,1348,31,117
FL,Palm Beach,1350,434,548
FL,Palm Beach,1352,599,861
FL,Palm Beach,1354,93,153
FL,Palm Beach,1356,773,428
FL,Palm Beach,1360,308,340
FL,Palm Beach,1362,140,72
FL,Palm Beach,1364,146,20
FL,Palm Beach,1366,73,70
FL,Palm Beach,1370,121,101
FL,Palm Beach,1372,71,18
FL,Palm Beach,1374,210,53
FL,Palm Beach,1378,832,325
FL,Palm Beach,1380,183,200
FL,Palm Beach,1382,255,266
FL,Palm Beach,1384,308,571
FL,Palm Beach,1386,507,996
FL,Palm Beach,1388,265,398
FL,Palm Beach,1390,496,1305
FL,Palm Beach,1392,330,653
FL,Palm Beach,1394,233,625
FL,Palm Beach,2002,137,112
FL,Palm Beach,2004,835,302
FL,Palm Beach,2006,170,47
FL,Palm Beach,2010,585,328
FL,Palm Beach,2012,33,22
FL,Palm Beach,2014,813,603
FL,Palm Beach,2016,697,491
FL,Palm Beach,2018,833,788
FL,Palm Beach,2020,320,91
FL,Palm Beach,2022,625,323
FL,Palm Beach,2024,723,326
FL,Palm Beach,2026,540,270
FL,Palm Beach,2028,337,200
FL,Palm Beach,2030,459,105
FL,Palm Beach,2036,565,302
FL,Palm Beach,2038,611,162
FL,Palm Beach,2040,861,284
FL,Palm Beach,2044,1087,313
FL,Palm Beach,2046,344,201
FL,Palm Beach,2048,2,2
FL,Palm Beach,2050,22,6
FL,Palm Beach,2052,379,122
FL,Palm Beach,2054,948,269
FL,Palm Beach,2056,446,133
FL,Palm Beach,2058,2,1
FL,Palm Beach,2060,259,145
FL,Palm Beach,2062,7,7
FL,Palm Beach,2064,1,2
FL,Palm Beach,2066,149,66
FL,Palm Beach,2068,405,168
FL,Palm Beach,2070,475,299
FL,Palm Beach,2072,553,244
FL,Palm Beach,2076,145,90
FL,Palm Beach,2078,471,531
FL,Palm Beach,2080,152,185
FL,Palm Beach,2082,161,260
FL,Palm Beach,2084,236,108
FL,Palm Beach,2086,1054,494
FL,Palm Beach,2088,761,456
FL,Palm Beach,2092,2,9
FL,Palm Beach,2094,314,75
FL,Palm Beach,2096,327,157
FL,Palm Beach,2098,412,136
FL,Palm Beach,2100,701,261
FL,Palm Beach,2102,995,242
FL,Palm Beach,2104,396,166
FL,Palm Beach,2106,538,206
FL,Palm Beach,2108,542,190
FL,Palm Beach,2110,161,50
FL,Palm Beach,2114,286,170
FL,Palm Beach,2116,865,569
FL,Palm Beach,2120,56,19
FL,Palm Beach,2124,8,4
FL,Palm Beach,2126,600,556
FL,Palm Beach,2130,51,36
FL,Palm Beach,2132,25,18
FL,Palm Beach,2134,448,239
FL,Palm Beach,2136,613,308
FL,Palm Beach,2138,262,101
FL,Palm Beach,2140,589,390
FL,Palm Beach,2142,270,386
FL,Palm Beach,2144,414,407
FL,Palm Beach,2146,563,592
FL,Palm Beach,2150,1007,557
FL,Palm Beach,2152,998,434
FL,Palm Beach,2154,996,358
FL,Palm Beach,2156,552,326
FL,Palm Beach,2158,952,265
FL,Palm Beach,2160,377,297
FL,Palm Beach,2162,270,173
FL,Palm Beach,2164,1062,610
FL,Palm Beach,2166,816,333
FL,Palm Beach,2170,970,456
FL,Palm Beach,2172,5,3
FL,Palm Beach,2174,371,200
FL,Palm Beach,2182,450,198
FL,Palm Beach,2184,824,311
FL,Palm Beach,2186,242,73
FL,Palm Beach,2188,524,496
FL,Palm Beach,2190,898,471
FL,Palm Beach,2192,848,327
FL,Palm Beach,2194,724,243
FL,Palm Beach,2196,700,439
FL,Palm Beach,2198,5,18
FL,Palm Beach,2200,80,44
FL,Palm Beach,2204,289,124
FL,Palm Beach,2206,374,142
FL,Palm Beach,2208,3,3
FL,Palm Beach,2210,175,75
FL,Palm Beach,2214,896,234
FL,Palm Beach,2216,1299,201
FL,Palm Beach,2218,930,360
