STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Sumter,1,1600,3596
FL,Sumter,2,1126,2944
FL,Sumter,3,1527,3798
FL,Sumter,4,852,2091
FL,Sumter,5,1363,2996
FL,Sumter,6,999,2403
FL,Sumter,7,858,1952
FL,Sumter,8,892,2130
FL,Sumter,9,1853,4034
FL,Sumter,10,1714,4085
FL,Sumter,11,521,1258
FL,Sumter,12,527,1249
FL,Sumter,13,424,305
FL,Sumter,14,654,1239
FL,Sumter,15,1102,682
FL,Sumter,16,398,575
FL,Sumter,17,362,518
FL,Sumter,18,638,1213
FL,Sumter,19,222,408
FL,Sumter,20,553,910
FL,Sumter,21,403,785
FL,Sumter,22,302,548
FL,Sumter,23,495,565
FL,Sumter,24,139,362
