STATE,COUNTY,PRECINCT,DEM,REP
FL,Sumter,101,425,1159
FL,Sumter,102,801,2447
FL,Sumter,103,268,789
FL,Sumter,104,595,1802
FL,Sumter,105,1011,2676
FL,Sumter,106,726,2113
FL,Sumter,107,578,1743
FL,Sumter,108,708,1884
FL,Sumter,109,569,1562
FL,Sumter,110,533,1699
FL,Sumter,111,1045,3258
FL,Sumter,112,324,849
FL,Sumter,113,264,276
FL,Sumter,114,480,987
FL,Sumter,115,546,539
FL,Sumter,116,266,488
FL,Sumter,117,237,334
FL,Sumter,118,400,973
FL,Sumter,119,133,334
FL,Sumter,120,357,703
FL,Sumter,121,235,662
FL,Sumter,122,188,441
FL,Sumter,123,317,474
FL,Sumter,124,88,294
FL,Sumter,125,675,1914
FL,Sumter,126,831,2474
FL,Sumter,127,758,1968
FL,Sumter,128,811,2107
FL,Sumter,129,581,1793
