STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Volusia,101,234,436
FL,Volusia,105,174,338
FL,Volusia,107,283,653
FL,Volusia,201,1214,2192
FL,Volusia,202,1001,1364
FL,Volusia,203,122,271
FL,Volusia,204,204,300
FL,Volusia,205,484,630
FL,Volusia,206,804,1064
FL,Volusia,207,683,1136
FL,Volusia,208,1309,1725
FL,Volusia,212,1198,1218
FL,Volusia,215,870,1474
FL,Volusia,216,1554,1040
FL,Volusia,217,1326,528
FL,Volusia,218,1349,1203
FL,Volusia,220,817,869
FL,Volusia,222,789,888
FL,Volusia,223,142,144
FL,Volusia,224,411,655
FL,Volusia,301,1075,1265
FL,Volusia,303,1015,1206
FL,Volusia,304,925,1440
FL,Volusia,305,1057,1608
FL,Volusia,306,1066,1969
FL,Volusia,307,851,1091
FL,Volusia,308,834,946
FL,Volusia,309,1281,1016
FL,Volusia,401,1837,1463
FL,Volusia,403,1335,849
FL,Volusia,404,225,538
FL,Volusia,405,1008,538
FL,Volusia,406,1874,1498
FL,Volusia,407,1240,778
FL,Volusia,410,1287,814
FL,Volusia,411,1076,893
FL,Volusia,412,270,536
FL,Volusia,413,940,739
FL,Volusia,414,1078,882
FL,Volusia,415,1081,776
FL,Volusia,416,1667,1113
FL,Volusia,417,651,464
FL,Volusia,419,500,379
FL,Volusia,420,1187,1049
FL,Volusia,421,702,1242
FL,Volusia,422,1041,673
FL,Volusia,423,848,675
FL,Volusia,425,75,207
FL,Volusia,427,1128,743
FL,Volusia,429,811,455
FL,Volusia,501,663,1232
FL,Volusia,502,1514,1902
FL,Volusia,504,706,796
FL,Volusia,506,1242,1759
FL,Volusia,508,587,848
FL,Volusia,509,356,637
FL,Volusia,510,1078,2076
FL,Volusia,511,219,411
FL,Volusia,512,1130,1734
FL,Volusia,515,1004,887
FL,Volusia,516,675,1192
FL,Volusia,517,708,860
FL,Volusia,519,610,465
FL,Volusia,521,1476,1740
FL,Volusia,522,1005,1085
FL,Volusia,523,994,718
FL,Volusia,526,708,460
FL,Volusia,527,650,499
FL,Volusia,528,721,392
FL,Volusia,529,526,360
FL,Volusia,530,861,516
FL,Volusia,532,605,1348
FL,Volusia,602,1312,1285
FL,Volusia,603,1776,331
FL,Volusia,607,1326,1407
FL,Volusia,614,2085,314
FL,Volusia,619,1255,116
FL,Volusia,620,1218,13
FL,Volusia,621,1306,104
FL,Volusia,622,243,131
FL,Volusia,623,780,617
FL,Volusia,625,509,652
FL,Volusia,626,618,342
FL,Volusia,628,2135,317
FL,Volusia,633,1674,780
FL,Volusia,638,798,717
FL,Volusia,641,1526,1722
FL,Volusia,701,1956,1666
FL,Volusia,703,865,841
FL,Volusia,705,439,563
FL,Volusia,706,981,1843
FL,Volusia,709,1111,1008
FL,Volusia,711,1359,1373
FL,Volusia,712,650,701
FL,Volusia,714,1184,1194
FL,Volusia,716,521,1630
FL,Volusia,717,581,565
FL,Volusia,718,1172,1373
FL,Volusia,719,707,670
FL,Volusia,720,282,334
FL,Volusia,722,858,731
FL,Volusia,725,658,1004
FL,Volusia,726,721,1588
FL,Volusia,728,1317,1653
FL,Volusia,729,1164,1872
FL,Volusia,732,1058,1622
FL,Volusia,733,774,1078
FL,Volusia,803,384,749
FL,Volusia,804,1090,1330
FL,Volusia,805,1259,1921
FL,Volusia,807,742,746
FL,Volusia,808,1567,1411
FL,Volusia,809,280,263
FL,Volusia,810,595,513
FL,Volusia,812,938,1030
FL,Volusia,813,576,839
FL,Volusia,814,843,1063
FL,Volusia,816,392,876
FL,Volusia,901,773,665
FL,Volusia,902,1182,1290
FL,Volusia,903,1188,1165
FL,Volusia,904,1167,1316
FL,Volusia,907,969,1362
FL,Volusia,909,435,498
FL,Volusia,910,478,406
