STATE,COUNTY,PRECINCT,DEM,REP
FL,Volusia,223,73,140
FL,Volusia,301,483,1138
FL,Volusia,303,453,1059
FL,Volusia,304,453,1321
FL,Volusia,305,510,1490
FL,Volusia,306,548,1855
FL,Volusia,307,388,990
FL,Volusia,308,364,884
FL,Volusia,309,548,1062
FL,Volusia,401,807,1391
FL,Volusia,403,563,830
FL,Volusia,404,156,579
FL,Volusia,405,434,525
FL,Volusia,406,877,1414
FL,Volusia,407,545,752
FL,Volusia,410,629,745
FL,Volusia,411,513,766
FL,Volusia,413,469,623
FL,Volusia,414,518,789
FL,Volusia,415,472,779
FL,Volusia,416,796,1001
FL,Volusia,417,278,433
FL,Volusia,419,245,363
FL,Volusia,420,555,932
FL,Volusia,421,397,1072
FL,Volusia,422,473,668
FL,Volusia,423,402,606
FL,Volusia,427,503,653
FL,Volusia,429,354,446
