STATE,COUNTY,PRECINCT,CLINTON,TRUMP
VA,AMHERST COUNTY,AB - CENTRAL ABSENTEE PRECINCT (06),392,350
VA,AMHERST COUNTY,PROVISIONAL (06),3,4
VA,AMHERST COUNTY,101 - WRIGHT SHOP (06),325,469
VA,AMHERST COUNTY,102 - NEW GLASGOW (06),675,371
VA,AMHERST COUNTY,103 - COOLWELL (06),394,129
VA,AMHERST COUNTY,201 - COURT HOUSE (06),957,691
VA,AMHERST COUNTY,202 - TEMPERANCE (06),459,182
VA,AMHERST COUNTY,301 - MONROE (06),489,206
VA,AMHERST COUNTY,302 - ELON (06),1242,458
VA,AMHERST COUNTY,303 - PLEASANT VIEW (06),276,117
VA,AMHERST COUNTY,401 - AMELON (06),1174,622
VA,AMHERST COUNTY,402 - LONCO (06),298,144
VA,AMHERST COUNTY,501 - MADISON (06),1095,798
VA,AUGUSTA COUNTY,AB - CENTRAL ABSENTEE PRECINCT (06),1048,579
VA,AUGUSTA COUNTY,PROVISIONAL (06),7,11
VA,AUGUSTA COUNTY,101 - JOLIVUE (06),505,290
VA,AUGUSTA COUNTY,102 - STUARTS DRAFT ELEMENTARY (06),576,304
VA,AUGUSTA COUNTY,103 - VERONA (06),1024,392
VA,AUGUSTA COUNTY,201 - CRIMORA (06),1084,371
VA,AUGUSTA COUNTY,202 - NEW HOPE (06),719,234
VA,AUGUSTA COUNTY,203 - WEYERS CAVE (06),1005,447
VA,AUGUSTA COUNTY,301 - FORT DEFIANCE (06),1538,670
VA,AUGUSTA COUNTY,302 - NORTH RIVER (06),456,137
VA,AUGUSTA COUNTY,303 - MOUNT SOLON (06),609,126
VA,AUGUSTA COUNTY,304 - CHURCHVILLE FIRE STATION (06),536,175
VA,AUGUSTA COUNTY,401 - BUFFALO GAP (06),588,188
VA,AUGUSTA COUNTY,402 - CHURCHVILLE ELEMENTARY (06),611,195
VA,AUGUSTA COUNTY,403 - CRAIGSVILLE (06),420,103
VA,AUGUSTA COUNTY,404 - DEERFIELD (06),209,50
VA,AUGUSTA COUNTY,405 - CEDAR GREEN (06),670,354
VA,AUGUSTA COUNTY,501 - GREENVILLE (06),991,326
