STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
CO,CHAFFEE,5056008001,338,153
CO,CHAFFEE,5056008002,387,121
CO,CHAFFEE,5056008003,497,267
CO,CHAFFEE,5056008004,346,448
CO,CHAFFEE,5056008005,379,393
CO,CHAFFEE,5056008006,334,472
CO,CHAFFEE,5056008007,460,586
CO,CHAFFEE,5056008008,283,343
CO,CHAFFEE,5056008009,214,482
CO,CHAFFEE,5056008010,288,474
CO,CHAFFEE,5056008011,346,271
CO,CHAFFEE,5056008012,396,156
CO,CHAFFEE,5056008013,324,431
CO,CHAFFEE,5056008014,259,281
CO,CHAFFEE,5056008015,235,192
CO,EL PASO,5021821745,77,143
CO,EL PASO,5021921452,260,782
CO,EL PASO,5021921500,76,207
CO,EL PASO,5021921501,165,615
CO,EL PASO,5021921502,146,493
CO,EL PASO,5021921521,209,560
CO,EL PASO,5021921522,247,728
CO,EL PASO,5021921523,216,637
CO,EL PASO,5021921524,222,902
CO,EL PASO,5021921554,27,78
CO,EL PASO,5021921560,195,620
CO,EL PASO,5021921653,43,135
CO,EL PASO,5021921828,89,280
CO,EL PASO,5022021740,697,806
CO,EL PASO,5022121632,322,257
CO,EL PASO,5022121639,755,919
CO,EL PASO,5022121652,161,385
CO,EL PASO,5022121801,276,387
CO,EL PASO,5022121802,999,921
CO,EL PASO,5022121803,882,889
CO,EL PASO,5022121804,723,1011
CO,EL PASO,5022121839,208,454
CO,EL PASO,5091421215,501,1513
CO,EL PASO,5091421216,465,1392
CO,EL PASO,5091421217,419,1448
CO,EL PASO,5091421220,632,1612
CO,EL PASO,5091421230,457,1404
CO,EL PASO,5091421231,486,1344
CO,EL PASO,5091421232,430,1117
CO,EL PASO,5091421233,337,1024
CO,EL PASO,5091421236,472,1011
CO,EL PASO,5091421237,439,922
CO,EL PASO,5091421238,578,1317
CO,EL PASO,5091521445,212,512
CO,EL PASO,5091821107,572,483
CO,EL PASO,5091821108,452,536
CO,EL PASO,5091821109,91,100
CO,EL PASO,5091921210,501,1442
CO,EL PASO,5091921211,415,1428
CO,EL PASO,5091921212,333,1119
CO,EL PASO,5091921213,217,747
CO,EL PASO,5091921214,356,1031
CO,EL PASO,5091921218,206,646
CO,EL PASO,5091921219,235,830
CO,EL PASO,5091921303,465,1181
CO,EL PASO,5091921310,489,1352
CO,EL PASO,5091921311,486,1296
CO,EL PASO,5091921312,470,1322
CO,EL PASO,5091921313,232,786
CO,EL PASO,5091921314,401,1249
CO,EL PASO,5091921315,306,1022
CO,EL PASO,5091921316,409,1445
CO,EL PASO,5091921320,317,1283
CO,EL PASO,5091921321,215,898
CO,EL PASO,5091921322,193,909
CO,EL PASO,5091921440,356,1339
CO,EL PASO,5091921441,528,1500
CO,EL PASO,5091921442,326,1336
CO,EL PASO,5091921443,469,1402
CO,EL PASO,5091921444,391,1366
CO,EL PASO,5091921525,28,142
CO,EL PASO,5092021101,694,1114
CO,EL PASO,5092021102,679,775
CO,EL PASO,5092021103,615,1106
CO,EL PASO,5092021104,749,1056
CO,EL PASO,5092021105,503,1133
CO,EL PASO,5092021106,791,1113
CO,EL PASO,5092021200,120,190
CO,EL PASO,5092021201,465,1122
CO,EL PASO,5092021202,532,1151
CO,EL PASO,5092021203,486,1172
CO,EL PASO,5092021204,664,1214
CO,EL PASO,5092021205,604,1120
CO,EL PASO,5092021206,610,962
CO,EL PASO,5092021207,543,1111
CO,EL PASO,5092021301,249,471
CO,EL PASO,5092021302,544,876
CO,EL PASO,5092021741,140,246
CO,EL PASO,5101421141,627,1023
CO,EL PASO,5101421142,595,1062
CO,EL PASO,5101421143,646,1431
CO,EL PASO,5101421144,385,743
CO,EL PASO,5101421145,472,973
CO,EL PASO,5101421146,658,1288
CO,EL PASO,5101421234,472,1051
CO,EL PASO,5101421235,552,1332
CO,EL PASO,5101421239,488,1088
CO,EL PASO,5101421240,528,1222
CO,EL PASO,5101421241,361,652
CO,EL PASO,5101421242,616,1242
CO,EL PASO,5101421243,413,894
CO,EL PASO,5101521159,99,214
CO,EL PASO,5101521401,628,1208
CO,EL PASO,5101521402,591,1208
CO,EL PASO,5101521403,682,1429
CO,EL PASO,5101521404,496,836
CO,EL PASO,5101521405,528,1003
CO,EL PASO,5101521406,519,874
CO,EL PASO,5101621120,582,1036
CO,EL PASO,5101621121,348,556
CO,EL PASO,5101621122,555,596
CO,EL PASO,5101621123,789,1024
CO,EL PASO,5101621124,464,983
CO,EL PASO,5101621125,673,1141
CO,EL PASO,5101621126,641,729
CO,EL PASO,5101621127,748,1096
CO,EL PASO,5101621128,555,1134
CO,EL PASO,5101621129,827,882
CO,EL PASO,5101621130,786,945
CO,EL PASO,5101621131,682,815
CO,EL PASO,5101621140,612,990
CO,EL PASO,5101621147,293,436
CO,EL PASO,5101621148,525,749
CO,EL PASO,5101621149,521,1204
CO,EL PASO,5101621150,486,1252
CO,EL PASO,5101621151,505,966
CO,EL PASO,5101621152,817,1093
CO,EL PASO,5101621153,596,1117
CO,EL PASO,5101621154,908,1004
CO,EL PASO,5101621157,484,741
CO,EL PASO,5101621160,523,830
CO,EL PASO,5101621175,696,863
CO,EL PASO,5101821171,571,464
CO,EL PASO,5101821174,791,683
CO,EL PASO,5101821181,70,86
CO,EL PASO,5111721182,694,341
CO,EL PASO,5111721183,865,872
CO,EL PASO,5111721184,1071,695
CO,EL PASO,5111721190,587,500
CO,EL PASO,5111721193,365,371
CO,EL PASO,5111721194,417,231
CO,EL PASO,5111721610,386,250
CO,EL PASO,5111721611,1425,731
CO,EL PASO,5111721612,1209,642
CO,EL PASO,5111721613,963,845
CO,EL PASO,5111721620,1290,862
CO,EL PASO,5111721621,1257,774
CO,EL PASO,5111721622,1334,687
CO,EL PASO,5111721623,1081,766
CO,EL PASO,5111821110,980,683
CO,EL PASO,5111821111,869,714
CO,EL PASO,5111821112,990,656
CO,EL PASO,5111821113,1077,588
CO,EL PASO,5111821114,925,918
CO,EL PASO,5111821170,1017,744
CO,EL PASO,5111821172,1172,667
CO,EL PASO,5111821173,1142,728
CO,EL PASO,5111821176,1611,439
CO,EL PASO,5111821177,1442,642
CO,EL PASO,5111821178,1374,668
CO,EL PASO,5111821179,1060,777
CO,EL PASO,5111821180,1214,917
CO,EL PASO,5111821742,644,304
CO,EL PASO,5111821743,681,368
CO,EL PASO,5111821744,535,458
CO,EL PASO,5112021601,983,624
CO,EL PASO,5121521158,620,1114
CO,EL PASO,5121521161,363,965
CO,EL PASO,5121521162,469,952
CO,EL PASO,5121521191,538,847
CO,EL PASO,5121521192,672,1036
CO,EL PASO,5121521195,875,1065
CO,EL PASO,5121521410,554,1263
CO,EL PASO,5121521411,582,1047
CO,EL PASO,5121521412,693,1212
CO,EL PASO,5121521413,697,1095
CO,EL PASO,5121521414,531,829
CO,EL PASO,5121521415,569,732
CO,EL PASO,5121521420,640,1184
CO,EL PASO,5121521650,403,561
CO,EL PASO,5121621155,391,576
CO,EL PASO,5121621156,245,530
CO,EL PASO,5121721631,166,130
CO,EL PASO,5121821115,265,432
CO,EL PASO,5121821721,312,596
CO,EL PASO,5121821722,565,843
CO,EL PASO,5121821723,868,992
CO,EL PASO,5121821724,794,699
CO,EL PASO,5121921451,202,687
CO,EL PASO,5121921453,256,886
CO,EL PASO,5121921651,134,211
CO,EL PASO,5122021602,445,577
CO,EL PASO,5122021603,417,403
CO,EL PASO,5122021604,1044,972
CO,EL PASO,5122021725,542,784
CO,EL PASO,5122021726,283,774
CO,EL PASO,5122021727,390,921
CO,EL PASO,5122021728,459,1216
CO,EL PASO,5122021729,511,1248
CO,EL PASO,5122021730,625,1206
