STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Clay,1,243,1579
FL,Clay,2,408,1634
FL,Clay,3,404,2019
FL,Clay,4,209,1194
FL,Clay,5,766,2272
FL,Clay,6,1363,1583
FL,Clay,7,1393,1806
FL,Clay,8,1426,1581
FL,Clay,9,700,2152
FL,Clay,10,947,1827
FL,Clay,11,381,1411
FL,Clay,12,651,788
FL,Clay,13,758,1409
FL,Clay,14,579,1162
FL,Clay,15,388,712
FL,Clay,16,294,683
FL,Clay,17,602,1661
FL,Clay,18,719,2373
FL,Clay,19,601,1762
FL,Clay,20,903,1991
FL,Clay,21,784,1783
FL,Clay,22,655,1321
FL,Clay,23,442,1651
FL,Clay,24,464,1665
FL,Clay,25,438,1490
FL,Clay,26,672,2750
FL,Clay,27,1334,3405
FL,Clay,28,446,2215
FL,Clay,29,495,1570
FL,Clay,30,660,1668
FL,Clay,31,217,826
FL,Clay,32,249,1633
FL,Clay,33,160,878
FL,Clay,34,397,2105
FL,Clay,35,674,2301
FL,Clay,36,81,403
FL,Clay,37,184,561
FL,Clay,38,279,1211
FL,Clay,39,653,768
FL,Clay,40,908,1423
FL,Clay,41,113,586
FL,Clay,42,74,374
FL,Clay,43,33,238
FL,Clay,44,394,1482
FL,Clay,45,265,850
FL,Clay,46,435,1701
FL,Clay,47,220,1054
FL,Clay,48,298,511
FL,Marion,1,287,464
FL,Marion,2,646,14
FL,Marion,3,775,979
FL,Marion,4,1186,1332
FL,Marion,5,424,1052
FL,Marion,6,706,1115
FL,Marion,7,706,914
FL,Marion,8,600,389
FL,Marion,9,1379,60
FL,Marion,10,802,96
FL,Marion,11,515,139
FL,Marion,12,654,932
FL,Marion,13,150,157
FL,Marion,14,619,1510
FL,Marion,15,565,1048
FL,Marion,16,465,1091
FL,Marion,17,419,776
FL,Marion,18,929,1188
FL,Marion,19,399,109
FL,Marion,20,480,586
FL,Marion,40,696,1014
FL,Marion,50,342,574
FL,Marion,60,92,176
FL,Marion,70,149,71
FL,Marion,1500,107,214
FL,Marion,1510,192,439
FL,Marion,1520,229,506
FL,Marion,1521,85,256
FL,Marion,1530,328,855
FL,Marion,1540,366,768
FL,Marion,1550,645,1451
FL,Marion,1560,261,551
FL,Marion,1570,251,442
FL,Marion,1580,464,667
FL,Marion,1590,529,957
FL,Marion,1600,614,1062
FL,Marion,1610,674,1272
FL,Marion,2500,378,664
FL,Marion,2510,175,205
FL,Marion,2520,666,753
FL,Marion,2530,726,412
FL,Marion,2540,410,373
FL,Marion,2550,359,776
FL,Marion,2551,240,478
FL,Marion,2560,362,389
FL,Marion,2570,980,771
FL,Marion,2580,266,424
FL,Marion,2590,434,247
FL,Marion,2600,808,1216
FL,Marion,2610,504,843
FL,Marion,2620,128,144
FL,Marion,2631,40,98
FL,Marion,3500,238,413
FL,Marion,3510,132,200
FL,Marion,3520,447,820
FL,Marion,3530,716,1695
FL,Marion,3540,566,1198
FL,Marion,3550,542,1131
FL,Marion,3551,484,1019
FL,Marion,3552,438,1111
FL,Marion,3553,540,1325
FL,Marion,3560,306,515
FL,Marion,3570,588,1042
FL,Marion,3580,772,1156
FL,Marion,3590,560,809
FL,Marion,3600,391,651
FL,Marion,3610,254,303
FL,Marion,3620,479,1058
FL,Marion,3621,411,995
FL,Marion,3622,516,1039
FL,Marion,3630,481,866
FL,Marion,3640,364,799
FL,Marion,3650,454,697
FL,Marion,3660,565,650
FL,Marion,3670,1986,1167
FL,Marion,3680,501,397
FL,Marion,3690,1123,1150
FL,Marion,3700,1064,458
FL,Marion,3710,784,1029
FL,Marion,3720,286,473
FL,Marion,3721,58,35
FL,Marion,3730,621,785
FL,Marion,3740,385,872
FL,Marion,3750,373,903
FL,Marion,3760,768,1702
FL,Marion,3770,692,1148
FL,Marion,3780,730,1234
FL,Marion,3790,379,679
FL,Marion,3800,598,770
FL,Marion,3810,537,862
FL,Marion,3820,350,626
FL,Marion,3830,389,493
FL,Marion,3840,522,1114
FL,Marion,4500,614,835
FL,Marion,4510,762,1436
FL,Marion,4520,656,1181
FL,Marion,4530,312,505
FL,Marion,4540,234,347
FL,Marion,4550,850,312
FL,Marion,4560,951,400
FL,Marion,4570,512,822
FL,Marion,4580,1149,507
FL,Marion,4590,1387,496
FL,Marion,4600,328,492
FL,Marion,4610,813,1093
FL,Marion,4620,844,1457
FL,Marion,4630,363,406
FL,Marion,4640,890,1026
FL,Marion,4650,511,842
FL,Marion,4651,1039,1761
FL,Marion,4652,313,488
FL,Marion,4653,115,161
FL,Marion,4654,491,812
FL,Marion,4660,702,1001
FL,Marion,4670,859,985
FL,Marion,4680,526,680
FL,Marion,4690,721,946
FL,Marion,4700,153,309
FL,Marion,4710,700,1244
FL,Marion,4720,496,583
FL,Marion,4721,5,15
FL,Marion,4730,285,453
FL,Marion,4740,274,509
FL,Marion,4750,573,815
FL,Marion,4760,345,387
FL,Marion,4770,451,1313
FL,Marion,4781,11,16
FL,Lake,1,312,515
FL,Lake,2,126,292
FL,Lake,3,348,605
FL,Lake,4,481,954
FL,Lake,5,471,875
FL,Lake,6,1010,901
FL,Lake,7,652,1344
FL,Lake,8,1103,1942
FL,Lake,9,338,762
FL,Lake,10,355,710
FL,Lake,11,672,880
FL,Lake,12,730,1219
FL,Lake,13,349,692
FL,Lake,14,1119,1258
FL,Lake,15,1132,802
FL,Lake,16,491,1228
FL,Lake,17,369,798
FL,Lake,18,320,937
FL,Lake,19,431,674
FL,Lake,20,335,479
FL,Lake,21,358,899
FL,Lake,22,2358,2811
FL,Lake,23,1338,1601
FL,Lake,24,248,639
FL,Lake,25,925,1634
FL,Lake,26,630,688
FL,Lake,27,596,73
FL,Lake,28,311,176
FL,Lake,29,417,536
FL,Lake,30,661,1306
FL,Lake,31,757,1053
FL,Lake,32,906,1994
FL,Lake,33,307,544
FL,Lake,34,200,288
FL,Lake,35,508,575
FL,Lake,36,529,661
FL,Lake,37,431,701
FL,Lake,38,701,1347
FL,Lake,39,575,953
FL,Lake,40,751,844
FL,Lake,41,223,512
FL,Lake,42,624,880
FL,Lake,43,1357,1259
FL,Lake,44,612,611
FL,Lake,45,634,781
FL,Lake,46,392,422
FL,Lake,47,870,1306
FL,Lake,48,845,957
FL,Lake,49,605,1109
FL,Lake,50,371,238
FL,Lake,51,171,260
FL,Lake,52,616,627
FL,Lake,53,145,184
FL,Lake,54,265,462
FL,Lake,55,314,322
FL,Lake,56,192,298
FL,Lake,57,607,76
FL,Lake,58,329,406
FL,Lake,59,681,1117
FL,Lake,60,261,318
FL,Lake,61,888,1720
FL,Lake,62,499,896
FL,Lake,63,324,425
FL,Lake,64,255,38
FL,Lake,65,882,1479
FL,Lake,66,447,540
FL,Lake,67,839,1633
FL,Lake,68,715,648
FL,Lake,69,201,409
FL,Lake,70,309,457
FL,Lake,71,145,332
FL,Lake,72,439,531
FL,Lake,73,412,908
FL,Lake,74,416,798
FL,Lake,75,532,958
FL,Lake,76,102,179
FL,Lake,77,105,250
FL,Lake,78,968,1749
FL,Lake,79,1609,1932
FL,Lake,80,657,1082
FL,Lake,81,760,949
FL,Lake,82,1636,878
FL,Lake,83,755,1410
FL,Lake,84,1774,916
FL,Lake,85,350,554
FL,Lake,86,273,772
FL,Lake,87,1376,1696
FL,Lake,88,885,1487
FL,Lake,89,1150,1100
FL,Lake,90,738,868
FL,Lake,91,324,630
FL,Lake,92,343,895
FL,Lake,93,681,1261
FL,Lake,94,540,1329
FL,Lake,95,8,17
FL,Lake,96,400,711
FL,Lake,97,1604,1138
FL,Lake,98,114,180
FL,Lake,99,403,709
FL,Lake,100,834,1749
FL,Lake,101,438,733
FL,Lake,102,437,630
FL,Lake,103,460,726
FL,Lake,104,7,6
FL,Putnam,1,342,293
FL,Putnam,2,398,367
FL,Putnam,3,359,622
FL,Putnam,4,161,192
FL,Putnam,5,170,440
FL,Putnam,6,139,217
FL,Putnam,7,291,755
FL,Putnam,8,314,661
FL,Putnam,9,153,219
FL,Putnam,10,615,1398
FL,Putnam,11,782,1383
FL,Putnam,12,167,614
FL,Putnam,13,134,573
FL,Putnam,14,48,317
FL,Putnam,15,43,310
FL,Putnam,16,367,865
FL,Putnam,18,554,987
FL,Putnam,19,246,177
FL,Putnam,20,667,932
FL,Putnam,21,236,258
FL,Putnam,22,245,658
FL,Putnam,23,322,491
FL,Putnam,24,479,858
FL,Putnam,25,203,708
FL,Putnam,26,233,1168
FL,Putnam,27,307,1031
