STATE,COUNTY,PRECINCT,DEM,REP
MN,62,10,917,675
MN,62,20,397,515
MN,62,30,782,600
MN,62,60,718,243
MN,62,70,811,261
MN,62,80,102,89
MN,62,90,607,199
MN,62,100,802,374
MN,62,110,746,447
MN,62,120,595,346
MN,62,130,381,132
MN,62,140,570,287
MN,62,150,456,270
MN,62,160,364,160
MN,62,170,489,247
MN,62,180,619,392
MN,62,190,630,468
MN,62,200,645,477
MN,62,210,241,147
MN,62,220,528,309
MN,62,230,421,300
MN,62,240,338,179
MN,62,250,618,330
MN,62,260,841,419
MN,62,270,878,678
MN,62,290,787,514
MN,62,300,451,286
MN,62,310,778,555
MN,62,320,396,190
MN,62,330,1015,662
MN,62,335,467,258
MN,62,340,867,619
MN,62,350,1433,1031
MN,62,360,1153,729
MN,62,370,467,716
MN,62,380,483,780
MN,62,390,608,378
MN,62,400,509,305
MN,62,410,593,372
MN,62,420,620,428
MN,62,430,773,533
MN,62,440,370,232
MN,62,450,1143,547
MN,62,460,1356,836
MN,62,470,1139,502
MN,62,480,782,420
MN,62,490,892,456
MN,62,500,825,425
MN,62,510,1010,489
MN,62,520,850,373
MN,62,540,608,105
MN,62,550,884,143
MN,62,560,618,88
MN,62,570,463,60
MN,62,580,545,41
MN,62,590,1132,154
MN,62,600,771,143
MN,62,610,983,131
MN,62,620,570,114
MN,62,630,102,26
MN,62,640,407,35
MN,62,650,181,55
MN,62,660,562,129
MN,62,670,266,45
MN,62,675,176,60
MN,62,678,96,22
MN,62,680,879,153
MN,62,690,839,218
MN,62,700,934,268
MN,62,710,787,164
MN,62,720,994,205
MN,62,730,296,79
MN,62,740,789,209
MN,62,750,413,99
MN,62,760,873,189
MN,62,770,9,7
MN,62,780,986,209
MN,62,790,795,177
MN,62,800,633,100
MN,62,810,610,134
MN,62,820,796,162
MN,62,840,1079,387
MN,62,850,1237,409
MN,62,860,1264,419
MN,62,870,676,218
MN,62,880,751,295
MN,62,890,964,368
MN,62,900,924,91
MN,62,910,864,193
MN,62,920,1236,381
MN,62,930,754,296
MN,62,940,652,159
MN,62,950,1034,177
MN,62,960,951,234
MN,62,970,1758,570
MN,62,1000,906,134
MN,62,1010,835,92
MN,62,1020,869,107
MN,62,1030,927,201
MN,62,1040,651,192
MN,62,1050,553,447
MN,62,1060,849,372
MN,62,1070,1027,156
MN,62,1080,679,108
MN,62,1090,1057,168
MN,62,1100,1177,288
MN,62,1110,725,160
MN,62,1120,763,136
MN,62,1130,675,85
MN,62,1140,718,148
MN,62,1160,922,319
MN,62,1170,1297,360
MN,62,1180,970,180
MN,62,1190,1134,269
MN,62,1200,460,96
MN,62,1210,545,146
MN,62,1220,372,82
MN,62,1230,598,139
MN,62,1240,495,108
MN,62,1250,144,22
MN,62,1290,512,171
MN,62,1300,326,106
MN,62,1310,165,29
MN,62,1320,559,176
MN,62,1330,592,184
MN,62,1340,169,36
MN,62,1350,452,149
MN,62,1360,547,161
MN,62,1370,417,85
MN,62,1380,358,87
MN,62,1390,343,102
MN,62,1400,552,233
MN,62,1410,321,136
MN,62,1420,389,128
MN,62,1430,570,116
MN,62,1440,306,84
MN,62,1450,411,114
MN,62,1460,277,81
MN,62,1470,567,139
MN,62,1480,386,142
MN,62,1490,370,104
MN,62,1500,563,196
MN,62,1510,462,170
MN,62,1520,449,174
MN,62,1530,367,82
MN,62,1540,931,321
MN,62,1550,699,270
MN,62,1580,608,335
MN,62,1590,706,399
MN,62,1600,556,381
MN,62,1610,1323,956
MN,62,1620,964,779
MN,62,1630,1439,1257
MN,62,1640,915,817
MN,62,1650,28,23
MN,62,1660,530,571
MN,62,1670,901,665
MN,62,1680,715,627
MN,62,1690,682,420
MN,62,1700,1075,971
MN,62,1710,751,782
MN,62,1720,272,256
MN,62,1730,441,398
MN,62,1740,815,622
MN,62,1750,1179,797
MN,62,1760,800,651
MN,62,1765,137,84
MN,62,1770,1033,713
MN,62,1780,1062,747
MN,82,5,218,180
MN,82,10,175,189
MN,82,15,192,182
MN,82,20,162,193
MN,82,25,464,363
MN,82,30,358,505
MN,82,35,289,200
MN,82,95,181,380
MN,82,130,906,1283
MN,82,170,703,682
MN,82,175,931,1136
MN,82,180,416,357
MN,82,185,87,67
MN,82,190,285,150
MN,82,195,108,44
MN,82,200,956,808
MN,82,205,1120,1013
MN,82,220,572,416
MN,82,225,552,318
MN,82,230,495,289
MN,82,235,922,536
MN,82,240,690,420
MN,82,245,732,479
MN,82,250,604,558
MN,82,255,1073,773
MN,82,260,321,280
MN,82,265,365,259
MN,82,270,550,503
MN,82,275,105,107
MN,82,280,100,89
MN,82,290,39,34
MN,82,310,362,245
MN,82,315,724,329
MN,82,320,497,310
MN,82,325,801,481
MN,82,330,838,821
MN,82,340,699,572
MN,82,345,418,385
MN,82,350,580,628
MN,82,360,738,1101
MN,82,365,86,74
MN,82,370,117,61
MN,82,375,698,442
MN,82,380,946,832
MN,82,385,447,325
MN,82,390,865,637
MN,82,395,906,520
MN,82,400,658,616
MN,82,405,735,655
MN,82,410,825,892
MN,82,415,996,1006
MN,82,420,802,837
MN,82,425,916,783
MN,82,430,758,725
MN,82,435,498,804
MN,82,440,471,453
MN,82,445,343,597
MN,82,450,718,925
