STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
MN,2,805,1087,409
MN,2,810,860,362
MN,2,815,866,351
MN,2,820,842,386
MN,2,825,792,421
MN,2,830,640,447
MN,2,835,830,365
MN,2,840,746,375
MN,2,1605,705,513
MN,2,1610,682,510
MN,2,1615,858,433
MN,2,1620,712,384
MN,2,1705,635,372
MN,2,1710,636,307
MN,2,1715,867,565
MN,2,1720,851,535
MN,2,1805,725,423
MN,2,1810,875,599
MN,2,1815,580,246
MN,2,1820,622,318
MN,2,2005,200,65
MN,2,3105,450,419
MN,2,3110,590,464
MN,2,3115,867,686
MN,27,200,1391,524
MN,27,205,1268,407
MN,27,210,1494,650
MN,27,215,1624,657
MN,27,220,1754,780
MN,27,225,993,425
MN,27,230,920,340
MN,27,550,1076,697
MN,27,555,468,268
MN,27,557,328,233
MN,27,560,930,633
MN,27,565,725,497
MN,27,567,398,192
MN,27,570,650,368
MN,27,575,999,658
MN,27,577,256,129
MN,27,585,996,620
MN,27,590,856,444
MN,27,865,914,1166
MN,27,870,1092,604
MN,27,890,861,782
MN,27,895,940,636
MN,27,920,1125,700
MN,27,975,59,20
MN,27,985,1092,473
MN,27,990,1502,692
MN,27,1000,1089,444
MN,27,1005,1009,641
MN,27,1010,924,416
MN,27,1015,1191,665
MN,27,1020,1158,651
MN,27,1025,1188,613
MN,27,1110,843,425
MN,27,1115,1261,586
MN,27,1120,836,511
MN,27,1125,892,345
MN,27,1130,977,480
MN,27,1135,1055,632
MN,27,1360,1235,365
MN,27,1365,1836,600
MN,27,1370,1691,449
MN,27,1375,1517,375
MN,27,1380,1351,359
MN,27,1385,1624,348
MN,27,1390,1285,402
MN,27,1395,989,161
MN,27,1400,1693,309
MN,27,1410,2206,330
MN,27,1415,1154,106
MN,27,1420,1228,289
MN,27,1425,961,325
MN,27,1430,1518,290
MN,27,1435,851,172
MN,27,1440,682,159
MN,27,1445,2083,355
MN,27,1450,835,106
MN,27,1455,1393,808
MN,27,1460,1317,755
MN,27,1465,1394,322
MN,27,1470,1918,457
MN,27,1475,1294,251
MN,27,1480,1191,299
MN,27,1485,2027,341
MN,27,1490,1844,778
MN,27,1495,1259,470
MN,27,1500,1080,430
MN,27,1505,1186,289
MN,27,1510,1844,391
MN,27,1515,1083,129
MN,27,1520,1740,459
MN,27,1525,2094,251
MN,27,1530,1537,190
MN,27,1535,1235,337
MN,27,1540,1572,246
MN,27,1555,1719,114
MN,27,1560,1667,134
MN,27,1565,1243,55
MN,27,1570,1175,56
MN,27,1575,1243,84
MN,27,1580,1559,142
MN,27,1585,1425,46
MN,27,1590,1539,143
MN,27,1605,614,30
MN,27,1610,1494,93
MN,27,1615,1799,114
MN,27,1620,1269,697
MN,27,1625,910,70
MN,27,1630,900,145
MN,27,1635,594,74
MN,27,1640,931,98
MN,27,1642,1342,128
MN,27,1645,834,101
MN,27,1650,1181,307
MN,27,1655,1850,362
MN,27,1660,1453,552
MN,27,1665,1657,251
MN,27,1670,1739,529
MN,27,1675,815,207
MN,27,1680,2300,663
MN,27,1685,1860,412
MN,27,1690,596,95
MN,27,1700,1031,89
MN,27,1705,1935,215
MN,27,1710,1192,86
MN,27,1715,1251,142
MN,27,1720,1923,283
MN,27,1725,1975,214
MN,27,1730,2310,345
MN,27,1735,2163,323
MN,27,1750,1725,130
MN,27,1755,1961,176
MN,27,1760,1314,186
MN,27,1765,972,94
MN,27,1770,467,46
MN,27,1775,1667,255
MN,27,1780,956,101
MN,27,1785,182,21
MN,27,1805,1683,195
MN,27,1810,1649,355
MN,27,1815,1359,364
MN,27,1820,1474,260
MN,27,1825,1240,190
MN,27,1830,1841,304
MN,27,1835,2603,228
MN,27,1840,1462,148
MN,27,1845,1711,162
MN,27,1860,1309,259
MN,27,1865,1637,475
MN,27,1870,1623,332
MN,27,1875,2028,404
MN,27,1880,1040,290
MN,27,1885,1720,533
MN,27,1890,1547,513
MN,27,1895,1458,478
MN,27,1900,889,246
MN,27,1902,1124,394
MN,27,1905,1931,329
MN,27,1910,1674,311
MN,27,1915,1997,439
MN,27,1920,905,191
MN,27,1925,2061,480
MN,27,1930,2185,555
MN,27,1935,77,46
MN,27,1940,2659,524
MN,27,1945,1199,287
MN,27,1950,1273,401
MN,27,1960,1309,524
MN,27,1965,1879,443
MN,27,1970,1943,467
MN,27,1975,1948,600
MN,27,1980,2005,512
MN,27,1985,2381,564
MN,27,1990,1964,595
MN,27,1995,1445,435
MN,27,2000,1769,616
MN,27,2290,621,380
MN,27,2295,1064,594
MN,27,2300,1007,693
MN,27,2310,891,686
MN,27,2315,692,410
MN,27,2320,377,185
MN,27,2330,1204,881
MN,27,2335,1017,515
MN,27,2575,1586,835
MN,27,2580,1290,628
MN,27,2585,1516,784
MN,27,2590,1684,736
MN,27,2595,1557,795
MN,27,2600,1144,581
MN,27,2605,924,445
MN,27,2610,1076,473
MN,27,2615,1587,642
MN,27,2645,1335,729
MN,27,2655,1461,769
MN,27,2665,1251,628
MN,27,2675,1462,564
MN,27,2765,848,531
MN,27,2770,1330,882
MN,27,2790,1585,793
MN,27,2795,1896,876
MN,27,2800,732,302
MN,27,2805,663,307
MN,27,2810,744,426
MN,27,2815,1334,686
MN,27,2820,1586,780
MN,27,2825,1265,599
MN,27,2830,1163,441
MN,27,2835,1070,502
MN,27,2840,946,456
MN,27,2845,1666,706
MN,27,2850,1035,593
MN,27,2855,1857,724
MN,27,2860,1060,485
MN,27,2865,827,417
MN,62,530,1150,665
