STATE,COUNTY,PRECINCT,DEM,REP
VA,CLARKE COUNTY,# AB - Central Absentee Precinct,120,147
VA,CLARKE COUNTY,## Provisional,1,1
VA,CLARKE COUNTY,101 - RUSSELL,262,709
VA,CLARKE COUNTY,201 - BERRYVILLE,354,454
VA,CLARKE COUNTY,301 - MILLWOOD,246,398
VA,CLARKE COUNTY,302 - PINE GROVE,102,214
VA,CLARKE COUNTY,401 - WHITE POST,317,581
VA,CLARKE COUNTY,501 - BUCKMARSH,236,429
VA,CLARKE COUNTY,502 - BLUE RIDGE,83,146
VA,FAIRFAX COUNTY,# AB - Central Absentee Precinct,3432,3724
VA,FAIRFAX COUNTY,## Provisional,26,24
VA,FAIRFAX COUNTY,229 - FOX MILL,1153,1148
VA,FAIRFAX COUNTY,240 - COLVIN,480,711
VA,FAIRFAX COUNTY,301 - CHAIN BRIDGE,696,729
VA,FAIRFAX COUNTY,303 - CHURCHILL,377,350
VA,FAIRFAX COUNTY,304 - COOPER,419,551
VA,FAIRFAX COUNTY,306 - GREAT FALLS,469,590
VA,FAIRFAX COUNTY,309 - KENMORE,729,865
VA,FAIRFAX COUNTY,311 - LANGLEY,462,568
VA,FAIRFAX COUNTY,314 - MCLEAN,610,527
VA,FAIRFAX COUNTY,321 - CLEARVIEW,1035,944
VA,FAIRFAX COUNTY,322 - FORESTVILLE,540,931
VA,FAIRFAX COUNTY,323 - SHOUSE,565,498
VA,FAIRFAX COUNTY,327 - SUGARLAND,693,729
VA,FAIRFAX COUNTY,328 - HICKORY,627,807
VA,FAIRFAX COUNTY,329 - SENECA,675,889
VA,FAIRFAX COUNTY,331 - SPRING HILL,526,577
VA,FAIRFAX COUNTY,803 - CLIFTON,704,1295
VA,FAIRFAX COUNTY,804 - COLCHESTER,321,516
VA,FAIRFAX COUNTY,805 - FAIRFAX STATION,328,478
VA,FAIRFAX COUNTY,815 - WOODYARD,472,859
VA,FAIRFAX COUNTY,838 - SANGSTER,512,641
VA,FAIRFAX COUNTY,839 - SILVERBROOK,700,962
VA,FAIRFAX COUNTY,841 - POPES HEAD,295,507
VA,FAIRFAX COUNTY,845 - FOUNTAINHEAD,734,1159
VA,FAIRFAX COUNTY,847 - GREENBRIAR WEST,451,501
VA,FAIRFAX COUNTY,849 - NEWGATE NORTH,303,426
VA,FAIRFAX COUNTY,850 - SOUTH RUN,552,857
VA,FAIRFAX COUNTY,854 - NEWGATE SOUTH,510,929
VA,FAIRFAX COUNTY,902 - BROOKFIELD,749,649
VA,FAIRFAX COUNTY,903 - CUB RUN,731,838
VA,FAIRFAX COUNTY,904 - STONECROFT,248,417
VA,FAIRFAX COUNTY,905 - FRANKLIN,239,236
VA,FAIRFAX COUNTY,908 - KINROSS EAST,523,584
VA,FAIRFAX COUNTY,909 - KINROSS WEST,472,578
VA,FAIRFAX COUNTY,911 - NAVY,744,723
VA,FAIRFAX COUNTY,913 - ROCKY RUN,759,1031
VA,FAIRFAX COUNTY,914 - VALE,522,629
VA,FAIRFAX COUNTY,915 - VIRGINIA RUN,424,866
VA,FAIRFAX COUNTY,916 - WAPLES MILL,967,1204
VA,FAIRFAX COUNTY,917 - STONE NORTH,367,394
VA,FAIRFAX COUNTY,920 - CHANTILLY,505,559
VA,FAIRFAX COUNTY,921 - DEER PARK,613,893
VA,FAIRFAX COUNTY,923 - BULL RUN,300,679
VA,FAIRFAX COUNTY,925 - OLD MILL,342,332
VA,FAIRFAX COUNTY,927 - LEES CORNER #1,362,356
VA,FAIRFAX COUNTY,928 - POPLAR TREE,545,670
VA,FAIRFAX COUNTY,929 - DIFFICULT RUN,142,223
VA,FAIRFAX COUNTY,930 - LEES CORNER #2,454,542
VA,FAIRFAX COUNTY,931 - CARSON,403,382
VA,FAIRFAX COUNTY,932 - STONE SOUTH,302,232
VA,FREDERICK COUNTY,# AB - Central Absentee Precinct,223,546
VA,FREDERICK COUNTY,## Provisional,0,4
VA,FREDERICK COUNTY,101 - RUSSELLS,181,752
VA,FREDERICK COUNTY,102 - GORE,174,690
VA,FREDERICK COUNTY,103 - KERNSTOWN,343,891
VA,FREDERICK COUNTY,104 - CEDAR CREEK,159,469
VA,FREDERICK COUNTY,201 - GAINESBOROUGH,109,486
VA,FREDERICK COUNTY,202 - ALBIN,253,732
VA,FREDERICK COUNTY,203 - REDLAND,267,887
VA,FREDERICK COUNTY,204 - NAIN,247,748
VA,FREDERICK COUNTY,301 - CLEAR BROOK,119,456
VA,FREDERICK COUNTY,302 - NEFF'S TOWN,260,698
VA,FREDERICK COUNTY,303 - WHITE HALL,355,1089
VA,FREDERICK COUNTY,401 - CARPERS VALLEY,307,806
VA,FREDERICK COUNTY,402 - SHENANDOAH,139,411
VA,FREDERICK COUNTY,403 - PARKIN'S MILL,217,668
VA,FREDERICK COUNTY,404 - ARMEL,269,722
VA,FREDERICK COUNTY,501 - STEPHENS CITY,318,782
VA,FREDERICK COUNTY,502 - NEWTOWN,311,869
VA,FREDERICK COUNTY,503 - CANTERBURG,282,768
VA,FREDERICK COUNTY,601 - MILLBROOK,180,527
VA,FREDERICK COUNTY,602 - ASH HOLLOW,268,574
VA,FREDERICK COUNTY,603 - GREENWOOD,424,1038
VA,LOUDOUN COUNTY,# AB - Central Absentee Precinct,2555,3150
VA,LOUDOUN COUNTY,## Provisional,24,18
VA,LOUDOUN COUNTY,107 - LITTLE RIVER,777,1039
VA,LOUDOUN COUNTY,108 - MERCER,390,521
VA,LOUDOUN COUNTY,112 - FREEDOM,541,713
VA,LOUDOUN COUNTY,114 - DULLES SOUTH,240,304
VA,LOUDOUN COUNTY,117 - CARTER,616,488
VA,LOUDOUN COUNTY,118 - MOOREFIELD,339,344
VA,LOUDOUN COUNTY,119 - ARCOLA,510,607
VA,LOUDOUN COUNTY,120 - LUNSFORD,391,516
VA,LOUDOUN COUNTY,121 - TOWN HALL,261,373
VA,LOUDOUN COUNTY,122 - HUTCHISON FARM,429,591
VA,LOUDOUN COUNTY,207 - RIVER BEND,376,449
VA,LOUDOUN COUNTY,208 - ALGONKIAN,369,407
VA,LOUDOUN COUNTY,209 - POTOMAC FALLS,522,570
VA,LOUDOUN COUNTY,210 - CASCADES,577,662
VA,LOUDOUN COUNTY,213 - COUNTRYSIDE,223,204
VA,LOUDOUN COUNTY,214 - SUGARLAND NORTH,662,807
VA,LOUDOUN COUNTY,215 - SUGARLAND SOUTH,620,583
VA,LOUDOUN COUNTY,216 - LOWES ISLAND,459,667
VA,LOUDOUN COUNTY,217 - SOUTH BANK,587,669
VA,LOUDOUN COUNTY,218 - UNIVERSITY CENTER,314,298
VA,LOUDOUN COUNTY,219 - GALILEE CHURCH,375,396
VA,LOUDOUN COUNTY,301 - PURCELLVILLE,496,864
VA,LOUDOUN COUNTY,302 - ROUND HILL,401,710
VA,LOUDOUN COUNTY,303 - HILLSBORO,381,697
VA,LOUDOUN COUNTY,305 - PHILOMONT,197,359
VA,LOUDOUN COUNTY,307 - MIDDLEBURG,275,307
VA,LOUDOUN COUNTY,308 - ST LOUIS,278,314
VA,LOUDOUN COUNTY,309 - ALDIE,198,287
VA,LOUDOUN COUNTY,310 - MOUNTAIN VIEW,393,798
VA,LOUDOUN COUNTY,311 - ROUND HILL ELEMENTARY,310,668
VA,LOUDOUN COUNTY,312 - BRIAR WOODS,581,905
VA,LOUDOUN COUNTY,313 - PINEBROOK,464,539
VA,LOUDOUN COUNTY,314 - LEGACY,585,627
VA,LOUDOUN COUNTY,315 - FIREHOUSE,153,288
VA,LOUDOUN COUNTY,316 - CREIGHTON'S CORNER,587,649
VA,LOUDOUN COUNTY,401 - WEST LOVETTSVILLE,466,837
VA,LOUDOUN COUNTY,402 - WATERFORD,424,758
VA,LOUDOUN COUNTY,403 - LUCKETTS,445,769
VA,LOUDOUN COUNTY,407 - HARPER PARK,683,1169
VA,LOUDOUN COUNTY,408 - EVERGREEN,356,499
VA,LOUDOUN COUNTY,409 - CLARKES GAP,435,867
VA,LOUDOUN COUNTY,411 - EAST LOVETTSVILLE,396,680
VA,LOUDOUN COUNTY,413 - TUSCARORA,15,42
VA,LOUDOUN COUNTY,414 - RED ROCK,269,352
VA,LOUDOUN COUNTY,416 - HAMILTON,601,951
VA,LOUDOUN COUNTY,417 - BETWEEN THE HILLS,64,122
VA,LOUDOUN COUNTY,422 - SYCOLIN CREEK,355,802
VA,LOUDOUN COUNTY,501 - WEST LEESBURG,596,599
VA,LOUDOUN COUNTY,502 - EAST LEESBURG,588,431
VA,LOUDOUN COUNTY,503 - DRY MILL,322,352
VA,LOUDOUN COUNTY,504 - SMARTS MILL,530,584
VA,LOUDOUN COUNTY,505 - COOL SPRING,518,763
VA,LOUDOUN COUNTY,506 - BRANDON PARK,311,276
VA,LOUDOUN COUNTY,507 - GREENWAY,318,383
VA,LOUDOUN COUNTY,508 - BALLS BLUFF,478,658
VA,LOUDOUN COUNTY,509 - TOLBERT,489,438
