STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
VA,FAIRFAX CITY,# AB - Central Absentee Precinct,1072,714
VA,FAIRFAX CITY,## Provisional,15,11
VA,FAIRFAX CITY,001 - ONE,855,574
VA,FAIRFAX CITY,002 - TWO,820,697
VA,FAIRFAX CITY,003 - THREE,1228,918
VA,FAIRFAX CITY,004 - FOUR,954,686
VA,FAIRFAX CITY,005 - FIVE,855,608
VA,FAIRFAX CITY,006 - SIX,852,567
VA,FAIRFAX COUNTY,# AB - Central Absentee Precinct,24793,14016
VA,FAIRFAX COUNTY,## Provisional,319,180
VA,FAIRFAX COUNTY,104 - CHAPEL,851,774
VA,FAIRFAX COUNTY,105 - FAIRVIEW,1821,1261
VA,FAIRFAX COUNTY,106 - HERITAGE,1730,631
VA,FAIRFAX COUNTY,108 - KINGS PARK,938,742
VA,FAIRFAX COUNTY,109 - LITTLE RUN,1224,1018
VA,FAIRFAX COUNTY,110 - NORTH SPRINGFIELD,1620,1059
VA,FAIRFAX COUNTY,113 - CANTERBURY,1502,1220
VA,FAIRFAX COUNTY,115 - RAVENSWORTH,676,545
VA,FAIRFAX COUNTY,116 - WAKEFIELD,893,645
VA,FAIRFAX COUNTY,117 - WOODSON,1028,809
VA,FAIRFAX COUNTY,118 - LAKE BRADDOCK,1736,941
VA,FAIRFAX COUNTY,119 - LAUREL,1547,1171
VA,FAIRFAX COUNTY,120 - SIDEBURN,1054,1157
VA,FAIRFAX COUNTY,121 - VILLA,738,614
VA,FAIRFAX COUNTY,123 - ROBINSON,1553,1273
VA,FAIRFAX COUNTY,125 - SIGNAL HILL,1178,945
VA,FAIRFAX COUNTY,126 - BONNIE BRAE,994,602
VA,FAIRFAX COUNTY,127 - BURKE CENTRE,1745,1169
VA,FAIRFAX COUNTY,128 - CARDINAL,919,584
VA,FAIRFAX COUNTY,129 - KEENE MILL,668,431
VA,FAIRFAX COUNTY,130 - TERRA CENTRE,898,726
VA,FAIRFAX COUNTY,131 - EAGLE VIEW,1301,921
VA,FAIRFAX COUNTY,132 - MONUMENT,1382,899
VA,FAIRFAX COUNTY,133 - DANBURY,273,170
VA,FAIRFAX COUNTY,134 - UNIVERSITY,1187,354
VA,FAIRFAX COUNTY,202 - FLINT HILL,1058,997
VA,FAIRFAX COUNTY,203 - FLORIS,1407,1105
VA,FAIRFAX COUNTY,204 - MADISON,412,196
VA,FAIRFAX COUNTY,208 - RESTON #1,1396,488
VA,FAIRFAX COUNTY,209 - RESTON #2,1462,596
VA,FAIRFAX COUNTY,213 - VIENNA #1,1568,1111
VA,FAIRFAX COUNTY,214 - VIENNA #2,1221,932
VA,FAIRFAX COUNTY,216 - VIENNA #4,620,406
