STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
AR,BENTON,PRECINCT 1,0,0
AR,BENTON,PRECINCT 10,0,0
AR,BENTON,PRECINCT 11,0,0
AR,BENTON,PRECINCT 12,0,0
AR,BENTON,PRECINCT 13,0,0
AR,BENTON,PRECINCT 14,0,0
AR,BENTON,PRECINCT 15,0,0
AR,BENTON,PRECINCT 16,0,0
AR,BENTON,PRECINCT 17,0,0
AR,BENTON,PRECINCT 18,0,0
AR,BENTON,PRECINCT 19,0,0
AR,BENTON,PRECINCT 2,0,0
AR,BENTON,PRECINCT 20,0,0
AR,BENTON,PRECINCT 21,0,0
AR,BENTON,PRECINCT 22,0,0
AR,BENTON,PRECINCT 23,0,0
AR,BENTON,PRECINCT 24,0,0
AR,BENTON,PRECINCT 25,0,0
AR,BENTON,PRECINCT 26,0,0
AR,BENTON,PRECINCT 27,0,0
AR,BENTON,PRECINCT 28,0,0
AR,BENTON,PRECINCT 29,0,0
AR,BENTON,PRECINCT 3,0,0
AR,BENTON,PRECINCT 30,0,0
AR,BENTON,PRECINCT 31,0,0
AR,BENTON,PRECINCT 32,0,0
AR,BENTON,PRECINCT 33,0,0
AR,BENTON,PRECINCT 34,0,0
AR,BENTON,PRECINCT 35,0,0
AR,BENTON,PRECINCT 36,0,0
AR,BENTON,PRECINCT 37,0,0
AR,BENTON,PRECINCT 38,0,0
AR,BENTON,PRECINCT 39,0,0
AR,BENTON,PRECINCT 4,0,0
AR,BENTON,PRECINCT 40,0,0
AR,BENTON,PRECINCT 41,0,0
AR,BENTON,PRECINCT 42,0,0
AR,BENTON,PRECINCT 43,0,0
AR,BENTON,PRECINCT 44,0,0
AR,BENTON,PRECINCT 45,0,0
AR,BENTON,PRECINCT 46,0,0
AR,BENTON,PRECINCT 47,0,0
AR,BENTON,PRECINCT 48,0,0
AR,BENTON,PRECINCT 49,0,0
AR,BENTON,PRECINCT 5,0,0
AR,BENTON,PRECINCT 50,0,0
AR,BENTON,PRECINCT 51,0,0
AR,BENTON,PRECINCT 52,0,0
AR,BENTON,PRECINCT 53,0,0
AR,BENTON,PRECINCT 54,0,0
AR,BENTON,PRECINCT 55,0,0
AR,BENTON,PRECINCT 56,0,0
AR,BENTON,PRECINCT 57,0,0
AR,BENTON,PRECINCT 58,0,0
AR,BENTON,PRECINCT 59,0,0
AR,BENTON,PRECINCT 6,0,0
AR,BENTON,PRECINCT 60,0,0
AR,BENTON,PRECINCT 61,0,0
AR,BENTON,PRECINCT 62,0,0
AR,BENTON,PRECINCT 63,0,0
AR,BENTON,PRECINCT 64,0,0
AR,BENTON,PRECINCT 65,0,0
AR,BENTON,PRECINCT 66,0,0
AR,BENTON,PRECINCT 67,0,0
AR,BENTON,PRECINCT 68,0,0
AR,BENTON,PRECINCT 69,0,0
AR,BENTON,PRECINCT 7,0,0
AR,BENTON,PRECINCT 70,0,0
AR,BENTON,PRECINCT 71,0,0
AR,BENTON,PRECINCT 72,0,0
AR,BENTON,PRECINCT 73,0,0
AR,BENTON,PRECINCT 74,0,0
AR,BENTON,PRECINCT 75,0,0
AR,BENTON,PRECINCT 76,0,0
AR,BENTON,PRECINCT 77,0,0
AR,BENTON,PRECINCT 78,0,0
AR,BENTON,PRECINCT 79,0,0
AR,BENTON,PRECINCT 8,0,0
AR,BENTON,PRECINCT 80,0,0
AR,BENTON,PRECINCT 81,0,0
AR,BENTON,PRECINCT 82,0,0
AR,BENTON,PRECINCT 83,0,0
AR,BENTON,PRECINCT 84,0,0
AR,BENTON,PRECINCT 85,0,0
AR,BENTON,PRECINCT 86,0,0
AR,BENTON,PRECINCT 87,0,0
AR,BENTON,PRECINCT 88,0,0
AR,BENTON,PRECINCT 89,0,0
AR,BENTON,PRECINCT 9,0,0
AR,BENTON,PRECINCT 90,0,0
AR,BENTON,PRECINCT 91,0,0
AR,BENTON,PRECINCT 92,0,0
AR,BENTON,PRECINCT 93,0,0
AR,BENTON,PRECINCT 94,0,0
AR,BOONE,DISTRICT 1.1,40,144
AR,BOONE,DISTRICT 1.2,0,3
AR,BOONE,"DISTRICT 10.1, 10.2, 10.7,10.8",66,488
AR,BOONE,"DISTRICT 10.3, 10.4,10.5,10.6",34,258
AR,BOONE,DISTRICT 11.1,15,62
AR,BOONE,"DISTRICT 11.2,11.3,11.4",55,401
AR,BOONE,DISTRICT 12,59,164
AR,BOONE,DISTRICT 2.1,51,172
AR,BOONE,DISTRICT 2.2,1,4
AR,BOONE,"DISTRICT 3.1, 3.3",44,148
AR,BOONE,DISTRICT 3.2,0,5
AR,BOONE,DISTRICT 4.1,28,139
AR,BOONE,DISTRICT 4.2,0,2
AR,BOONE,"DISTRICT 5.1 - 5.5,5.7,5.8 5.9",78,284
AR,BOONE,DISTRICT 5.6,5,17
AR,BOONE,DISTRICT 6.1,13,63
AR,BOONE,"DISTRICT 6.2, 6.5,6.8",14,126
AR,BOONE,"DISTRICT 6.3, 6.4,6.6,6.7",47,239
AR,BOONE,"DISTRICT 7.1, 7.3,7.5 - 7.8",86,487
AR,BOONE,DISTRICT 7.2,3,13
AR,BOONE,DISTRICT 7.4,1,22
AR,BOONE,DISTRICT 8,89,379
AR,BOONE,DISTRICT 9,85,386
AR,CARROLL,BEAVER,28,67
AR,CARROLL,BV WARD 1,58,169
AR,CARROLL,BV WARD 2,56,140
AR,CARROLL,CARROLLTON,25,163
AR,CARROLL,DRY FORK,10,48
AR,CARROLL,"ES WARDS 1,2,3",172,141
AR,CARROLL,GF WARDS 1 & 2,91,199
AR,CARROLL,HOLIDAY ISLAND,223,445
AR,CARROLL,JHN SPGS/PKD SPGS/WINONA,202,293
AR,CARROLL,KINGS RIVER,22,96
AR,CARROLL,LIBERTY,3,29
AR,CARROLL,NE/NWHICKORY/COIN/LNG CRK,74,351
AR,CARROLL,NORTH YOCUM,16,140
AR,CARROLL,OMEGA,17,68
AR,CARROLL,OSAGE,13,69
AR,CARROLL,PINEY,6,38
AR,CARROLL,POLO,17,157
AR,CARROLL,PRAIRIES/CABANAL,56,268
AR,CARROLL,SOUTH YOCUM,6,85
AR,CARROLL,SW/SE HICKORY,23,104
AR,CRAWFORD,ALMA 2,20,90
AR,CRAWFORD,ALMA 3,86,413
AR,CRAWFORD,CEDAR CREEK,22,101
AR,CRAWFORD,CEDARVILLE,48,319
AR,CRAWFORD,COVE CITY,17,48
AR,CRAWFORD,DORA,42,194
AR,CRAWFORD,FIGURE FIVE,13,59
AR,CRAWFORD,JASPER,71,391
AR,CRAWFORD,LANCASTER,46,213
AR,CRAWFORD,LEE CREEK,12,186
AR,CRAWFORD,OLIVER SPRINGS,37,213
AR,CRAWFORD,RUDY,44,276
AR,CRAWFORD,UNION,50,233
AR,CRAWFORD,UPPER,3,23
AR,CRAWFORD,VAN BUREN 1-1,27,87
AR,CRAWFORD,VAN BUREN 1-2,66,259
AR,CRAWFORD,VAN BUREN 1-3,130,470
AR,CRAWFORD,VAN BUREN 2-1,34,65
AR,CRAWFORD,VAN BUREN 2-2,150,369
AR,CRAWFORD,VAN BUREN 3-1,75,161
AR,CRAWFORD,VAN BUREN 3-2,48,107
AR,CRAWFORD,VAN BUREN 3-3,39,133
AR,CRAWFORD,VAN BUREN 3-4,46,179
AR,CRAWFORD,VAN BUREN 3-5,71,209
AR,CRAWFORD,VAN BUREN 3-6,62,198
AR,CRAWFORD,VAN BUREN 4-1,66,254
AR,MARION,PRECINCT 0001,19,69
AR,MARION,PRECINCT 0002,60,198
AR,MARION,PRECINCT 0003,45,148
AR,MARION,PRECINCT 0004,11,15
AR,MARION,PRECINCT 0005,34,73
AR,MARION,PRECINCT 0006,72,195
AR,MARION,PRECINCT 0007,7,5
AR,MARION,PRECINCT 0008,38,263
AR,MARION,PRECINCT 0009,33,166
AR,MARION,PRECINCT 0010,12,49
AR,MARION,PRECINCT 0011,12,37
AR,MARION,PRECINCT 0012,2,6
AR,MARION,PRECINCT 0013,5,13
AR,MARION,PRECINCT 0014,0,6
AR,MARION,PRECINCT 0015,1,11
AR,MARION,PRECINCT 0016,22,144
AR,MARION,PRECINCT 0017,39,165
AR,MARION,PRECINCT 0018,11,72
AR,MARION,PRECINCT 0019,19,98
AR,MARION,PRECINCT 0020,21,106
AR,MARION,PRECINCT 0021,1,25
AR,MARION,PRECINCT 0022,2,5
AR,MARION,PRECINCT 0023,11,60
AR,MARION,PRECINCT 0024,2,50
AR,MARION,PRECINCT 0025,16,101
AR,MARION,PRECINCT 0026,32,188
AR,MARION,PRECINCT 0027,0,0
AR,MARION,PRECINCT 0028,10,57
AR,MARION,PRECINCT 0029,0,2
AR,MARION,PRECINCT 0030,25,99
AR,MARION,PRECINCT 0031,0,0
AR,NEWTON,BIG CREEK,11,62
AR,NEWTON,DOGPATCH,52,155
AR,NEWTON,GROVE,64,306
AR,NEWTON,HASTY,12,117
AR,NEWTON,POLK,12,71
AR,NEWTON,RICHLAND,5,102
AR,NEWTON,WHITE,16,206
AR,POPE,APPLETON #1,2,7
AR,POPE,APPLETON #2,6,19
AR,POPE,ATKINS IN,30,102
AR,POPE,ATKINS OUT #1,13,32
AR,POPE,ATKINS OUT #2,1,3
AR,POPE,ATKINS OUT #3,1,10
AR,POPE,BAYLISS,5,21
AR,POPE,BUCK MOUNTAIN,3,15
AR,POPE,CAGLESVILLE #1,2,18
AR,POPE,CAGLESVILLE #2,0,4
AR,POPE,CROW MOUNTAIN EAST #1,0,9
AR,POPE,CROW MOUNTAIN EAST #2,4,13
AR,POPE,CROW MOUNTAIN WEST #1,14,48
AR,POPE,CROW MOUNTAIN WEST #2,11,47
AR,POPE,DOVER IN,13,43
AR,POPE,DOVER OUT,22,98
AR,POPE,ECONOMY,6,13
AR,POPE,FREEMAN,1,2
AR,POPE,HECTOR IN,9,24
AR,POPE,HECTOR OUT,9,25
AR,POPE,LONDON IN,10,46
AR,POPE,LONDON OUT,22,93
AR,POPE,MARTIN #1,8,25
AR,POPE,MARTIN #2,1,14
AR,POPE,MARTIN #3,1,10
AR,POPE,MORELAND #1,0,4
AR,POPE,MORELAND #2,2,3
AR,POPE,NOGO,1,5
AR,POPE,PEA RIDGE,4,29
AR,POPE,POTTSVILLE IN #1,24,108
AR,POPE,POTTSVILLE IN #2,3,9
AR,POPE,POTTSVILLE OUT #1,11,64
AR,POPE,POTTSVILLE OUT #2,1,0
AR,POPE,RUSSELLVILLE 1A,10,11
AR,POPE,RUSSELLVILLE 1B,20,48
AR,POPE,RUSSELLVILLE 1C,9,12
AR,POPE,RUSSELLVILLE 2A,14,35
AR,POPE,RUSSELLVILLE 2B,19,46
AR,POPE,RUSSELLVILLE 2C,7,15
AR,POPE,RUSSELLVILLE 3A,30,26
AR,POPE,RUSSELLVILLE 3B,39,53
AR,POPE,RUSSELLVILLE 4A,6,15
AR,POPE,RUSSELLVILLE 4B,1,1
AR,POPE,RUSSELLVILLE 4C,5,14
AR,POPE,RUSSELLVILLE 4D,5,6
AR,POPE,RUSSELLVILLE 4E,0,0
AR,POPE,RUSSELLVILLE 4F,7,3
AR,POPE,RUSSELLVILLE 4G,0,0
AR,POPE,RUSSELLVILLE 4H,26,33
AR,POPE,RUSSELLVILLE OUT #1,4,12
AR,POPE,RUSSELLVILLE OUT #2,7,13
AR,POPE,RUSSELLVILLE OUT #3,0,2
AR,POPE,RUSSELLVILLE OUT #4,8,29
AR,POPE,SCOTTSVILLE #1,2,25
AR,POPE,SCOTTSVILLE #2,0,0
AR,SEARCY,PRAIRIE,24,172
AR,SEBASTIAN,1-A,207,164
AR,SEBASTIAN,1-B,48,54
AR,SEBASTIAN,1-C,60,108
AR,SEBASTIAN,1-D,35,95
AR,SEBASTIAN,1-E,0,1
AR,SEBASTIAN,1-F,26,28
AR,SEBASTIAN,1-G,23,37
AR,SEBASTIAN,1-H,73,77
AR,SEBASTIAN,1-I,119,115
AR,SEBASTIAN,1-J,9,6
AR,SEBASTIAN,1-K,65,71
AR,SEBASTIAN,1-L,46,84
AR,SEBASTIAN,1-M,1,0
AR,SEBASTIAN,2-A,163,94
AR,SEBASTIAN,2-B,198,92
AR,SEBASTIAN,2-C,53,52
