STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
GA,CATOOSA,BLACKSTOCK,67,390
GA,CATOOSA,BOYNTON,234,941
GA,CATOOSA,CATOOSA KEITH,103,583
GA,CATOOSA,CHAMBERS,107,474
GA,CATOOSA,FORT OGLETHORPE,182,549
GA,CATOOSA,GRAYSVILLE,182,679
GA,CATOOSA,LAKEVIEW,158,466
GA,CATOOSA,POPLAR SPRINGS,94,635
GA,CATOOSA,RINGGOLD,224,853
GA,CATOOSA,WESTSIDE,174,591
GA,CATOOSA,WOODSTATION,125,666
GA,CHATTOOGA,ALPINE,53,292
GA,CHATTOOGA,CLOUDLAND,25,106
GA,CHATTOOGA,COLDWATER,42,52
GA,CHATTOOGA,DIRTSELLER,13,61
GA,CHATTOOGA,DIRTTOWN,53,280
GA,CHATTOOGA,HAYWOOD,12,74
GA,CHATTOOGA,LYERLY,56,252
GA,CHATTOOGA,PENNVILLE,24,125
GA,CHATTOOGA,SEMINOLE,3,56
GA,CHATTOOGA,SUBLIGNA,18,199
GA,CHATTOOGA,SUMMERVILLE,265,648
GA,CHATTOOGA,TELOGA,23,187
GA,CHATTOOGA,TRION,116,702
GA,DADE,DAVIS,64,521
GA,DADE,NEW HOME,28,247
GA,DADE,NEW SALEM,68,346
GA,DADE,NORTH DADE,96,363
GA,DADE,SOUTH DADE,39,254
GA,DADE,TRENTON,65,450
GA,DADE,WEST BROW,74,366
GA,FLOYD,ALTO PARK,152,439
GA,FLOYD,ARMUCHEE,50,354
GA,FLOYD,BARKERS,85,495
GA,FLOYD,CAVE SPRING,151,505
GA,FLOYD,CHULIO,57,301
GA,FLOYD,EAST LINDALE,166,627
GA,FLOYD,EAST ROME,346,360
GA,FLOYD,ETOWAH,188,775
GA,FLOYD,EVERETT SPRINGS,29,181
GA,FLOYD,FLOYD SPRINGS,49,563
GA,FLOYD,'FOSTER''S MILL',35,306
GA,FLOYD,GARDEN LAKES,167,264
GA,FLOYD,GLENWOOD,148,658
GA,FLOYD,HOWELL,56,455
GA,FLOYD,MT ALTO NORTH,327,352
GA,FLOYD,MT ALTO SOUTH,349,446
GA,FLOYD,NORTH CAROLINA,60,363
GA,FLOYD,NORTH ROME,279,213
GA,FLOYD,RIVERSIDE,64,166
GA,FLOYD,SOUTH ROME,243,55
GA,FLOYD,TEXAS VALLEY,38,290
GA,FLOYD,TOWN ROME,202,235
GA,FLOYD,VANNS VALLEY,49,157
