STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
MN,19,1010,712,712
MN,19,1020,806,685
MN,19,1030,766,593
MN,19,1040,910,700
MN,19,1050,835,720
MN,19,1055,1265,1096
MN,19,1060,646,465
MN,19,1070,1113,794
MN,19,1080,1076,844
MN,19,1090,928,851
MN,19,1100,1005,708
MN,19,1110,1023,870
MN,19,1120,1109,914
MN,19,1130,990,687
MN,19,1140,1080,759
MN,19,1150,755,526
MN,19,1210,1121,889
MN,19,1220,890,629
MN,19,1230,855,641
MN,19,1240,1093,885
MN,19,1250,859,385
MN,19,1260,1060,731
MN,19,1270,822,716
MN,19,1280,1407,1113
MN,19,1290,688,616
MN,19,1300,1078,865
MN,19,1310,961,853
MN,19,1320,880,597
MN,19,1330,1175,801
MN,19,1340,1090,785
MN,19,1350,1100,959
MN,19,1360,1012,913
MN,19,1370,742,633
MN,19,1410,228,523
MN,19,1510,20,43
MN,19,1610,18,12
MN,19,1710,374,314
MN,19,1720,1371,841
MN,19,1730,1014,641
MN,19,1740,1181,807
MN,19,1750,1367,908
MN,19,1755,1072,768
MN,19,1760,1016,572
MN,19,1765,1365,861
MN,19,1770,1446,963
MN,19,1780,1247,923
MN,19,1790,1332,865
MN,19,1795,524,434
MN,19,1800,826,507
MN,19,1810,728,467
MN,19,1820,655,436
MN,19,1830,1302,825
MN,19,1840,877,672
MN,19,1850,858,601
MN,19,1860,1141,908
MN,19,1870,934,664
MN,19,2010,509,938
MN,19,2110,228,607
MN,19,2210,344,525
MN,19,2220,784,1167
MN,19,2230,656,1002
MN,19,2240,914,1411
MN,19,2250,803,1131
MN,19,2260,660,942
MN,19,2310,169,278
MN,19,2410,87,228
MN,19,2510,140,354
MN,19,2610,561,726
MN,19,2620,541,791
MN,19,2630,563,631
MN,19,2635,651,741
MN,19,2640,717,746
MN,19,2645,617,730
MN,19,2650,651,872
MN,19,2660,568,709
MN,19,2710,888,913
MN,19,2720,848,920
MN,19,2730,982,1060
MN,19,2740,1170,953
MN,19,2750,1059,899
MN,19,2760,853,779
MN,19,2770,772,810
MN,19,2780,1023,772
MN,19,2790,834,417
MN,19,2800,925,632
MN,19,2910,829,966
MN,19,2920,1068,1397
MN,19,2930,686,1034
MN,19,2940,730,1003
MN,19,2950,716,959
MN,19,2960,644,926
MN,19,2970,672,1002
MN,19,2980,704,859
MN,19,2990,694,899
MN,19,3000,704,1010
MN,19,3010,929,1113
MN,19,3020,838,1010
MN,19,3030,752,902
