STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
NC,AVERY,ONE STOP,775,2110
NC,BERTIE,W1,468,235
NC,BERTIE,W2,9,271
NC,ALAMANCE,103,569,1248
NC,ASHE,ONE STOP,2064,4458
NC,ANSON,W1,317,132
NC,ANSON,POLK,128,201
NC,ANSON,ONE STOP,3724,2021
NC,ANSON,GULL,132,174
NC,ANSON,W2,150,102
NC,ANSON,ANS,208,251
NC,ANSON,W3,176,185
NC,ANSON,MM,255,90
NC,ANSON,LILE,263,278
NC,ANSON,PEAC,110,430
NC,ANSON,BURN,123,441
NC,ANSON,WS,61,89
NC,BLADEN,P45,60,145
NC,BLADEN,P40,93,248
NC,BLADEN,MAIL ABSENTEE,0,0
NC,BLADEN,P80,118,221
NC,BLADEN,P10,117,141
NC,BLADEN,P70,60,97
NC,BLADEN,P25,168,191
NC,BLADEN,ONE STOP LIBRARY,2703,2521
NC,BLADEN,P201,60,185
NC,BLADEN,ONE STOP EA,517,49
NC,BLADEN,P35,74,81
NC,BLADEN,P15,158,359
NC,BLADEN,P501,273,159
NC,BLADEN,ONE STOP B-BORO,383,1357
NC,BLADEN,ONE STOP DUBLIN,587,1312
NC,BLADEN,P60,215,187
NC,BLADEN,P202,164,269
NC,CAMDEN,ONE STOP,810,1929
NC,DUPLIN,ONE STOP,4811,5927
NC,CHATHAM,ONE STOP,16370,10630
NC,CUMBERLAND,ONE STOP 100 G 1-30,305,3
NC,CUMBERLAND,SH77,648,981
NC,CUMBERLAND,ABSENTEE 1-30,0,0
NC,CUMBERLAND,ONE STOP 100 E 31-57,87,80
NC,CUMBERLAND,AL51,967,2019
NC,CUMBERLAND,G6B,189,584
NC,CUMBERLAND,G9B-1,1084,1201
NC,CUMBERLAND,TRANSFER 1-30,6,1
NC,CUMBERLAND,ONE STOP 100 D 1-30,175,132
NC,CUMBERLAND,ONE STOP 100 C 31-57,256,168
NC,CUMBERLAND,G1A,865,408
NC,CUMBERLAND,CC01,1166,131
NC,CUMBERLAND,ONE STOP 100 E 1-30,68,49
NC,CUMBERLAND,ONE STOP 100 D 31-57,117,151
NC,CUMBERLAND,G3A-2,778,572
NC,CUMBERLAND,G3A-1,1416,655
NC,CUMBERLAND,G9A,814,885
NC,CUMBERLAND,G3B,340,289
NC,CUMBERLAND,CC05,997,125
NC,CUMBERLAND,EO61-2,509,797
NC,CUMBERLAND,ONE STOP 100 I 31-57,5,7
NC,CUMBERLAND,G6A,738,2079
NC,CUMBERLAND,ONE STOP 100 A 1-30,475,191
NC,CUMBERLAND,ONE STOP 100 B 31-57,32,17
NC,CUMBERLAND,ONE STOP 100 I 1-30,85,74
NC,CUMBERLAND,TRANSFER 31-57,3,0
NC,CUMBERLAND,ONE STOP 100 L 1-30,59,7
NC,CUMBERLAND,PROVISIONAL 1-30,0,0
