STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
NM,BERNALILLO,1,346.0,311.0
NM,BERNALILLO,80,555.0,509.0
NM,BERNALILLO,84,454.0,432.0
NM,BERNALILLO,85,715.0,768.0
NM,BERNALILLO,115,885.0,873.0
NM,BERNALILLO,117,698.0,777.0
NM,BERNALILLO,118,454.0,528.0
NM,BERNALILLO,127,598.0,602.0
NM,BERNALILLO,128,246.0,277.0
NM,BERNALILLO,129,217.0,234.0
NM,COLFAX,1,403.0,561.0
NM,COLFAX,2,141.0,117.0
NM,COLFAX,3,95.0,110.0
NM,COLFAX,4,97.0,143.0
NM,COLFAX,5,170.0,181.0
NM,COLFAX,7,71.0,105.0
NM,COLFAX,10,18.0,73.0
NM,COLFAX,11,50.0,57.0
NM,COLFAX,12,68.0,66.0
NM,COLFAX,13,40.0,33.0
NM,COLFAX,14,59.0,80.0
NM,COLFAX,15,96.0,163.0
NM,COLFAX,16,191.0,241.0
NM,COLFAX,17,104.0,76.0
NM,COLFAX,18,45.0,33.0
NM,COLFAX,19,50.0,20.0
NM,COLFAX,20,118.0,82.0
NM,COLFAX,21,167.0,170.0
NM,COLFAX,22,146.0,274.0
NM,CURRY,1,3.0,90.0
NM,CURRY,2,8.0,129.0
NM,CURRY,3,13.0,113.0
NM,CURRY,4,30.0,340.0
NM,CURRY,5,49.0,163.0
NM,CURRY,6,100.0,47.0
NM,CURRY,7,151.0,79.0
NM,CURRY,8,175.0,193.0
NM,CURRY,9,167.0,182.0
NM,CURRY,10,40.0,256.0
NM,CURRY,11,178.0,456.0
NM,CURRY,12,152.0,302.0
NM,CURRY,13,80.0,244.0
NM,CURRY,14,79.0,295.0
NM,CURRY,15,98.0,254.0
NM,CURRY,16,0.0,32.0
NM,CURRY,17,103.0,431.0
NM,CURRY,18,234.0,1013.0
NM,CURRY,19,129.0,647.0
NM,CURRY,20,126.0,186.0
NM,CURRY,21,135.0,229.0
NM,CURRY,22,67.0,87.0
NM,CURRY,23,49.0,328.0
NM,CURRY,24,193.0,576.0
NM,CURRY,25,105.0,53.0
NM,CURRY,26,70.0,76.0
