STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
VA,ALBEMARLE COUNTY,101 - WOODBROOK (05),1192,680
VA,ALBEMARLE COUNTY,103 - BRANCHLANDS (05),546,208
VA,ALBEMARLE COUNTY,104 - AGNOR-HURT (05),1106,406
VA,ALBEMARLE COUNTY,105 - DUNLORA (05),1363,592
VA,ALBEMARLE COUNTY,106 - NORTHSIDE (05),1161,901
VA,ALBEMARLE COUNTY,201 - JACK JOUETT (05),897,531
VA,ALBEMARLE COUNTY,202 - UNIVERSITY (05),1851,407
VA,ALBEMARLE COUNTY,203 - GEORGETOWN (05),1338,398
VA,ALBEMARLE COUNTY,204 - BELFIELD (05),431,290
VA,ALBEMARLE COUNTY,301 - IVY (05),1692,818
VA,ALBEMARLE COUNTY,302 - RED HILL (05),1103,738
VA,ALBEMARLE COUNTY,304 - EAST IVY (05),397,245
VA,ALBEMARLE COUNTY,305 - COUNTRY GREEN (05),957,555
VA,ALBEMARLE COUNTY,306 - PORTERS (05),588,388
VA,ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN (05),261,202
VA,ALBEMARLE COUNTY,401 - SCOTTSVILLE (05),445,590
VA,ALBEMARLE COUNTY,402 - MONTICELLO (05),445,547
VA,ALBEMARLE COUNTY,405 - CALE (05),2198,805
VA,ALBEMARLE COUNTY,406 - STONE ROBINSON (05),909,997
VA,ALBEMARLE COUNTY,501 - KESWICK (05),538,397
VA,ALBEMARLE COUNTY,502 - STONY POINT (05),534,530
VA,ALBEMARLE COUNTY,503 - HOLLYMEAD (05),971,654
VA,ALBEMARLE COUNTY,504 - FREE BRIDGE (05),1627,823
VA,ALBEMARLE COUNTY,506 - BAKER-BUTLER (05),1117,938
VA,ALBEMARLE COUNTY,601 - CROZET (05),1576,1081
VA,ALBEMARLE COUNTY,602 - FREE UNION (05),484,444
VA,ALBEMARLE COUNTY,603 - EARLYSVILLE (05),1061,1045
VA,ALBEMARLE COUNTY,604 - BROWNSVILLE (05),1802,1192
VA,APPOMATTOX COUNTY,101 - VERA (05),104,450
VA,APPOMATTOX COUNTY,102 - PAMPLIN (05),282,704
VA,APPOMATTOX COUNTY,201 - CHAP (05),147,210
VA,APPOMATTOX COUNTY,202 - SPOUT SPRING (05),208,964
VA,APPOMATTOX COUNTY,301 - US  460 (05),164,545
VA,APPOMATTOX COUNTY,302 - STONEWALL (05),214,625
VA,APPOMATTOX COUNTY,401 - COURTHOUSE (05),329,914
VA,APPOMATTOX COUNTY,501 - OAKVILLE (05),299,688
VA,APPOMATTOX COUNTY,502 - AGEE (05),139,254
VA,BEDFORD COUNTY,101 - GOODVIEW ELEM SCHOOL (05),310,1366
VA,BEDFORD COUNTY,102 - HARDY VOL FIRE CO (05),163,553
VA,BEDFORD COUNTY,103 - CHAMBLISSBURG BAPTIST CHURCH (05),263,942
VA,BEDFORD COUNTY,104 - STEWARTSVILLE RESCUE SQUAD (05),222,864
VA,BEDFORD COUNTY,201 - BEDFORD CHRISTIAN CHURCH (05),155,454
VA,BEDFORD COUNTY,202 - STAUNTON RIVER HIGH SCHOOL (05),179,641
VA,BEDFORD COUNTY,203 - MONETA ELEM SCHOOL (05),406,1303
VA,BEDFORD COUNTY,204 - QUAKER BAPTIST CHURCH (05),135,411
VA,BEDFORD COUNTY,205 - SAUNDERS VOL FIRE CO (05),305,913
VA,BEDFORD COUNTY,302 - BEDFORD REGIONAL WATER AUTH (05),258,893
VA,BEDFORD COUNTY,303 - BETHESDA UNITED METHODIST CHURCH (05),161,574
VA,BEDFORD COUNTY,305 - HUDDLESTON ELEM SCHOOL (05),129,489
VA,BEDFORD COUNTY,602 - SHADY GROVE FIRE DEPARTMENT (05),241,992
VA,BEDFORD COUNTY,603 - THAXTON BAPTIST CHURCH 1 (05),65,260
VA,BEDFORD COUNTY,604 - BEDFORD WELCOME CENTER (05),499,1191
VA,BEDFORD COUNTY,701 - GOODE VOL RESCUE SQUAD (05),269,1349
VA,BEDFORD COUNTY,702 - LIBERTY HIGH SCHOOL (05),225,656
VA,BEDFORD COUNTY,703 - THAXTON BAPTIST CHURCH 2 (05),145,544
VA,BEDFORD COUNTY,704 - BEDFORD CENTRAL LIBRARY (05),640,1109
VA,BRUNSWICK COUNTY,101 - BRODNAX (05),189,158
VA,BRUNSWICK COUNTY,102 - ROCK STORE (05),241,309
VA,BRUNSWICK COUNTY,103 - TILLMAN (05),228,413
VA,BRUNSWICK COUNTY,201 - DROMGOOLE (05),118,93
VA,BRUNSWICK COUNTY,202 - EDGERTON (05),485,176
VA,BRUNSWICK COUNTY,203 - FITZHUGH (05),350,171
VA,BRUNSWICK COUNTY,301 - ALBERTA (05),75,74
VA,BRUNSWICK COUNTY,302 - DANIELTOWN (05),330,311
VA,BRUNSWICK COUNTY,303 - ELMORE (05),166,144
VA,BRUNSWICK COUNTY,304 - SEYMOUR (05),176,130
VA,BRUNSWICK COUNTY,401 - STURGEON (05),653,371
VA,BRUNSWICK COUNTY,402 - KING'S STORE (05),271,93
VA,BRUNSWICK COUNTY,501 - TOTARO (05),784,237
VA,BUCKINGHAM COUNTY,101 - NEW CANTON (05),437,488
VA,BUCKINGHAM COUNTY,102  - GEORGIA CREEK (05),82,159
VA,BUCKINGHAM COUNTY,201 - WHITE HALL (05),287,294
VA,BUCKINGHAM COUNTY,301 - CURDSVILLE (05),243,411
VA,BUCKINGHAM COUNTY,302 - NEW STORE (05),124,368
VA,BUCKINGHAM COUNTY,401 - MAYSVILLE (05),406,638
VA,BUCKINGHAM COUNTY,501 - WRIGHTS (05),145,318
VA,BUCKINGHAM COUNTY,502 - GLENMORE (05),300,306
VA,BUCKINGHAM COUNTY,601 - SLATE RIVER (05),549,355
VA,BUCKINGHAM COUNTY,701 - GOLD HILL (05),327,334
VA,CAMPBELL COUNTY,101 - BROOKVILLE (05),440,1528
VA,CAMPBELL COUNTY,102 - NEW LONDON (05),420,1629
VA,CAMPBELL COUNTY,201 - WALKER (05),421,1181
VA,CAMPBELL COUNTY,202 - BEDFORD SPRINGS (05),425,1650
VA,CAMPBELL COUNTY,301 - EVINGTON (05),175,573
VA,CAMPBELL COUNTY,302 - OTTER RIVER (05),163,546
VA,CAMPBELL COUNTY,303 - ALTAVISTA (05),653,1135
VA,CAMPBELL COUNTY,401 - THREE FORKS (05),216,1000
VA,CAMPBELL COUNTY,402 - COURT HOUSE (05),447,1721
VA,CAMPBELL COUNTY,501 - SPRING HILL (05),424,1722
VA,CAMPBELL COUNTY,502 - YELLOW BRANCH (05),371,921
VA,CAMPBELL COUNTY,601 - KINGS (05),401,1025
VA,CAMPBELL COUNTY,602 - CONCORD (05),474,1420
VA,CAMPBELL COUNTY,701 - BROOKNEAL (05),348,696
VA,CAMPBELL COUNTY,702 - GLADYS (05),462,1039
VA,CAMPBELL COUNTY,703 - MORRIS CHURCH (05),173,454
VA,CHARLOTTE COUNTY,101 - COUNTY SEAT (05),324,511
VA,CHARLOTTE COUNTY,201 - RED OAK WYLLIESBURG (05),305,492
VA,CHARLOTTE COUNTY,302 - DRAKES BRANCH (05),233,404
VA,CHARLOTTE COUNTY,401 - KEYSVILLE (05),274,505
VA,CHARLOTTE COUNTY,501 - CULLEN/RED HOUSE (05),269,451
VA,CHARLOTTE COUNTY,602 - PHENIX (05),247,548
VA,CHARLOTTE COUNTY,702 - BACON/SAXE (05),291,373
VA,CHARLOTTESVILLE CITY,101 - RECREATION (05),1952,369
VA,CHARLOTTESVILLE CITY,102 - CLARK (05),1967,334
VA,CHARLOTTESVILLE CITY,201 - CARVER (05),1778,172
VA,CHARLOTTESVILLE CITY,202 - WALKER (05),1977,485
VA,CHARLOTTESVILLE CITY,301 - BENJAMIN TONSLER (05),1702,184
VA,CHARLOTTESVILLE CITY,302 - JOHNSON (05),1876,425
VA,CHARLOTTESVILLE CITY,303 - BUFORD (05),1265,155
VA,CHARLOTTESVILLE CITY,401 - VENABLE (05),1312,219
VA,CHARLOTTESVILLE CITY,402 - ALUMNI HALL (05),1300,265
VA,CUMBERLAND COUNTY,101 - PRECINCT 1 (05),393,568
VA,CUMBERLAND COUNTY,201 - PRECINCT 2 (05),295,638
VA,CUMBERLAND COUNTY,301 - PRECINCT 3 (05),506,345
VA,CUMBERLAND COUNTY,401 - PRECINCT 4 (05),322,535
VA,CUMBERLAND COUNTY,501 - PRECINCT 5 (05),370,422
VA,DANVILLE CITY,001 - WARD ONE (05),384,49
VA,DANVILLE CITY,002 - WARD TWO (05),322,186
VA,DANVILLE CITY,003 - WARD THREE (05),728,283
VA,DANVILLE CITY,004 - WARD FOUR (05),953,857
VA,DANVILLE CITY,006 - WARD SIX (05),468,57
VA,DANVILLE CITY,007 - WARD SEVEN (05),800,133
VA,DANVILLE CITY,008 - WARD EIGHT (05),586,283
VA,DANVILLE CITY,009 - WARD NINE (05),430,347
VA,DANVILLE CITY,010 - WARD TEN (05),602,448
VA,DANVILLE CITY,011 - WARD ELEVEN (05),976,483
VA,DANVILLE CITY,012 - WARD TWELVE (05),971,615
VA,DANVILLE CITY,013 - WARD THIRTEEN (05),894,440
VA,DANVILLE CITY,014 - WARD FOURTEEN (05),234,6
VA,DANVILLE CITY,015 - WARD FIFTEEN (05),622,603
VA,DANVILLE CITY,016 - WARD SIXTEEN (05),578,817
VA,DANVILLE CITY,017 - WARD SEVENTEEN (05),335,854
VA,FAUQUIER COUNTY,101 - KETTLE RUN (05),200,626
VA,FAUQUIER COUNTY,103 - CASANOVA (05),323,554
VA,FAUQUIER COUNTY,105 - OPAL (05),237,624
VA,FAUQUIER COUNTY,106 - BALDWIN RIDGE (05),386,634
VA,FAUQUIER COUNTY,201 - COURTHOUSE (05),917,1115
VA,FAUQUIER COUNTY,202 - AIRLIE (05),615,1073
VA,FAUQUIER COUNTY,203 - WARRENTON (05),853,985
VA,FAUQUIER COUNTY,302 - REMINGTON (05),604,1234
VA,FAUQUIER COUNTY,401 - MARSHALL (05),694,1116
VA,FAUQUIER COUNTY,402 - LEEDS (05),690,885
VA,FAUQUIER COUNTY,403 - WATERLOO (05),636,1239
VA,FAUQUIER COUNTY,404 - SPRINGS VALLEY (05),322,584
VA,FAUQUIER COUNTY,501 - THE PLAINS (05),718,796
VA,FAUQUIER COUNTY,502 - NEW BALTIMORE (05),518,1121
VA,FAUQUIER COUNTY,503 - BROAD RUN (05),494,915
VA,FAUQUIER COUNTY,504 - VINT HILL (05),870,1675
VA,FLUVANNA COUNTY,101 - PALMYRA (05),1224,1373
VA,FLUVANNA COUNTY,201 - COLUMBIA (05),729,997
VA,FLUVANNA COUNTY,301 - FORK UNION (05),905,959
VA,FLUVANNA COUNTY,401 - CUNNINGHAM (05),780,1556
VA,FLUVANNA COUNTY,501 - RIVANNA (05),1138,1330
VA,FRANKLIN COUNTY,102 - BURNT CHIMNEY (05),437,1248
VA,FRANKLIN COUNTY,103 - SCRUGGS (05),651,2009
VA,FRANKLIN COUNTY,201 - GLADE HILL (05),315,1081
VA,FRANKLIN COUNTY,202 - PENHOOK (05),307,744
VA,FRANKLIN COUNTY,203 - HODGESVILLE (05),73,184
VA,FRANKLIN COUNTY,204 - DUDLEY (05),245,646
VA,FRANKLIN COUNTY,301 - SNOW CREEK (05),142,563
VA,FRANKLIN COUNTY,302 - FORK MOUNTAIN (05),117,473
VA,FRANKLIN COUNTY,303 - SONTAG (05),466,723
VA,FRANKLIN COUNTY,304 - DICKINSON (05),220,274
VA,FRANKLIN COUNTY,401 - HENRY (05),206,979
VA,FRANKLIN COUNTY,402 - FERRUM (05),200,479
VA,FRANKLIN COUNTY,403 - ENDICOTT (05),135,509
VA,FRANKLIN COUNTY,501 - WAIDSBORO (05),201,605
VA,FRANKLIN COUNTY,502 - CALLAWAY (05),257,855
VA,FRANKLIN COUNTY,503 - BOWMANS (05),154,422
VA,FRANKLIN COUNTY,504 - GOGGINSVILLE (05),218,696
VA,FRANKLIN COUNTY,601 - BOONES MILL (05),349,1042
VA,FRANKLIN COUNTY,602 - BONBROOK (05),301,1000
VA,FRANKLIN COUNTY,603 - COOPERS COVE (05),193,789
VA,FRANKLIN COUNTY,701 - ROCKY MOUNT EAST (05),504,856
VA,FRANKLIN COUNTY,702 - ROCKY MOUNT WEST (05),435,559
VA,FRANKLIN COUNTY,703 - ROCKY MOUNT SOUTH (05),366,514
VA,GREENE COUNTY,101 - DYKE (05),220,615
VA,GREENE COUNTY,102 - SWIFT RUN (05),341,757
VA,GREENE COUNTY,201 - RUCKERSVILLE (05),643,1274
VA,GREENE COUNTY,301 - STANARDSVILLE (05),523,1311
VA,GREENE COUNTY,401 - MIDWAY (05),757,1426
VA,HALIFAX COUNTY,101 - CHILDREY (05),292,428
VA,HALIFAX COUNTY,102 - LIBERTY (05),149,218
VA,HALIFAX COUNTY,103 - REPUBLICAN GROVE (05),366,395
VA,HALIFAX COUNTY,201 - CLAYS MILL (05),172,365
VA,HALIFAX COUNTY,202 - CROSSROADS (05),212,294
VA,HALIFAX COUNTY,203 - CLOVER (05),404,416
VA,HALIFAX COUNTY,302 - MEADVILLE (05),227,111
VA,HALIFAX COUNTY,304 - VERNON HILL (05),200,367
VA,HALIFAX COUNTY,305 - SINAI (05),649,399
VA,HALIFAX COUNTY,401 - COURTHOUSE (05),452,444
VA,HALIFAX COUNTY,403 - CENTER (05),271,580
VA,HALIFAX COUNTY,502 - DAN RIVER (05),419,841
VA,HALIFAX COUNTY,503 - SCOTTSBURG (05),129,497
VA,HALIFAX COUNTY,601 - BLACK WALNUT (05),222,514
VA,HALIFAX COUNTY,603 - MT CARMEL (05),485,596
VA,HALIFAX COUNTY,605 - UNION (05),107,205
VA,HALIFAX COUNTY,701 - HYCO (05),265,760
VA,HALIFAX COUNTY,702 - MIDWAY (05),104,578
VA,HALIFAX COUNTY,703 - VIRGILINA (05),98,375
VA,HALIFAX COUNTY,801 - SOUTH BOSTON (05),959,429
VA,HENRY COUNTY,302 - AXTON (05),367,334
VA,HENRY COUNTY,303 - IRISBURG (05),558,713
VA,HENRY COUNTY,304 - MOUNT OLIVET (05),711,622
VA,HENRY COUNTY,305 - MOUNTAIN VALLEY (05),295,344
VA,HENRY COUNTY,405 - MOUNTAIN VIEW (05),314,430
VA,HENRY COUNTY,505 - DYERS STORE (05),9,47
VA,HENRY COUNTY,603 - RIDGEWAY 1 (05),295,932
VA,LUNENBURG COUNTY,101 - PLYMOUTH (05),165,440
VA,LUNENBURG COUNTY,201 - BROWNS STORE (05),192,356
VA,LUNENBURG COUNTY,301 - ROSEBUD (05),79,306
VA,LUNENBURG COUNTY,302 - FLAT ROCK (05),170,267
VA,LUNENBURG COUNTY,401 - ARROWHEAD GUN CLUB (05),55,214
VA,LUNENBURG COUNTY,402 - PLEASANT GROVE (05),141,351
VA,LUNENBURG COUNTY,501 - REEDY CREEK (05),199,162
VA,LUNENBURG COUNTY,502 - PEOPLES COMMUNITY CENTER (05),278,121
VA,LUNENBURG COUNTY,601 - HOUNDS CREEK (05),430,271
VA,LUNENBURG COUNTY,701 - MEHERRIN FIRE DEPARTMENT (05),148,186
VA,LUNENBURG COUNTY,702 - VICTORIA PUBLIC LIBRARY (05),151,256
VA,MADISON COUNTY,001 - OAK PARK (05),277,420
VA,MADISON COUNTY,002 - RADIANT (05),347,665
VA,MADISON COUNTY,003 - ROCHELLE (05),136,359
VA,MADISON COUNTY,004 - GRAVES MILL (05),13,44
VA,MADISON COUNTY,005 - MADISON (05),390,743
VA,MADISON COUNTY,006 - WOLFTOWN (05),205,420
VA,MADISON COUNTY,007 - BRIGHTWOOD (05),285,852
VA,MADISON COUNTY,008 - CRIGLERSVILLE (05),177,359
VA,MADISON COUNTY,009 - ETLAN (05),75,234
VA,MECKLENBURG COUNTY,101 - WRIGHTS STORE (05),241,219
VA,MECKLENBURG COUNTY,102 - PEARSONS STORE (05),50,117
VA,MECKLENBURG COUNTY,103 - SOUTH CLARKSVILLE (05),454,374
VA,MECKLENBURG COUNTY,201 - BOYDTON (05),225,215
VA,MECKLENBURG COUNTY,202 - BLUESTONE SENIOR HIGH SCHOOL (05),112,74
VA,MECKLENBURG COUNTY,203 - CHASE CITY VFW POST (05),316,73
VA,MECKLENBURG COUNTY,301 - BRACEY (05),248,731
VA,MECKLENBURG COUNTY,302 - LACROSSE (05),287,374
VA,MECKLENBURG COUNTY,401 - AMERICAN LEGION HALL (05),770,401
VA,MECKLENBURG COUNTY,402 - PARK VIEW MIDDLE SCHOOL (05),125,68
VA,MECKLENBURG COUNTY,501 - SOUTH HILL (05),594,788
VA,MECKLENBURG COUNTY,601 - BASKERVILLE (05),197,389
VA,MECKLENBURG COUNTY,602 - UNION LEVEL (05),61,262
VA,MECKLENBURG COUNTY,603 - SMITH CROSSROADS (05),83,164
VA,MECKLENBURG COUNTY,604 - LAKE GASTON (05),110,222
VA,MECKLENBURG COUNTY,701 - CHASE CITY (05),256,384
VA,MECKLENBURG COUNTY,702 - SUNSHINE (05),203,322
VA,MECKLENBURG COUNTY,801 - FINCHLEY (05),87,110
VA,MECKLENBURG COUNTY,802 - BLUESTONE (05),234,499
VA,MECKLENBURG COUNTY,803 - CHASE CITY ELEMENTARY SCHOOL (05),230,300
