COUNTY,PRECINCT,STATE,DEM,REP
ASHLEY,BEECH CREEK,AR,0,0
ASHLEY,BOYDELL,AR,0,0
ASHLEY,COOTER,AR,0,0
ASHLEY,CROSSROADS,AR,0,4
ASHLEY,CW1,AR,8,4
ASHLEY,CW2,AR,5,5
ASHLEY,CW3,AR,2,7
ASHLEY,FH CITY,AR,0,0
ASHLEY,FH RURAL,AR,0,1
ASHLEY,HAMBURG RURAL,AR,1,7
ASHLEY,HICKORY GROVE,AR,1,2
ASHLEY,HW1,AR,2,0
ASHLEY,HW2,AR,3,4
ASHLEY,HW3,AR,3,3
ASHLEY,MILO,AR,3,4
ASHLEY,MIST,AR,0,0
ASHLEY,MONTROSE CITY,AR,2,0
ASHLEY,MONTROSE RURAL,AR,0,0
ASHLEY,MT ZION,AR,0,5
ASHLEY,NCE,AR,2,5
ASHLEY,NCW,AR,0,0
ASHLEY,PARKDALE CITY,AR,0,0
ASHLEY,PARKDALE RURAL,AR,0,0
ASHLEY,PORTLAND CITY,AR,1,3
ASHLEY,PORTLAND RURAL,AR,0,0
ASHLEY,SNY/TRA,AR,0,0
ASHLEY,VOTECH,AR,1,3
ASHLEY,WCR,AR,1,2
ASHLEY,WILMOT CITY,AR,3,1
ASHLEY,WILMOT RURAL,AR,0,2
BRADLEY,BANKS CITY,AR,10,19
BRADLEY,BANKS RURAL,AR,25,57
BRADLEY,EAGLE LAKE,AR,13,29
BRADLEY,HERMITAGE CITY,AR,17,29
BRADLEY,HERMITAGE RURAL,AR,15,98
BRADLEY,JERSEY,AR,26,39
BRADLEY,JOHNSVILLE,AR,15,40
BRADLEY,MARION,AR,1,29
BRADLEY,NORTH,AR,25,213
BRADLEY,SOUTH,AR,14,101
BRADLEY,SPRINGHILL,AR,7,61
BRADLEY,WARD 1,AR,121,61
BRADLEY,WARD 2,AR,68,115
BRADLEY,WARD 3,AR,99,88
CALHOUN,CHAMBERSVILLE,AR,21,72
CALHOUN,CHAMBERSVILLE WEST,AR,4,13
CALHOUN,CHAMPAGNOLLE,AR,16,79
