COUNTY,PRECINCT,STATE,DEM,REP
APPLING,1B,GA,40,283
APPLING,1C,GA,28,224
APPLING,2,GA,317,195
APPLING,3A1,GA,10,277
APPLING,3C,GA,85,228
APPLING,4B,GA,5,303
APPLING,4D,GA,38,336
APPLING,5A,GA,24,212
APPLING,5B,GA,59,239
BULLOCH,BAY,GA,53,548
BULLOCH,BLITCH,GA,104,518
BULLOCH,BROOKLET,GA,181,828
BULLOCH,CHURCH,GA,539,515
BULLOCH,EMIT,GA,207,664
BULLOCH,FAIR,GA,406,774
BULLOCH,HAGIN,GA,204,487
BULLOCH,LEEFIELD,GA,52,338
BULLOCH,LOCKHART,GA,57,219
BULLOCH,NEVILS,GA,78,359
BULLOCH,PITTMAN PARK,GA,656,407
BULLOCH,PORTAL,GA,162,437
BULLOCH,REGISTER,GA,87,193
BULLOCH,SINKHOLE,GA,21,199
BULLOCH,STATESBORO,GA,651,482
BULLOCH,STILSON,GA,95,634
BURKE,ALEXANDER,GA,50,91
BURKE,BLAKENEY,GA,71,53
BURKE,FOUR POINTS,GA,208,497
BURKE,GIRARD,GA,140,119
BURKE,GOUGH,GA,71,59
BURKE,GREENSCUT,GA,118,212
BURKE,KEYSVILLE,GA,108,69
BURKE,MIDVILLE,GA,97,91
BURKE,MUNNERLYN,GA,28,74
BURKE,NORTH WAYNESBORO,GA,457,137
BURKE,SARDIS,GA,136,256
BURKE,SCOTTS CROSSROADS,GA,74,42
BURKE,SOUTH WAYNESBORO,GA,332,333
BURKE,ST. CLAIR,GA,65,73
BURKE,TELFAIR,GA,104,183
BURKE,VIDETTE,GA,61,77
CANDLER,CANDLER-1736,GA,134,345
CANDLER,METTER -1685,GA,251,338
COFFEE,AMBROSE,GA,98,402
COFFEE,BRIDGETOWN,GA,38,92
COFFEE,BROXTON,GA,189,438
COFFEE,DOUGLAS,GA,1037,1320
COFFEE,NICHOLLS,GA,111,366
COFFEE,WEST GREEN,GA,13,304
COLUMBIA,ABILENE BAPTIST,GA,163,443
COLUMBIA,AUGUSTA CHRISTIAN,GA,188,441
COLUMBIA,BELAIR BAPTIST,GA,231,501
COLUMBIA,BLANCHARD PARK,GA,102,389
COLUMBIA,BLUE RIDGE ELEMENTARY,GA,179,395
COLUMBIA,CHRIST CHURCH,GA,99,434
COLUMBIA,CHRIST SANCTIFIED,GA,181,501
COLUMBIA,CHURCH OF OUR SAVIOR,GA,208,445
COLUMBIA,COL CTY BD OF EDU,GA,135,360
COLUMBIA,COL CTY MAIN LIBRARY,GA,124,310
COLUMBIA,G A APOSTOLIC CHURCH,GA,139,376
COLUMBIA,GENESIS CHURCH,GA,150,396
COLUMBIA,GOLD CROSS EMS,GA,94,371
COLUMBIA,GOSPEL WATER BRANCH,GA,185,373
COLUMBIA,GROVETOWN METHODIST CHURCH,GA,308,268
COLUMBIA,GROVETOWN MIDDLE SCHOOL,GA,395,372
COLUMBIA,JOURNEY COMM. CHURCH,GA,62,241
COLUMBIA,LAKESIDE MIDDLE,GA,125,392
COLUMBIA,LEWIS METHODIST CHURCH,GA,265,571
COLUMBIA,LIBERTY PARK,GA,358,434
COLUMBIA,MARTINEZ BAPTIST,GA,214,419
COLUMBIA,MARVIN METHODIST CHURCH,GA,204,456
COLUMBIA,MTZ COL FIRE DEPT #4,GA,197,369
COLUMBIA,MTZ COL FIRE HDQTR,GA,132,260
COLUMBIA,NEW LIFE CHURCH,GA,376,496
COLUMBIA,PATRIOTS PARK,GA,268,618
COLUMBIA,PHILADELPHIA CHURCH,GA,216,421
COLUMBIA,REDEEMER CHURCH,GA,299,882
COLUMBIA,RIVERSIDE ELEMENTARY,GA,78,268
COLUMBIA,STEVENS CREEK CHURCH,GA,211,707
COLUMBIA,STEVENS CREEK ELEM,GA,67,343
COLUMBIA,TRINITY BAPT CHURCH,GA,74,320
COLUMBIA,WARREN BAPTIST,GA,271,261
COLUMBIA,WESLEY METHODIST,GA,149,451
COLUMBIA,WEST ACRES BAPTIST,GA,151,462
COLUMBIA,WESTSIDE BAPT CHURCH,GA,121,421
COLUMBIA,WOODLAWN BAPTIST CHURCH,GA,65,286
EFFINGHAM,3A,GA,62,312
EFFINGHAM,3B,GA,184,264
EFFINGHAM,3C,GA,73,357
EFFINGHAM,3D,GA,232,511
EFFINGHAM,4A,GA,172,625
EFFINGHAM,4C,GA,100,550
EMANUEL,ADRIAN,GA,28,231
EMANUEL,BLUNDALE,GA,14,233
EMANUEL,CANOOCHEE,GA,45,217
EMANUEL,CROSS-GREEN,GA,86,39
EMANUEL,GARFIELD,GA,37,172
EMANUEL,NUNEZ,GA,25,103
EMANUEL,OAK PARK,GA,18,296
EMANUEL,STILLMORE,GA,72,135
EMANUEL,SUMMERTOWN,GA,35,142
EMANUEL,SWAINSBORO,GA,634,683
EMANUEL,TWIN CITY,GA,204,357
EVANS,'VETERAN''S COMM CTR',GA,401,652
JEFF DAVIS,ALTAMAHA 1,GA,15,125
JEFF DAVIS,ALTAMAHA 2,GA,18,319
JEFF DAVIS,BLACKBURN 1,GA,37,103
JEFF DAVIS,BLACKBURN 2,GA,8,199
JEFF DAVIS,HAZELHURST,GA,141,122
JEFF DAVIS,OCMULGEE 1,GA,50,229
JEFF DAVIS,OCMULGEE 2,GA,13,89
JEFF DAVIS,WHITEHEAD 1,GA,60,108
JEFF DAVIS,WHITEHEAD 2,GA,15,192
JENKINS,COURT HOUSE,GA,120,72
JENKINS,FOUR POINTS,GA,103,217
JENKINS,JENKINS CO,GA,134,59
JENKINS,PERKINS,GA,46,143
JENKINS,SENIOR CITIZENS BLD,GA,22,184
LAURENS,BREWTON,GA,78,461
LAURENS,BUCKEYE,GA,131,206
LAURENS,BURCH,GA,25,183
LAURENS,CADWELL,GA,32,292
LAURENS,CALHOUN PARK,GA,856,290
LAURENS,DUDLEY,GA,79,433
LAURENS,FAMILY LIFE CENTER,GA,275,479
LAURENS,FIRE DEPT STA #5,GA,179,620
LAURENS,HAMPTON MILL,GA,87,690
LAURENS,HARVARD,GA,85,89
LAURENS,LCFS 10 (VALAMBROSIA),GA,167,386
LAURENS,MINTER,GA,19,338
LAURENS,REEDY SPRINGS,GA,49,347
LAURENS,RURAL FIRE STA #17,GA,136,517
LAURENS,SMITH,GA,361,450
LAURENS,W T ADAMS FIRESTATION,GA,145,472
MONTGOMERY,AILEY,GA,45,83
MONTGOMERY,ALSTON,GA,16,179
MONTGOMERY,HIGGSTON,GA,68,428
MONTGOMERY,KIBBEE,GA,12,212
