DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D2,U.S. Representative District 2,5,25,MN,16,32
D2,U.S. Representative District 2,5,66,MN,586,530
D2,U.S. Representative District 2,5,70,MN,1153,1616
D2,U.S. Representative District 2,5,79,MN,3,13
D2,U.S. Representative District 2,10,25,MN,93,181
D2,U.S. Representative District 2,10,70,MN,127,327
D2,U.S. Representative District 2,10,79,MN,60,137
D2,U.S. Representative District 2,12,66,MN,4,7
D2,U.S. Representative District 2,15,25,MN,60,177
D2,U.S. Representative District 2,15,66,MN,413,362
D2,U.S. Representative District 2,15,70,MN,59,179
D2,U.S. Representative District 2,15,79,MN,162,283
D2,U.S. Representative District 2,20,25,MN,479,490
D2,U.S. Representative District 2,20,70,MN,520,1113
D2,U.S. Representative District 2,20,79,MN,131,219
D2,U.S. Representative District 2,25,25,MN,416,546
D2,U.S. Representative District 2,25,70,MN,976,1948
D2,U.S. Representative District 2,25,79,MN,66,147
D2,U.S. Representative District 2,30,25,MN,240,373
D2,U.S. Representative District 2,30,79,MN,41,81
D2,U.S. Representative District 2,35,25,MN,48,131
D2,U.S. Representative District 2,35,79,MN,300,403
D2,U.S. Representative District 2,37,70,MN,747,1237
D2,U.S. Representative District 2,40,25,MN,27,62
D2,U.S. Representative District 2,40,70,MN,291,640
D2,U.S. Representative District 2,40,79,MN,22,11
D2,U.S. Representative District 2,40,82,MN,853,664
D2,U.S. Representative District 2,45,25,MN,206,246
D2,U.S. Representative District 2,45,70,MN,238,265
D2,U.S. Representative District 2,45,79,MN,92,131
D2,U.S. Representative District 2,45,82,MN,724,603
D2,U.S. Representative District 2,50,25,MN,358,531
D2,U.S. Representative District 2,50,70,MN,719,926
D2,U.S. Representative District 2,50,79,MN,44,53
D2,U.S. Representative District 2,50,82,MN,886,634
D2,U.S. Representative District 2,55,25,MN,175,327
D2,U.S. Representative District 2,55,70,MN,304,425
D2,U.S. Representative District 2,55,79,MN,106,144
D2,U.S. Representative District 2,55,82,MN,945,774
D2,U.S. Representative District 2,60,25,MN,69,204
D2,U.S. Representative District 2,60,70,MN,231,458
D2,U.S. Representative District 2,60,79,MN,95,120
D2,U.S. Representative District 2,60,82,MN,908,813
D2,U.S. Representative District 2,65,25,MN,211,307
D2,U.S. Representative District 2,65,79,MN,314,308
D2,U.S. Representative District 2,65,82,MN,828,728
D2,U.S. Representative District 2,70,25,MN,77,164
D2,U.S. Representative District 2,70,70,MN,667,1314
D2,U.S. Representative District 2,70,79,MN,327,264
D2,U.S. Representative District 2,70,82,MN,908,782
D2,U.S. Representative District 2,75,25,MN,347,469
D2,U.S. Representative District 2,75,66,MN,66,83
D2,U.S. Representative District 2,75,70,MN,852,1112
D2,U.S. Representative District 2,75,79,MN,373,390
D2,U.S. Representative District 2,75,82,MN,948,908
D2,U.S. Representative District 2,80,25,MN,60,136
D2,U.S. Representative District 2,80,66,MN,988,60
D2,U.S. Representative District 2,80,70,MN,592,757
D2,U.S. Representative District 2,80,79,MN,149,203
D2,U.S. Representative District 2,80,82,MN,855,649
D2,U.S. Representative District 2,84,70,MN,595,643
D2,U.S. Representative District 2,85,25,MN,203,216
D2,U.S. Representative District 2,85,66,MN,1433,627
D2,U.S. Representative District 2,85,79,MN,129,255
D2,U.S. Representative District 2,85,82,MN,395,448
D2,U.S. Representative District 2,88,25,MN,533,627
D2,U.S. Representative District 2,90,25,MN,205,291
D2,U.S. Representative District 2,90,66,MN,881,443
D2,U.S. Representative District 2,90,70,MN,954,1060
D2,U.S. Representative District 2,90,79,MN,19,48
D2,U.S. Representative District 2,90,82,MN,985,825
D2,U.S. Representative District 2,91,70,MN,905,1180
D2,U.S. Representative District 2,92,70,MN,939,1221
D2,U.S. Representative District 2,93,70,MN,547,789
D2,U.S. Representative District 2,94,70,MN,460,596
D2,U.S. Representative District 2,95,25,MN,133,220
D2,U.S. Representative District 2,95,66,MN,836,530
D2,U.S. Representative District 2,97,70,MN,791,882
D2,U.S. Representative District 2,99,70,MN,78,212
D2,U.S. Representative District 2,100,70,MN,245,510
D2,U.S. Representative District 2,100,79,MN,30,44
D2,U.S. Representative District 2,100,82,MN,445,558
D2,U.S. Representative District 2,105,25,MN,105,202
D2,U.S. Representative District 2,105,66,MN,1070,381
D2,U.S. Representative District 2,105,70,MN,780,678
D2,U.S. Representative District 2,105,79,MN,68,141
D2,U.S. Representative District 2,110,25,MN,475,502
D2,U.S. Representative District 2,110,70,MN,945,672
D2,U.S. Representative District 2,110,79,MN,69,91
D2,U.S. Representative District 2,111,70,MN,933,888
D2,U.S. Representative District 2,112,70,MN,1156,986
D2,U.S. Representative District 2,113,66,MN,975,262
D2,U.S. Representative District 2,113,70,MN,964,1017
D2,U.S. Representative District 2,114,66,MN,864,96
D2,U.S. Representative District 2,114,70,MN,666,773
D2,U.S. Representative District 2,115,25,MN,544,547
D2,U.S. Representative District 2,115,66,MN,205,266
D2,U.S. Representative District 2,115,79,MN,105,103
D2,U.S. Representative District 2,116,70,MN,809,836
D2,U.S. Representative District 2,117,70,MN,532,467
D2,U.S. Representative District 2,118,70,MN,882,891
D2,U.S. Representative District 2,119,70,MN,838,805
D2,U.S. Representative District 2,120,66,MN,70,112
D2,U.S. Representative District 2,120,70,MN,698,555
D2,U.S. Representative District 2,120,79,MN,264,468
D2,U.S. Representative District 2,125,25,MN,611,433
D2,U.S. Representative District 2,125,70,MN,639,414
D2,U.S. Representative District 2,125,79,MN,227,411
D2,U.S. Representative District 2,130,25,MN,487,446
D2,U.S. Representative District 2,130,70,MN,1025,775
D2,U.S. Representative District 2,130,79,MN,69,145
D2,U.S. Representative District 2,135,25,MN,146,191
D2,U.S. Representative District 2,135,70,MN,524,511
D2,U.S. Representative District 2,135,82,MN,96,71
D2,U.S. Representative District 2,136,70,MN,940,836
D2,U.S. Representative District 2,137,70,MN,527,378
D2,U.S. Representative District 2,138,70,MN,603,607
D2,U.S. Representative District 2,140,25,MN,669,452
D2,U.S. Representative District 2,140,79,MN,255,170
D2,U.S. Representative District 2,140,82,MN,1,0
D2,U.S. Representative District 2,142,66,MN,212,372
D2,U.S. Representative District 2,145,25,MN,472,441
D2,U.S. Representative District 2,145,70,MN,448,617
D2,U.S. Representative District 2,145,79,MN,222,234
D2,U.S. Representative District 2,150,70,MN,987,951
D2,U.S. Representative District 2,150,79,MN,175,158
D2,U.S. Representative District 2,153,70,MN,559,545
D2,U.S. Representative District 2,155,25,MN,535,297
D2,U.S. Representative District 2,155,66,MN,117,183
D2,U.S. Representative District 2,155,79,MN,54,74
D2,U.S. Representative District 2,156,70,MN,726,729
D2,U.S. Representative District 2,157,70,MN,31,15
D2,U.S. Representative District 2,158,70,MN,73,76
D2,U.S. Representative District 2,160,25,MN,476,357
D2,U.S. Representative District 2,160,70,MN,605,1343
D2,U.S. Representative District 2,160,79,MN,47,136
D2,U.S. Representative District 2,165,79,MN,136,275
D2,U.S. Representative District 2,170,25,MN,136,269
D2,U.S. Representative District 2,170,79,MN,18,46
D2,U.S. Representative District 2,175,25,MN,256,374
