STATE,COUNTY,PRECINCT,DEM,REP
MN,19,1010,747,657
MN,19,1020,804,587
MN,19,1030,753,535
MN,19,1040,955,659
MN,19,1050,866,710
MN,19,1055,1256,1051
MN,19,1060,589,426
MN,19,1070,1134,719
MN,19,1080,1102,783
MN,19,1090,953,864
MN,19,1100,1025,657
MN,19,1110,989,796
MN,19,1120,1212,847
MN,19,1130,1214,857
MN,19,1140,1187,661
MN,19,1150,825,432
MN,19,1210,1109,843
MN,19,1220,889,544
MN,19,1230,830,567
MN,19,1240,1124,744
MN,19,1250,817,301
MN,19,1260,1064,656
MN,19,1270,849,688
MN,19,1280,1395,1046
MN,19,1290,669,574
MN,19,1300,1016,778
MN,19,1310,901,753
MN,19,1320,834,509
MN,19,1330,1141,658
MN,19,1340,1022,695
MN,19,1350,1119,852
MN,19,1360,921,767
MN,19,1370,747,564
MN,19,1410,223,475
MN,19,1510,24,42
MN,19,1610,120,258
MN,19,1710,401,271
MN,19,1720,1391,749
MN,19,1730,1068,670
MN,19,1740,1286,723
MN,19,1750,1404,848
MN,19,1755,1079,689
MN,19,1760,1053,524
MN,19,1765,1418,881
MN,19,1770,1455,920
MN,19,1780,1326,888
MN,19,1790,1317,797
MN,19,1795,556,410
MN,19,1800,817,453
MN,19,1810,721,480
MN,19,1820,688,406
MN,19,1830,1312,793
MN,19,1840,903,648
MN,19,1850,909,589
MN,19,1860,1264,949
MN,19,1870,965,672
MN,19,2010,572,826
MN,19,2110,270,538
MN,19,2210,371,414
MN,19,2220,916,955
MN,19,2230,693,791
MN,19,2240,954,1266
MN,19,2250,833,957
MN,19,2260,657,783
MN,19,2310,176,272
MN,19,2410,105,155
MN,19,2510,156,326
MN,19,2610,597,567
MN,19,2620,552,623
MN,19,2630,544,532
MN,19,2635,656,630
MN,19,2640,693,658
MN,19,2645,666,631
MN,19,2650,665,896
MN,19,2660,632,595
MN,19,2710,953,926
MN,19,2720,837,829
MN,19,2730,973,1054
MN,19,2740,1187,904
MN,19,2750,1060,787
MN,19,2760,904,671
MN,19,2770,780,693
MN,19,2780,1022,699
MN,19,2790,801,329
MN,19,2800,926,544
MN,19,2910,843,835
MN,19,2920,1192,1446
MN,19,2930,695,849
MN,19,2940,785,879
MN,19,2950,784,844
MN,19,2960,648,871
MN,19,2970,669,948
MN,19,2980,662,812
MN,19,2990,724,894
MN,19,3000,756,954
MN,19,3010,923,1060
MN,19,3020,843,916
MN,19,3030,870,931
MN,19,3040,854,794
MN,19,3050,837,800
MN,19,3060,1427,1450
MN,19,3070,964,936
MN,19,3110,433,271
MN,19,3210,214,401
MN,19,3310,64,37
MN,19,3410,1042,671
MN,19,3420,815,702
MN,19,3430,1032,661
MN,19,3440,774,487
MN,19,3450,818,606
MN,19,3510,32,32
MN,19,3610,10,20
MN,19,3710,177,307
MN,19,3810,525,237
MN,19,3910,86,141
MN,19,4010,135,264
MN,19,4110,528,678
MN,19,4210,1261,1112
MN,19,4220,947,962
MN,19,4230,996,1024
MN,19,4240,695,539
MN,19,4250,598,579
MN,19,4260,678,578
MN,19,4270,1160,896
MN,19,4310,91,159
MN,19,4410,1309,726
MN,19,4420,782,485
MN,19,4430,1378,932
MN,19,4440,366,160
MN,19,4450,1609,975
MN,19,4510,151,204
MN,19,4610,102,122
MN,19,4710,218,381
MN,19,4810,150,141
MN,19,4910,1180,548
MN,19,4920,602,290
MN,19,4940,1453,690
MN,19,4950,728,319
MN,19,4970,998,522
MN,19,4980,1260,794
MN,25,5,16,32
MN,25,10,93,181
MN,25,15,60,177
MN,25,20,479,490
MN,25,25,416,546
MN,25,30,240,373
MN,25,35,48,131
MN,25,40,27,62
MN,25,45,206,246
MN,25,50,358,531
MN,25,55,175,327
MN,25,60,69,204
MN,25,65,211,307
MN,25,70,77,164
MN,25,75,347,469
MN,25,80,60,136
MN,25,85,203,216
MN,25,90,205,291
MN,25,95,133,220
MN,25,100,533,627
MN,25,105,105,202
MN,25,110,475,502
MN,25,115,544,547
MN,25,125,611,433
MN,25,130,487,446
MN,25,140,669,452
MN,25,145,472,441
MN,25,155,535,297
MN,25,160,476,357
MN,25,170,136,269
MN,25,175,256,374
MN,25,180,210,287
MN,25,185,142,134
MN,25,190,154,319
MN,25,195,54,199
MN,25,200,146,191
MN,25,205,197,213
MN,25,210,333,385
MN,25,215,383,510
MN,25,220,111,217
MN,66,5,586,530
MN,66,12,4,7
MN,66,15,413,362
MN,66,75,66,83
MN,66,80,988,60
MN,66,85,1433,627
MN,66,90,881,443
MN,66,95,836,530
MN,66,105,1070,381
MN,66,113,975,262
MN,66,114,864,96
MN,66,115,205,266
MN,66,120,70,112
MN,66,142,208,356
MN,66,155,117,183
MN,70,5,1153,1617
MN,70,10,127,326
MN,70,15,59,179
MN,70,20,518,1113
MN,70,25,978,1948
MN,70,37,746,1239
MN,70,40,291,640
MN,70,45,238,265
MN,70,50,719,926
MN,70,55,304,425
MN,70,60,231,458
MN,70,70,667,1311
MN,70,75,852,1112
MN,70,80,592,757
MN,70,84,595,642
MN,70,90,954,1061
MN,70,91,904,1180
MN,70,92,939,1223
MN,70,93,547,788
MN,70,94,460,596
MN,70,97,790,882
MN,70,99,78,212
MN,70,100,245,510
MN,70,105,780,678
MN,70,110,945,672
MN,70,111,933,888
MN,70,112,1156,986
MN,70,113,964,1016
MN,70,114,666,773
MN,70,116,810,836
MN,70,117,532,467
MN,70,118,882,891
MN,70,119,837,804
MN,70,120,698,555
MN,70,125,639,414
MN,70,130,1025,775
MN,70,135,524,511
MN,70,136,939,836
MN,70,137,527,378
MN,70,138,603,607
MN,70,145,448,617
MN,70,150,987,951
MN,70,153,560,545
MN,70,156,721,726
MN,70,157,31,15
MN,70,158,73,76
MN,70,160,605,1343
MN,79,5,3,13
MN,79,10,60,137
MN,79,15,162,283
MN,79,20,131,219
MN,79,25,66,147
MN,79,30,41,81
MN,79,35,300,403
MN,79,40,22,11
MN,79,45,92,131
MN,79,50,44,53
MN,79,55,106,144
MN,79,60,95,120
MN,79,65,314,308
MN,79,70,327,264
MN,79,75,373,390
MN,79,80,149,203
MN,79,85,129,255
MN,79,90,19,48
MN,79,95,14,24
MN,79,100,30,44
MN,79,105,68,141
MN,79,110,69,91
MN,79,115,105,103
MN,79,120,264,468
MN,79,125,227,411
MN,79,130,69,145
MN,79,140,255,170
MN,79,145,222,234
MN,79,150,175,158
MN,79,155,54,74
MN,79,160,47,136
MN,79,165,136,275
MN,79,170,18,46
MN,82,40,853,664
MN,82,45,724,603
MN,82,50,886,634
MN,82,55,945,774
MN,82,60,908,813
MN,82,65,828,728
MN,82,70,908,782
MN,82,75,948,908
MN,82,80,855,649
MN,82,85,395,448
MN,82,90,985,825
MN,82,100,445,558
MN,82,135,96,71
MN,82,140,1,0
MN,82,285,304,225
MN,82,295,463,376
MN,82,300,401,349
