STATE,COUNTY,PRECINCT,DEM,REP
MN,1,5,378,382
MN,2,5,584,1050
MN,3,5,12,32
MN,4,5,67,31
MN,5,5,88,224
MN,6,5,53,34
MN,7,5,82,110
MN,8,5,37,113
MN,9,5,104,105
MN,10,5,116,273
MN,11,5,7,23
MN,12,5,87,55
MN,13,5,169,257
MN,14,5,48,51
MN,15,5,164,235
MN,16,5,122,50
MN,17,5,21,56
MN,18,5,645,850
MN,20,5,59,112
MN,21,5,75,134
MN,22,5,39,81
MN,23,5,74,55
MN,24,5,932,858
MN,25,5,17,29
MN,26,5,101,100
MN,27,5,702,497
MN,28,5,71,67
MN,29,5,54,91
MN,30,5,305,567
MN,31,5,2,12
MN,32,5,20,50
MN,33,5,70,101
MN,34,5,77,111
MN,35,5,15,36
MN,36,5,36,47
MN,37,5,12,26
MN,38,5,26,36
MN,39,5,29,85
MN,40,5,139,162
MN,41,5,52,41
MN,42,5,24,77
MN,43,5,178,376
MN,44,5,13,24
MN,45,5,14,26
MN,46,5,36,76
MN,47,5,66,104
MN,48,5,9,10
MN,49,5,62,198
MN,50,5,178,162
MN,51,5,15,35
MN,52,5,253,299
MN,53,5,181,235
MN,54,5,154,155
MN,55,5,1111,1334
MN,56,5,33,69
MN,57,5,10,19
MN,58,5,52,91
MN,59,5,27,68
MN,60,5,30,39
MN,61,5,14,57
MN,63,5,12,35
MN,64,5,44,83
MN,65,5,30,36
MN,66,5,574,498
MN,67,5,15,58
MN,68,5,60,107
MN,69,5,68,42
MN,70,5,1100,1505
MN,71,5,412,911
MN,72,5,53,100
MN,73,5,354,646
MN,74,5,77,157
MN,75,5,14,30
MN,76,5,248,271
MN,77,5,48,122
MN,78,5,10,18
MN,79,5,3,12
MN,80,5,6,13
MN,81,5,61,134
MN,82,5,281,181
MN,83,5,35,50
MN,84,5,10,54
MN,85,5,63,110
MN,86,5,1089,1673
MN,87,5,36,40
MN,18,6,399,497
MN,18,7,376,504
MN,20,7,0,0
MN,21,7,487,728
MN,18,8,337,445
MN,1,10,170,297
MN,2,10,621,864
MN,3,10,59,119
MN,4,10,3,7
MN,5,10,285,528
MN,6,10,33,28
MN,7,10,59,108
MN,8,10,38,81
MN,9,10,34,32
MN,10,10,120,341
MN,11,10,37,28
MN,12,10,219,357
MN,14,10,235,196
MN,15,10,21,41
MN,16,10,258,108
MN,17,10,21,46
MN,18,10,227,346
MN,20,10,116,222
MN,21,10,401,708
MN,22,10,198,230
MN,23,10,62,102
MN,24,10,24,25
MN,25,10,99,171
MN,26,10,88,77
MN,27,10,794,554
MN,28,10,132,113
MN,29,10,117,162
MN,30,10,488,963
MN,31,10,198,249
MN,32,10,19,20
MN,33,10,324,443
MN,34,10,198,205
MN,35,10,9,1
MN,37,10,25,37
MN,38,10,67,90
MN,39,10,99,108
MN,40,10,163,234
MN,41,10,22,16
MN,42,10,107,141
MN,43,10,119,317
MN,44,10,24,13
MN,45,10,16,29
MN,46,10,26,80
MN,47,10,6,11
MN,48,10,178,444
MN,49,10,69,229
MN,50,10,136,124
MN,51,10,46,50
MN,52,10,44,71
MN,53,10,23,34
MN,54,10,163,171
MN,55,10,662,638
MN,56,10,131,153
MN,57,10,5,19
MN,58,10,18,25
MN,59,10,14,45
MN,60,10,17,32
MN,61,10,28,41
MN,62,10,1254,815
MN,63,10,11,13
MN,64,10,9,81
MN,65,10,33,44
MN,66,10,203,358
MN,67,10,33,76
MN,68,10,22,41
MN,69,10,154,78
MN,70,10,146,297
MN,71,10,596,1076
MN,72,10,312,508
MN,73,10,77,324
MN,74,10,91,172
MN,75,10,18,49
MN,76,10,43,62
MN,77,10,62,104
MN,78,10,85,62
MN,79,10,59,131
MN,80,10,43,151
MN,81,10,102,197
MN,82,10,249,230
MN,83,10,27,81
MN,84,10,10,17
MN,85,10,67,77
MN,86,10,223,377
MN,87,10,271,341
MN,55,11,67,90
MN,55,12,28,60
MN,66,12,4,7
MN,55,13,0,0
MN,1,15,74,75
MN,2,15,742,1004
MN,3,15,104,189
MN,4,15,559,676
MN,5,15,26,49
MN,6,15,23,21
MN,7,15,64,81
MN,8,15,37,92
MN,9,15,88,66
MN,10,15,1020,1086
MN,11,15,77,153
MN,12,15,50,46
MN,13,15,189,142
MN,14,15,164,155
MN,15,15,69,128
MN,16,15,250,91
MN,17,15,47,46
MN,18,15,221,215
MN,20,15,45,79
MN,21,15,514,662
MN,22,15,214,308
MN,23,15,52,76
MN,24,15,494,443
MN,25,15,59,175
MN,26,15,31,26
MN,27,15,689,321
MN,28,15,100,120
MN,29,15,109,197
MN,30,15,234,345
MN,31,15,32,66
MN,32,15,28,74
MN,33,15,0,0
MN,34,15,29,54
MN,35,15,8,14
MN,37,15,25,28
MN,39,15,32,70
MN,40,15,109,108
MN,41,15,37,47
MN,42,15,39,78
MN,43,15,23,18
MN,44,15,16,18
MN,45,15,48,63
MN,46,15,49,72
MN,47,15,44,114
MN,48,15,228,484
MN,49,15,148,392
MN,50,15,827,454
MN,51,15,50,90
MN,52,15,21,42
MN,53,15,57,127
MN,54,15,11,14
MN,55,15,244,257
MN,56,15,323,476
MN,57,15,11,36
MN,58,15,71,46
MN,59,15,8,94
MN,60,15,15,23
MN,61,15,44,75
MN,63,15,31,50
MN,64,15,25,57
MN,65,15,46,47
MN,66,15,391,339
MN,67,15,49,114
MN,68,15,37,40
MN,69,15,80,31
MN,70,15,62,169
MN,71,15,601,1592
MN,72,15,97,171
MN,73,15,13,86
MN,74,15,406,419
MN,75,15,91,98
MN,76,15,324,298
MN,77,15,48,79
MN,78,15,16,22
MN,79,15,160,261
MN,80,15,96,275
MN,81,15,39,70
MN,82,15,243,206
MN,83,15,64,99
MN,84,15,47,31
MN,85,15,95,143
MN,86,15,541,689
MN,18,16,381,494
MN,1,20,10,11
MN,2,20,598,698
MN,3,20,278,434
MN,4,20,473,266
MN,5,20,119,260
MN,6,20,6,2
MN,7,20,59,44
MN,8,20,4,6
MN,9,20,311,265
MN,10,20,900,759
MN,11,20,45,138
MN,12,20,18,40
MN,13,20,1069,1449
MN,14,20,174,185
MN,15,20,12,31
MN,16,20,103,35
MN,17,20,25,30
MN,18,20,275,324
MN,20,20,63,136
MN,21,20,408,471
MN,22,20,128,213
MN,23,20,60,94
MN,25,20,445,463
MN,26,20,238,306
MN,27,20,1037,565
MN,28,20,213,232
MN,29,20,30,29
MN,30,20,894,1020
MN,31,20,60,67
MN,32,20,60,109
MN,33,20,203,318
MN,34,20,74,138
MN,35,20,9,7
MN,37,20,57,44
MN,38,20,82,54
MN,39,20,61,128
MN,40,20,77,160
MN,41,20,21,51
MN,42,20,39,81
MN,43,20,100,157
MN,44,20,24,16
MN,45,20,112,158
MN,46,20,21,24
MN,47,20,179,421
MN,48,20,37,42
MN,49,20,29,55
MN,50,20,773,450
MN,51,20,14,30
MN,52,20,118,219
MN,53,20,33,43
MN,54,20,45,39
MN,55,20,132,159
MN,56,20,207,219
MN,57,20,35,34
MN,58,20,78,133
MN,59,20,29,84
MN,60,20,12,21
MN,61,20,33,65
MN,62,20,603,508
MN,63,20,27,32
MN,64,20,17,42
MN,65,20,204,241
MN,66,20,156,273
MN,67,20,19,90
MN,68,20,16,28
MN,69,20,68,57
MN,70,20,523,1053
MN,71,20,390,600
MN,72,20,32,87
MN,73,20,267,476
MN,74,20,87,136
MN,75,20,26,109
MN,76,20,278,304
MN,77,20,127,250
MN,78,20,11,26
MN,79,20,129,211
MN,80,20,19,70
MN,81,20,0,2
MN,82,20,239,208
MN,83,20,27,87
MN,84,20,13,17
MN,85,20,34,20
MN,86,20,1242,1657
MN,87,20,122,187
MN,29,22,16,39
MN,30,22,588,809
MN,61,22,0,0
MN,71,22,359,520
MN,36,23,15,13
MN,71,24,694,1072
MN,1,25,19,13
MN,2,25,794,1075
MN,3,25,26,26
MN,4,25,485,338
MN,5,25,97,249
MN,6,25,62,114
MN,7,25,27,49
MN,8,25,67,89
MN,9,25,25,31
MN,10,25,902,859
MN,11,25,24,5
MN,12,25,211,183
MN,13,25,505,649
MN,14,25,33,43
MN,15,25,110,256
MN,16,25,126,93
MN,17,25,36,104
MN,18,25,284,203
MN,20,25,94,185
MN,21,25,31,63
MN,22,25,85,129
MN,23,25,59,59
MN,24,25,710,629
MN,25,25,407,513
MN,26,25,28,51
MN,27,25,1090,551
MN,28,25,279,294
MN,29,25,25,63
MN,30,25,414,720
MN,31,25,169,177
MN,32,25,41,88
MN,33,25,166,292
MN,34,25,122,140
MN,35,25,10,10
MN,37,25,27,33
MN,38,25,148,70
MN,40,25,134,224
MN,41,25,8,32
MN,42,25,211,248
MN,43,25,71,131
MN,44,25,17,9
MN,45,25,11,20
MN,46,25,36,111
MN,47,25,77,78
MN,48,25,30,56
MN,49,25,22,77
MN,50,25,27,29
MN,51,25,15,69
MN,52,25,98,197
MN,53,25,74,107
MN,54,25,16,13
MN,55,25,64,118
MN,56,25,39,54
MN,57,25,28,15
MN,58,25,56,48
MN,59,25,100,453
MN,60,25,16,17
MN,61,25,70,55
MN,63,25,49,32
MN,64,25,13,14
MN,65,25,38,59
MN,66,25,727,774
MN,67,25,17,44
MN,68,25,15,39
MN,69,25,52,34
MN,70,25,941,1919
MN,71,25,445,719
MN,72,25,48,78
MN,73,25,154,413
MN,74,25,55,158
MN,75,25,39,65
MN,76,25,67,72
MN,77,25,106,143
MN,78,25,12,26
MN,79,25,72,136
MN,80,25,16,30
MN,81,25,47,125
MN,82,25,610,550
MN,83,25,8,12
MN,84,25,21,34
MN,85,25,59,102
MN,86,25,824,1134
MN,87,25,31,64
MN,21,27,373,357
MN,73,27,190,323
MN,78,27,17,22
MN,68,28,11,35
MN,1,30,33,31
MN,2,30,492,899
MN,3,30,48,59
MN,4,30,526,379
MN,5,30,65,195
MN,6,30,41,28
MN,7,30,62,76
MN,8,30,142,289
MN,9,30,279,208
MN,10,30,672,701
MN,11,30,16,24
MN,12,30,40,72
MN,13,30,529,751
MN,14,30,20,20
MN,15,30,44,89
MN,16,30,219,119
MN,17,30,3,3
MN,20,30,327,383
MN,21,30,495,961
MN,22,30,70,69
MN,23,30,38,48
MN,25,30,244,352
MN,26,30,71,98
MN,27,30,857,591
MN,28,30,117,178
MN,29,30,74,126
MN,30,30,72,235
MN,31,30,571,866
