STATE,COUNTY,PRECINCT,DEM,REP
VA,FAIRFAX COUNTY,PROVISIONAL (11),0.0,0.0
VA,FAIRFAX COUNTY,AB - CENTRAL ABSENTEE PRECINCT (11),26541.0,8492.0
VA,FAIRFAX COUNTY,104 - CHAPEL (11),956.0,517.0
VA,FAIRFAX COUNTY,105 - FAIRVIEW (11),1897.0,872.0
VA,FAIRFAX COUNTY,106 - HERITAGE (11),1397.0,471.0
VA,FAIRFAX COUNTY,108 - KINGS PARK (11),955.0,501.0
VA,FAIRFAX COUNTY,109 - LITTLE RUN (11),575.0,290.0
VA,FAIRFAX COUNTY,110 - NORTH SPRINGFIELD (11),1581.0,791.0
VA,FAIRFAX COUNTY,113 - CANTERBURY (11),1619.0,780.0
VA,FAIRFAX COUNTY,114 - OLDE CREEK (11),741.0,394.0
VA,FAIRFAX COUNTY,115 - RAVENSWORTH (11),690.0,384.0
VA,FAIRFAX COUNTY,116 - WAKEFIELD (11),1014.0,436.0
VA,FAIRFAX COUNTY,117 - WOODSON (11),1056.0,556.0
VA,FAIRFAX COUNTY,118 - LAKE BRADDOCK (11),1693.0,636.0
VA,FAIRFAX COUNTY,119 - LAUREL (11),1590.0,781.0
VA,FAIRFAX COUNTY,120 - SIDEBURN (11),1151.0,764.0
VA,FAIRFAX COUNTY,121 - VILLA (11),734.0,397.0
VA,FAIRFAX COUNTY,123 - ROBINSON (11),1610.0,758.0
VA,FAIRFAX COUNTY,125 - SIGNAL HILL (11),1223.0,603.0
VA,FAIRFAX COUNTY,126 - BONNIE BRAE (11),1015.0,401.0
VA,FAIRFAX COUNTY,127 - BURKE CENTRE (11),1840.0,757.0
VA,FAIRFAX COUNTY,128 - CARDINAL (11),950.0,394.0
VA,FAIRFAX COUNTY,129 - KEENE MILL (11),725.0,318.0
VA,FAIRFAX COUNTY,130 - TERRA CENTRE (11),978.0,501.0
VA,FAIRFAX COUNTY,131 - EAGLE VIEW (11),1316.0,614.0
VA,FAIRFAX COUNTY,132 - MONUMENT (11),1588.0,551.0
VA,FAIRFAX COUNTY,133 - DANBURY (11),334.0,109.0
VA,FAIRFAX COUNTY,134 - UNIVERSITY (11),1401.0,233.0
VA,FAIRFAX COUNTY,201 - ARMSTRONG (11),1596.0,666.0
VA,FAIRFAX COUNTY,202 - FLINT HILL (11),1151.0,672.0
VA,FAIRFAX COUNTY,203 - FLORIS (11),1520.0,734.0
VA,FAIRFAX COUNTY,204 - MADISON (11),390.0,121.0
VA,FAIRFAX COUNTY,208 - RESTON 1 (11),1597.0,463.0
VA,FAIRFAX COUNTY,209 - RESTON 2 (11),1478.0,384.0
VA,FAIRFAX COUNTY,213 - VIENNA 1 (11),1617.0,755.0
VA,FAIRFAX COUNTY,214 - VIENNA 2 (11),1284.0,603.0
VA,FAIRFAX COUNTY,216 - VIENNA 4 (11),674.0,274.0
VA,FAIRFAX COUNTY,218 - VIENNA 6 (11),988.0,354.0
VA,FAIRFAX COUNTY,219 - WESTBRIAR (11),1395.0,684.0
VA,FAIRFAX COUNTY,220 - DOGWOOD (11),1824.0,557.0
VA,FAIRFAX COUNTY,221 - HUNTERS WOODS (11),1229.0,472.0
VA,FAIRFAX COUNTY,222 - RESTON 3 (11),1108.0,231.0
VA,FAIRFAX COUNTY,223 - GLADE (11),1726.0,556.0
VA,FAIRFAX COUNTY,224 - SOUTH LAKES (11),2190.0,604.0
VA,FAIRFAX COUNTY,225 - HUGHES (11),1799.0,428.0
VA,FAIRFAX COUNTY,226 - WOLFTRAP (11),1390.0,743.0
VA,FAIRFAX COUNTY,227 - SUNRISE VALLEY (11),698.0,384.0
VA,FAIRFAX COUNTY,233 - NORTH POINT (11),1333.0,704.0
VA,FAIRFAX COUNTY,234 - ALDRIN (11),1245.0,475.0
VA,FAIRFAX COUNTY,235 - FRYING PAN (11),1290.0,396.0
VA,FAIRFAX COUNTY,236 - STUART (11),609.0,251.0
VA,FAIRFAX COUNTY,237 - MCNAIR (11),1437.0,382.0
VA,FAIRFAX COUNTY,238 - CAMERON GLEN (11),1317.0,619.0
VA,FAIRFAX COUNTY,319 - HERNDON 1 (11),1578.0,708.0
VA,FAIRFAX COUNTY,320 - HERNDON 2 (11),1781.0,608.0
VA,FAIRFAX COUNTY,324 - HERNDON 3 (11),1533.0,488.0
VA,FAIRFAX COUNTY,325 - HUTCHISON (11),1057.0,233.0
VA,FAIRFAX COUNTY,332 - COATES (11),1554.0,411.0
VA,FAIRFAX COUNTY,426 - GREENSPRING (11),841.0,431.0
VA,FAIRFAX COUNTY,502 - BARCROFT (11),565.0,234.0
VA,FAIRFAX COUNTY,503 - BELVEDERE (11),736.0,249.0
VA,FAIRFAX COUNTY,504 - BRISTOW (11),1059.0,331.0
VA,FAIRFAX COUNTY,508 - MASONVILLE (11),1170.0,480.0
VA,FAIRFAX COUNTY,511 - RAVENWOOD (11),1060.0,402.0
VA,FAIRFAX COUNTY,512 - SLEEPY HOLLOW (11),639.0,257.0
VA,FAIRFAX COUNTY,513 - SAINT ALBANS (11),734.0,278.0
VA,FAIRFAX COUNTY,518 - COLUMBIA (11),1051.0,428.0
VA,FAIRFAX COUNTY,519 - HUMMER (11),770.0,330.0
VA,FAIRFAX COUNTY,522 - CAMELOT (11),580.0,332.0
VA,FAIRFAX COUNTY,528 - RIDGELEA (11),536.0,262.0
VA,FAIRFAX COUNTY,530 - HOLMES 2 (11),837.0,183.0
VA,FAIRFAX COUNTY,618 - NEWINGTON (11),2123.0,875.0
VA,FAIRFAX COUNTY,628 - LAUREL HILL (11),1779.0,453.0
