STATE,COUNTY,PRECINCT,DEM,REP
VA,ARLINGTON COUNTY,PROVISIONAL (08),0.0,0.0
VA,ARLINGTON COUNTY,AB - CENTRAL ABSENTEE PRECINCT (08),17564.0,2993.0
VA,ARLINGTON COUNTY,001 - ARLINGTON (08),1294.0,244.0
VA,ARLINGTON COUNTY,002 - ASHTON HEIGHTS (08),1450.0,354.0
VA,ARLINGTON COUNTY,003 - AURORA HILLS (08),785.0,317.0
VA,ARLINGTON COUNTY,004 - BALLSTON (08),1363.0,423.0
VA,ARLINGTON COUNTY,005 - BARCROFT (08),1151.0,307.0
VA,ARLINGTON COUNTY,006 - CRYSTAL CITY (08),1065.0,342.0
VA,ARLINGTON COUNTY,007 - CHERRYDALE (08),1333.0,397.0
VA,ARLINGTON COUNTY,008 - HUME (08),1536.0,490.0
VA,ARLINGTON COUNTY,009 - COLUMBIA (08),1889.0,463.0
VA,ARLINGTON COUNTY,010 - WILSON (08),1607.0,469.0
VA,ARLINGTON COUNTY,011 - EAST FALLS CHURCH (08),958.0,308.0
VA,ARLINGTON COUNTY,012 - FAIRLINGTON (08),1390.0,404.0
VA,ARLINGTON COUNTY,013 - GLEN CARLYN (08),918.0,263.0
VA,ARLINGTON COUNTY,014 - CLARENDON (08),1037.0,316.0
VA,ARLINGTON COUNTY,015 - LYON PARK (08),736.0,206.0
VA,ARLINGTON COUNTY,016 - LYON VILLAGE (08),1338.0,372.0
VA,ARLINGTON COUNTY,017 - OVERLEE KNOLLS (08),1400.0,440.0
VA,ARLINGTON COUNTY,018 - PARK LANE (08),1968.0,540.0
VA,ARLINGTON COUNTY,019 - ROSSLYN (08),1519.0,395.0
VA,ARLINGTON COUNTY,020 - THRIFTON (08),1142.0,468.0
VA,ARLINGTON COUNTY,021 - VIRGINIA HIGHLANDS (08),674.0,241.0
VA,ARLINGTON COUNTY,022 - ABINGDON (08),1517.0,413.0
VA,ARLINGTON COUNTY,023 - WESTOVER (08),1300.0,356.0
VA,ARLINGTON COUNTY,024 - WOODLAWN (08),1725.0,417.0
VA,ARLINGTON COUNTY,025 - ARLINGTON FOREST (08),1318.0,390.0
VA,ARLINGTON COUNTY,026 - FILLMORE (08),1766.0,420.0
VA,ARLINGTON COUNTY,027 - JEFFERSON (08),1432.0,371.0
VA,ARLINGTON COUNTY,028 - WAKEFIELD (08),1605.0,343.0
VA,ARLINGTON COUNTY,029 - DOMINION HILLS (08),1352.0,373.0
VA,ARLINGTON COUNTY,030 - GLEBE (08),1444.0,270.0
VA,ARLINGTON COUNTY,031 - LEXINGTON (08),1443.0,393.0
VA,ARLINGTON COUNTY,032 - OAKRIDGE (08),549.0,232.0
VA,ARLINGTON COUNTY,033 - ROCK SPRING (08),1291.0,210.0
VA,ARLINGTON COUNTY,034 - YORKTOWN (08),1195.0,391.0
VA,ARLINGTON COUNTY,035 - MADISON (08),1280.0,676.0
VA,ARLINGTON COUNTY,036 - MARSHALL (08),1409.0,472.0
VA,ARLINGTON COUNTY,037 - NOTTINGHAM (08),1228.0,398.0
VA,ARLINGTON COUNTY,038 - ARLINGTON VIEW (08),1335.0,233.0
VA,ARLINGTON COUNTY,039 - ASHLAWN (08),767.0,224.0
VA,ARLINGTON COUNTY,040 - VIRGINIA SQUARE (08),1619.0,531.0
VA,ARLINGTON COUNTY,041 - NAVY LEAGUE (08),1279.0,356.0
VA,ARLINGTON COUNTY,042 - SHIRLINGTON (08),1168.0,257.0
VA,ARLINGTON COUNTY,043 - CAMPBELL (08),1141.0,152.0
VA,ARLINGTON COUNTY,044 - DAWSON TERRACE (08),1056.0,270.0
VA,ARLINGTON COUNTY,045 - BUCKINGHAM (08),1080.0,261.0
VA,ARLINGTON COUNTY,046 - CENTRAL (08),1571.0,452.0
VA,ARLINGTON COUNTY,047 - FOUR MILE RUN (08),1138.0,210.0
VA,ARLINGTON COUNTY,048 - AUSA (08),1003.0,341.0
VA,ARLINGTON COUNTY,049 - MONROE (08),793.0,224.0
VA,ARLINGTON COUNTY,050 - CRYSTAL PLAZA (08),1137.0,373.0
VA,ARLINGTON COUNTY,051 - TAYLOR (08),376.0,129.0
VA,ARLINGTON COUNTY,052 - GUNSTON (08),1063.0,263.0
VA,ARLINGTON COUNTY,053 - MET PARK (08),1242.0,379.0
VA,ARLINGTON COUNTY,054 - GARFIELD PARK (08),675.0,177.0
VA,FAIRFAX COUNTY,PROVISIONAL (08),0.0,0.0
VA,FAIRFAX COUNTY,AB - CENTRAL ABSENTEE PRECINCT (08),16843.0,5376.0
VA,FAIRFAX COUNTY,302 - CHESTERBROOK (08),978.0,595.0
VA,FAIRFAX COUNTY,305 - EL NIDO (08),892.0,405.0
VA,FAIRFAX COUNTY,307 - HAYCOCK (08),991.0,468.0
VA,FAIRFAX COUNTY,310 - KIRBY (08),807.0,372.0
VA,FAIRFAX COUNTY,312 - LONGFELLOW (08),964.0,517.0
VA,FAIRFAX COUNTY,315 - PIMMIT (08),1290.0,620.0
VA,FAIRFAX COUNTY,316 - SALONA 1 (08),324.0,204.0
VA,FAIRFAX COUNTY,317 - WESTHAMPTON (08),926.0,436.0
VA,FAIRFAX COUNTY,318 - WESTMORELAND (08),554.0,290.0
VA,FAIRFAX COUNTY,333 - SALONA 2 (08),640.0,337.0
VA,FAIRFAX COUNTY,401 - BUSH HILL (08),1353.0,628.0
VA,FAIRFAX COUNTY,402 - CAMERON (08),529.0,195.0
VA,FAIRFAX COUNTY,403 - FORESTDALE (08),551.0,224.0
VA,FAIRFAX COUNTY,404 - FRANCONIA (08),1540.0,550.0
VA,FAIRFAX COUNTY,405 - GROVETON (08),886.0,240.0
VA,FAIRFAX COUNTY,406 - HAYFIELD (08),899.0,572.0
VA,FAIRFAX COUNTY,408 - MOUNT EAGLE (08),1152.0,274.0
VA,FAIRFAX COUNTY,409 - PIONEER (08),1560.0,536.0
VA,FAIRFAX COUNTY,410 - ROSE HILL (08),1778.0,879.0
VA,FAIRFAX COUNTY,411 - VIRGINIA HILLS (08),996.0,382.0
