STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),TIGHT_RACE,WINNER
GA,D,0.927439857,0.9221667,0.958986997,1.019967671,1.044188606,1.660337251,0.956208012,0.983438804,0.97304155,0.963434515,0.94979986,0.966879386,FALSE,R
GA,D,1.033201889,0.962207712,0.972789324,0.997230882,1.007126685,1.015127139,0.969133586,0.967588106,0.927850286,0.982097708,0.965161746,0.94680441,FALSE,R
GA,D,1.045047765,1.010050007,1.012329372,0.954978783,0.97259924,0.931143304,0.970581623,0.778975488,0.923747684,0.959328551,0.925501555,0.912399685,FALSE,D
GA,D,1.108422876,1.016320585,0.980178673,0.987924634,0.997393905,1.023416697,0.944268002,0.966761537,0.970054917,0.987197883,0.976659229,0.985386552,FALSE,R
GA,D,1.034015093,0.988361649,0.977794566,0.996117444,0.99998583,1.264232522,0.971127054,0.966838837,0.961750652,0.97699471,0.958858503,0.97272868,FALSE,R
GA,D,1.008368043,0.992474632,0.996285319,0.993441162,1.00876195,1.008136003,0.971523296,0.925413434,0.972473258,0.973002825,0.953078752,0.954835438,TRUE,D
GA,D,1.04109843,0.965974907,0.97131422,0.991579551,1.015907674,1.031103317,0.904768219,0.938184678,0.964778834,0.827013643,0.87077372,0.942931705,FALSE,R
GA,D,0.973947932,0.982543662,0.959676833,1.006436044,1.007737909,1.10460651,0.949978799,0.988705068,0.965942065,0.967856693,0.979521499,0.970265056,FALSE,R
GA,D,0.947735164,0.943162566,0.965439142,1.009820556,1.021396949,1.082309992,0.962489809,0.967790626,0.900618647,0.967775172,0.983968601,0.931895148,FALSE,R
GA,D,1.047059737,1.006895418,1.001390806,0.96449808,0.987424349,0.97509429,0.948719125,0.90536682,0.817972166,0.94265287,0.90218592,0.874975331,FALSE,D
GA,D,1.57255428,1.122839322,1.004108396,0.903868697,0.884005526,1.127570734,0.961091066,0.981356922,0.977250904,0.986926048,0.989612255,0.98428957,FALSE,D
AR,D,1.081839217,0.855732896,0.857347233,0.995862346,1.049336209,1.339128917,0.780003185,0.738148825,0.911033272,0.858265839,0.678402327,0.624150505,FALSE,R
AR,D,1.143376079,0.853392554,0.895078588,0.989154951,1.043205434,1.095950856,0.907592761,0.748857014,0.946340608,0.928927876,0.695807764,0.952846186,FALSE,R
AR,D,1.103352935,0.965919106,0.952064443,0.991652298,1.010842338,1.322684086,0.765338597,0.745128287,0.73661944,0.887879459,0.74464351,0.742877378,FALSE,R
AR,D,1.388369453,1.161465946,1.028072923,0.943050979,0.954487987,1.002443439,0.393789484,0.371457992,0.451042577,0.645622356,0.468425756,0.008140743,FALSE,R
AR,G,1.063028608,0.849161459,0.842122157,0.998371999,1.050075431,1.588163306,0.738112015,0.660888714,0.945262573,0.842459155,0.65913106,0.922645987,FALSE,R
