STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S4_DEM_RATIO,S5_DEM_RATIO,S6_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S4_REP_RATIO,S5_REP_RATIO,S6_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S4_COR(DD),S5_COR(DD),S6_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),S4_COR(RR),S5_COR(RR),S6_COR(RR),TIGHT_RACE,WINNER
GA,D,0.972847481,0.880837296,0.934738639,0.90926392,0.980086928,0.93842809,1.005641195,1.034671159,1.02870061,1.060084181,1.017653785,2.286541654,0.893089544,0.950943849,0.948831828,0.992533613,0.975229683,0.968777942,0.943364215,0.976895993,0.886675852,0.983272508,0.984967371,0.832797949,FALSE,R
GA,D,1.042872524,1.023110792,0.947696878,0.977349453,0.967845,0.977527634,0.998378328,0.996033546,1.009395662,1.004759056,1.011839392,1.018277897,0.943756329,0.965873668,0.973821859,0.951554327,0.937927884,0.916904029,0.977416097,0.981945541,0.991278531,0.945773749,0.926077301,0.973912915,FALSE,R
GA,D,1.057205827,1.03240338,1.016868914,1.003231099,1.014418718,1.010240026,0.963699612,0.945909121,0.950839437,0.994359042,0.787849308,1.074437299,0.984093992,0.944402747,0.961134138,0.516663713,0.900026818,0.936768678,0.977355616,0.920449638,0.925857462,0.445100123,0.92712197,0.782898406,FALSE,D
GA,D,1.132094199,1.084751553,1.055107411,0.97753376,0.978053413,0.982303933,0.986913923,0.988935345,0.990441938,1.004345872,1.006347022,1.040486373,0.959135386,0.93447989,0.956246012,0.975049479,0.973522288,0.975227762,0.991287038,0.982673459,0.979748829,0.981854209,0.985001697,0.979031283,FALSE,R
GA,D,1.05385273,1.014177456,0.980798735,0.995695384,0.979253301,0.976380035,0.995590342,0.996644545,1.006715224,0.993460357,1.050883485,1.471116437,0.916450117,0.95270408,0.943529531,0.977301501,0.935996763,0.989362376,0.969014384,0.979367559,0.950570498,0.958653049,0.955761639,0.965287095,FALSE,R
GA,D,1.001525155,1.01521093,1.012456398,0.971848291,0.996289335,0.996281303,0.99574373,0.991138594,0.990574866,1.027535713,1.007175262,1.009096744,0.967408739,0.973506677,0.960301994,0.86281676,0.971845509,0.97474406,0.959791804,0.98334525,0.975595966,0.903189098,0.966001344,0.892913883,TRUE,D
GA,D,1.041078769,1.041118091,0.973923764,0.957647532,0.975376799,0.96725164,0.993519944,0.989639157,1.010325829,1.02175532,1.016311527,1.045895107,0.883513694,0.799612784,0.950107769,0.940039225,0.988195244,0.935651502,0.884228662,0.715106509,0.857200222,0.921280301,0.947933302,0.93920956,FALSE,R
GA,D,0.980337101,0.967338448,0.994134317,0.970953006,0.952501814,0.966612685,1.004112601,1.008839606,1.002178508,1.01329731,1.0642814,1.143587449,0.977298718,0.905321202,0.97974765,0.994249303,0.981746889,0.947486415,0.99055719,0.932429245,0.978354229,0.974915681,0.972199428,0.942001354,FALSE,R
GA,D,0.929534399,0.966635959,0.924382643,0.962664794,0.968563054,0.962430931,1.010973434,1.008623336,1.024311604,1.018370193,1.02079117,1.141550338,0.911850234,0.942895287,0.953255523,0.973075631,0.877965267,0.888058102,0.944884577,0.9746612,0.979747342,0.988452805,0.888698926,0.94465849,FALSE,R
GA,D,1.08152426,1.012595213,1.014627962,0.998853573,1.003064492,0.999717119,0.951883012,0.977113149,0.956917081,1.019151908,0.945116235,1.005072344,0.913175925,0.949421409,0.903373342,0.920371124,0.935447213,0.751871452,0.930327365,0.919688395,0.849548101,0.799521586,0.842278854,0.727477369,FALSE,D
