,STATE,COUNTY,PRECINCT,DEM,REP
0,CO,BOULDER,2161307900,0,0
1,CO,BOULDER,2161307901,0,0
2,CO,BOULDER,2161307902,0,0
3,CO,BOULDER,2163307100,0,0
4,CO,BOULDER,2163307101,0,0
5,CO,BOULDER,2163307102,319,147
6,CO,BOULDER,2163307103,0,0
7,CO,BOULDER,2163307104,0,0
8,CO,BOULDER,2163307105,0,0
9,CO,BOULDER,2163307106,0,0
10,CO,BOULDER,2163307107,0,0
11,CO,BOULDER,2171207200,0,0
12,CO,BOULDER,2171207201,0,0
13,CO,BOULDER,2171207202,0,0
14,CO,BOULDER,2171207203,0,0
15,CO,BOULDER,2171207204,0,0
16,CO,BOULDER,2171207205,501,198
17,CO,BOULDER,2171207206,0,0
18,CO,BOULDER,2171207207,558,148
19,CO,BOULDER,2171207208,0,0
20,CO,BOULDER,2171207209,0,0
21,CO,BOULDER,2171207210,0,0
22,CO,BOULDER,2171207211,0,0
23,CO,BOULDER,2171207212,0,0
24,CO,BOULDER,2171207213,0,0
25,CO,BOULDER,2171207214,0,0
26,CO,BOULDER,2171207300,487,330
27,CO,BOULDER,2171207301,0,0
28,CO,BOULDER,2171207302,0,0
29,CO,BOULDER,2171207303,0,0
30,CO,BOULDER,2171207304,0,0
31,CO,BOULDER,2171207305,549,185
32,CO,BOULDER,2171207306,0,0
33,CO,BOULDER,2171207307,0,0
34,CO,BOULDER,2171207308,0,0
35,CO,BOULDER,2171207309,0,0
36,CO,BOULDER,2171207310,623,226
37,CO,BOULDER,2171207311,433,141
38,CO,BOULDER,2171207312,0,0
39,CO,BOULDER,2171207313,0,0
40,CO,BOULDER,2171207314,0,0
41,CO,BOULDER,2171207315,396,180
42,CO,BOULDER,2171207316,0,0
43,CO,BOULDER,2171207407,0,0
44,CO,BOULDER,2173307400,0,0
45,CO,BOULDER,2173307408,0,0
46,CO,BOULDER,2173307409,0,0
47,CO,BOULDER,2173307410,0,0
48,CO,BOULDER,2173307411,0,0
49,CO,BOULDER,2173307412,0,0
50,CO,BOULDER,2181007500,0,0
51,CO,BOULDER,2181007501,0,0
52,CO,BOULDER,2181007502,0,0
53,CO,BOULDER,2181007503,0,0
54,CO,BOULDER,2181007504,0,0
55,CO,BOULDER,2181007800,0,0
56,CO,BOULDER,2181007801,0,0
57,CO,BOULDER,2181007802,0,0
58,CO,BOULDER,2181007803,0,0
59,CO,BOULDER,2181007804,0,0
60,CO,BOULDER,2181007805,0,0
61,CO,BOULDER,2181007806,0,0
62,CO,BOULDER,2181007807,0,0
63,CO,BOULDER,2181007808,0,0
64,CO,BOULDER,2181007809,0,0
65,CO,BOULDER,2181007810,0,0
66,CO,BOULDER,2181007811,0,0
67,CO,BOULDER,2181007812,0,0
68,CO,BOULDER,2181007813,0,0
69,CO,BOULDER,2181007814,0,0
70,CO,BOULDER,2181007815,0,0
71,CO,BOULDER,2181007816,0,0
72,CO,BOULDER,2181007817,502,119
73,CO,BOULDER,2181007818,0,0
74,CO,BOULDER,2181007819,0,0
75,CO,BOULDER,2181007820,0,0
76,CO,BOULDER,2181007821,0,0
77,CO,BOULDER,2181007822,0,0
78,CO,BOULDER,2181007823,0,0
79,CO,BOULDER,2181007824,623,78
80,CO,BOULDER,2181007825,0,0
81,CO,BOULDER,2181007826,0,0
82,CO,BOULDER,2181007827,506,60
83,CO,BOULDER,2181007828,0,0
84,CO,BOULDER,2181007829,0,0
85,CO,BOULDER,2181007830,0,0
86,CO,BOULDER,2181007831,0,0
87,CO,BOULDER,2181007832,0,0
88,CO,BOULDER,2181007833,0,0
89,CO,BOULDER,2181007834,0,0
90,CO,BOULDER,2181007835,0,0
91,CO,BOULDER,2181007836,0,0
92,CO,BOULDER,2181007837,0,0
93,CO,BOULDER,2181007838,0,0
94,CO,BOULDER,2181007839,373,91
95,CO,BOULDER,2181007840,0,0
96,CO,BOULDER,2181007841,0,0
97,CO,BOULDER,2181007842,0,0
98,CO,BOULDER,2181007843,0,0
99,CO,BOULDER,2181007844,0,0
100,CO,BOULDER,2181007845,0,0
101,CO,BOULDER,2181007846,0,0
102,CO,BOULDER,2181007847,0,0
103,CO,BOULDER,2181007848,0,0
104,CO,BOULDER,2181007849,239,60
105,CO,BOULDER,2181007850,372,153
106,CO,BOULDER,2181007851,0,0
107,CO,BOULDER,2181007852,0,0
108,CO,BOULDER,2181007853,0,0
109,CO,BOULDER,2181107505,0,0
110,CO,BOULDER,2181107506,0,0
111,CO,BOULDER,2181107507,0,0
112,CO,BOULDER,2181107508,0,0
113,CO,BOULDER,2181107700,0,0
114,CO,BOULDER,2181107701,0,0
115,CO,BOULDER,2181107702,0,0
116,CO,BOULDER,2181107703,199,149
117,CO,BOULDER,2181107704,0,0
118,CO,BOULDER,2181107705,0,0
119,CO,BOULDER,2181107912,0,0
120,CO,BOULDER,2181107913,0,0
121,CO,BOULDER,2181107916,0,0
122,CO,BOULDER,2181107917,0,0
123,CO,BOULDER,2181107918,0,0
124,CO,BOULDER,2181207401,0,0
125,CO,BOULDER,2181207402,0,0
126,CO,BOULDER,2181207403,0,0
127,CO,BOULDER,2181207404,0,0
128,CO,BOULDER,2181207405,0,0
129,CO,BOULDER,2181207406,0,0
130,CO,BOULDER,2181307854,0,0
131,CO,BOULDER,2181307855,0,0
132,CO,BOULDER,2181307856,361,48
133,CO,BOULDER,2181307857,0,0
134,CO,BOULDER,2181307858,0,0
135,CO,BOULDER,2181307859,0,0
136,CO,BOULDER,2181307860,0,0
137,CO,BOULDER,2181307861,0,0
138,CO,BOULDER,2181307862,0,0
139,CO,BOULDER,2181307863,0,0
140,CO,BOULDER,2181307864,0,0
141,CO,BOULDER,2181307865,0,0
142,CO,BOULDER,2181307866,0,0
143,CO,BOULDER,2181307867,0,0
144,CO,BOULDER,2181307868,0,0
145,CO,BOULDER,2181307869,0,0
146,CO,BOULDER,2181307870,0,0
147,CO,BOULDER,2181307871,0,0
148,CO,BOULDER,2181307872,0,0
149,CO,BOULDER,2181307873,0,0
150,CO,BOULDER,2181307874,0,0
151,CO,BOULDER,2181307875,0,0
152,CO,BOULDER,2181307876,0,0
153,CO,BOULDER,2181307877,386,69
154,CO,BOULDER,2181307878,0,0
155,CO,BOULDER,2181307879,0,0
156,CO,BOULDER,2181307880,282,70
157,CO,BOULDER,2181307881,0,0
158,CO,BOULDER,2181307882,0,0
159,CO,BOULDER,2181307883,0,0
160,CO,BOULDER,2181307884,0,0
161,CO,BOULDER,2181307885,0,0
162,CO,BOULDER,2181307886,520,79
163,CO,BOULDER,2181307887,0,0
164,CO,BOULDER,2181307888,0,0
165,CO,BOULDER,2181307903,0,0
166,CO,BOULDER,2181307904,0,0
167,CO,BOULDER,2181307905,0,0
168,CO,BOULDER,2181307906,0,0
169,CO,BOULDER,2181307908,0,0
170,CO,BOULDER,2181307909,0,0
171,CO,BOULDER,2181307910,0,0
172,CO,BOULDER,2181307911,517,188
173,CO,BOULDER,2181307914,0,0
174,CO,BOULDER,2181307915,0,0
175,CO,BROOMFIELD,2233364001,0,0
176,CO,BROOMFIELD,2233364002,389,259
177,CO,BROOMFIELD,2233364003,387,249
178,CO,BROOMFIELD,2233364004,0,0
179,CO,BROOMFIELD,2233364005,0,0
180,CO,BROOMFIELD,2233364006,0,0
181,CO,BROOMFIELD,2233364007,0,0
182,CO,BROOMFIELD,2233364008,0,0
183,CO,BROOMFIELD,2233364009,0,0
184,CO,BROOMFIELD,2233364010,0,0
185,CO,BROOMFIELD,2233364011,0,0
186,CO,BROOMFIELD,2233364012,0,0
187,CO,BROOMFIELD,2233364013,0,0
188,CO,BROOMFIELD,2233364014,0,0
189,CO,BROOMFIELD,2233364015,0,0
190,CO,BROOMFIELD,2233364016,0,0
191,CO,BROOMFIELD,2233364017,0,0
192,CO,BROOMFIELD,2233364018,214,225
193,CO,BROOMFIELD,2233364019,0,0
194,CO,BROOMFIELD,2233364020,0,0
195,CO,BROOMFIELD,2233364021,0,0
196,CO,BROOMFIELD,2233364022,0,0
197,CO,BROOMFIELD,2233364023,0,0
198,CO,BROOMFIELD,2233364024,0,0
199,CO,BROOMFIELD,2233364025,0,0
200,CO,BROOMFIELD,2233364026,0,0
201,CO,BROOMFIELD,2233364027,0,0
202,CO,BROOMFIELD,2233364028,0,0
203,CO,BROOMFIELD,2233364029,0,0
204,CO,BROOMFIELD,2233364030,342,307
205,CO,BROOMFIELD,2233364031,0,0
206,CO,BROOMFIELD,2233364032,0,0
207,CO,BROOMFIELD,2233364033,0,0
208,CO,BROOMFIELD,2233364034,0,0
209,CO,BROOMFIELD,2233364035,0,0
210,CO,BROOMFIELD,2233364036,0,0
211,CO,BROOMFIELD,2233364037,0,0
212,CO,BROOMFIELD,2233364038,0,0
213,CO,CLEAR CREEK,2021310001,0,0
214,CO,CLEAR CREEK,2021310002,0,0
215,CO,CLEAR CREEK,2021310003,0,0
216,CO,CLEAR CREEK,2021310004,0,0
217,CO,CLEAR CREEK,2021310005,0,0
218,CO,CLEAR CREEK,2021310006,0,0
219,CO,CLEAR CREEK,2021310007,0,0
220,CO,CLEAR CREEK,2021310008,0,0
221,CO,CLEAR CREEK,2021310009,0,0
222,CO,EAGLE,2052619001,88,30
223,CO,EAGLE,2052619002,0,0
224,CO,EAGLE,2052619003,0,0
225,CO,EAGLE,2052619011,0,0
226,CO,EAGLE,2052619012,0,0
227,CO,EAGLE,2052619013,0,0
228,CO,EAGLE,2052619014,0,0
229,CO,EAGLE,2052619015,0,0
230,CO,EAGLE,2052619019,0,0
231,CO,GILPIN,2161324001,0,0
232,CO,GILPIN,2161324002,0,0
233,CO,GILPIN,2161324003,0,0
234,CO,GILPIN,2161324004,0,0
235,CO,GILPIN,2161324005,0,0
236,CO,GILPIN,2161324006,0,0
237,CO,GRAND,2081325001,0,0
238,CO,GRAND,2081325002,0,0
239,CO,GRAND,2081325003,344,526
240,CO,GRAND,2081325004,0,0
