,STATE,COUNTY,PRECINCT,DEM,REP
0,CO,ADAMS,7213001130,0,0
1,CO,ADAMS,7213001140,0,0
2,CO,ADAMS,7213001141,0,0
3,CO,ADAMS,7213001199,0,0
4,CO,ADAMS,7213001200,0,0
5,CO,ADAMS,7213001201,0,0
6,CO,ADAMS,7213001202,0,0
7,CO,ADAMS,7213001203,0,0
8,CO,ADAMS,7213001204,0,0
9,CO,ADAMS,7213001205,385,299
10,CO,ADAMS,7213001206,0,0
11,CO,ADAMS,7213001207,0,0
12,CO,ADAMS,7213001210,0,0
13,CO,ADAMS,7213001211,0,0
14,CO,ADAMS,7213001212,0,0
15,CO,ADAMS,7213001213,0,0
16,CO,ADAMS,7213001214,0,0
17,CO,ADAMS,7213001215,336,409
18,CO,ADAMS,7213001225,0,0
19,CO,ADAMS,7213101117,0,0
20,CO,ADAMS,7213101118,0,0
21,CO,ADAMS,7213201001,0,0
22,CO,ADAMS,7213201002,0,0
23,CO,ADAMS,7213201003,0,0
24,CO,ADAMS,7213201004,0,0
25,CO,ADAMS,7213201005,0,0
26,CO,ADAMS,7213201006,0,0
27,CO,ADAMS,7213201007,0,0
28,CO,ADAMS,7213201008,0,0
29,CO,ADAMS,7213201009,0,0
30,CO,ADAMS,7213201021,0,0
31,CO,ADAMS,7213201022,0,0
32,CO,ADAMS,7213201023,0,0
33,CO,ADAMS,7213201119,351,199
34,CO,ADAMS,7213201120,0,0
35,CO,ADAMS,7213201121,0,0
36,CO,ADAMS,7213201122,0,0
37,CO,ADAMS,7213201123,0,0
38,CO,ADAMS,7213201124,0,0
39,CO,ADAMS,7213201125,0,0
40,CO,ADAMS,7213201126,0,0
41,CO,ADAMS,7213201127,0,0
42,CO,ADAMS,7213201128,0,0
43,CO,ADAMS,7213201129,0,0
44,CO,ADAMS,7213201208,0,0
45,CO,ADAMS,7213201209,183,183
46,CO,ADAMS,7213201216,0,0
47,CO,ADAMS,7213201217,0,0
48,CO,ADAMS,7213201218,153,230
49,CO,ADAMS,7213201219,0,0
50,CO,ADAMS,7213201220,0,0
51,CO,ADAMS,7213201221,0,0
52,CO,ADAMS,7213201222,0,0
53,CO,ADAMS,7213201223,0,0
54,CO,ADAMS,7213201224,0,0
55,CO,ADAMS,7213401027,0,0
56,CO,ADAMS,7213401030,0,0
57,CO,ADAMS,7213401035,0,0
58,CO,ADAMS,7213401036,0,0
59,CO,ADAMS,7213401042,0,0
60,CO,ADAMS,7213501010,0,0
61,CO,ADAMS,7213501011,0,0
62,CO,ADAMS,7213501012,0,0
63,CO,ADAMS,7213501013,0,0
64,CO,ADAMS,7213501014,0,0
65,CO,ADAMS,7213501015,0,0
66,CO,ADAMS,7213501016,0,0
67,CO,ADAMS,7213501017,0,0
68,CO,ADAMS,7213501018,0,0
69,CO,ADAMS,7213501019,0,0
70,CO,ADAMS,7213501020,397,130
71,CO,ADAMS,7213501024,0,0
72,CO,ADAMS,7213501025,0,0
73,CO,ADAMS,7213501026,0,0
74,CO,ADAMS,7243101078,0,0
75,CO,ADAMS,7243101079,0,0
76,CO,ADAMS,7243101085,0,0
77,CO,ADAMS,7243101086,0,0
78,CO,ADAMS,7243101088,0,0
79,CO,ADAMS,7243101089,0,0
80,CO,ADAMS,7243101093,384,367
81,CO,ADAMS,7243101094,0,0
82,CO,ADAMS,7243101097,330,317
83,CO,ADAMS,7243101105,0,0
84,CO,ADAMS,7243101134,0,0
85,CO,ADAMS,7243101135,0,0
86,CO,ADAMS,7243101136,0,0
87,CO,ADAMS,7243101137,401,462
88,CO,ADAMS,7243101145,342,348
89,CO,ADAMS,7243101146,0,0
90,CO,ADAMS,7243101147,0,0
91,CO,ADAMS,7243101149,0,0
92,CO,ADAMS,7243401037,0,0
93,CO,ADAMS,7243401038,0,0
94,CO,ADAMS,7243401039,0,0
95,CO,ADAMS,7243401040,0,0
96,CO,ADAMS,7243401041,313,222
97,CO,ADAMS,7243401051,0,0
98,CO,ADAMS,7243401052,0,0
99,CO,ADAMS,7243401053,0,0
100,CO,ADAMS,7243401080,332,368
101,CO,ADAMS,7243401081,0,0
102,CO,ADAMS,7243401082,0,0
103,CO,ADAMS,7243401083,345,346
104,CO,ADAMS,7243401084,0,0
105,CO,ADAMS,7243401087,0,0
106,CO,ADAMS,7243401090,0,0
107,CO,ADAMS,7243401091,0,0
108,CO,ADAMS,7243401092,0,0
109,CO,ADAMS,7243401095,0,0
110,CO,ADAMS,7243401096,0,0
111,CO,ADAMS,7243401098,0,0
112,CO,ADAMS,7243401099,0,0
113,CO,ADAMS,7243401100,0,0
114,CO,ADAMS,7243401101,0,0
115,CO,ADAMS,7243401102,0,0
116,CO,ADAMS,7243401103,0,0
117,CO,ADAMS,7243401104,0,0
118,CO,ADAMS,7243501031,0,0
119,CO,ADAMS,7243501032,0,0
120,CO,ADAMS,7243501033,506,371
121,CO,ADAMS,7243501034,0,0
122,CO,ADAMS,7243501043,0,0
123,CO,ADAMS,7243501044,0,0
124,CO,ADAMS,7243501045,0,0
125,CO,ADAMS,7243501046,0,0
126,CO,ADAMS,7243501047,0,0
127,CO,ADAMS,7243501048,0,0
128,CO,ADAMS,7243501049,0,0
129,CO,ADAMS,7243501050,334,321
130,CO,ADAMS,7243501054,0,0
131,CO,ADAMS,7243501055,0,0
132,CO,ADAMS,7243501056,407,366
133,CO,ADAMS,7243501057,0,0
134,CO,ADAMS,7243501058,378,257
135,CO,ADAMS,7243501059,0,0
136,CO,ADAMS,7243501060,0,0
137,CO,ADAMS,7243501061,0,0
138,CO,ADAMS,7243501062,0,0
139,CO,ADAMS,7243501063,0,0
140,CO,ADAMS,7243501064,0,0
141,CO,ADAMS,7243501065,0,0
142,CO,ADAMS,7243501066,0,0
143,CO,ADAMS,7243501067,0,0
144,CO,ADAMS,7243501068,0,0
145,CO,ADAMS,7243501069,0,0
146,CO,ADAMS,7243501070,0,0
147,CO,ADAMS,7253001131,0,0
148,CO,ADAMS,7253001132,0,0
149,CO,ADAMS,7253001138,202,252
150,CO,ADAMS,7253001139,0,0
151,CO,ADAMS,7253001142,0,0
152,CO,ADAMS,7253001143,0,0
153,CO,ADAMS,7253001144,0,0
154,CO,ADAMS,7253001148,0,0
155,CO,ADAMS,7253101106,0,0
156,CO,ADAMS,7253101107,0,0
157,CO,ADAMS,7253101108,0,0
158,CO,ADAMS,7253101109,0,0
159,CO,ADAMS,7253101110,0,0
160,CO,ADAMS,7253101111,0,0
161,CO,ADAMS,7253101112,0,0
162,CO,ADAMS,7253101113,0,0
163,CO,ADAMS,7253101114,0,0
164,CO,ADAMS,7253101115,0,0
165,CO,ADAMS,7253101116,0,0
166,CO,ADAMS,7253101133,0,0
167,CO,ADAMS,7253401028,0,0
168,CO,ADAMS,7253401029,404,170
169,CO,JEFFERSON,7162430084,0,0
170,CO,JEFFERSON,7162430085,0,0
171,CO,JEFFERSON,7162430086,0,0
172,CO,JEFFERSON,7162430087,408,248
173,CO,JEFFERSON,7162430088,0,0
174,CO,JEFFERSON,7162430089,0,0
175,CO,JEFFERSON,7162430090,0,0
176,CO,JEFFERSON,7162430091,0,0
177,CO,JEFFERSON,7162430092,0,0
178,CO,JEFFERSON,7162430093,0,0
179,CO,JEFFERSON,7162430094,0,0
180,CO,JEFFERSON,7162430095,0,0
181,CO,JEFFERSON,7162530096,0,0
182,CO,JEFFERSON,7162530097,0,0
183,CO,JEFFERSON,7192430098,0,0
184,CO,JEFFERSON,7192730099,0,0
185,CO,JEFFERSON,7192730100,0,0
186,CO,JEFFERSON,7192730101,0,0
187,CO,JEFFERSON,7192730102,0,0
188,CO,JEFFERSON,7192730103,0,0
189,CO,JEFFERSON,7192730104,421,438
190,CO,JEFFERSON,7192730105,0,0
191,CO,JEFFERSON,7192730106,0,0
192,CO,JEFFERSON,7192730107,0,0
193,CO,JEFFERSON,7192730108,0,0
194,CO,JEFFERSON,7192730109,0,0
195,CO,JEFFERSON,7192730110,0,0
196,CO,JEFFERSON,7192730111,0,0
197,CO,JEFFERSON,7192730112,0,0
198,CO,JEFFERSON,7192730113,0,0
199,CO,JEFFERSON,7192730114,0,0
200,CO,JEFFERSON,7192730115,0,0
201,CO,JEFFERSON,7192730116,0,0
202,CO,JEFFERSON,7192730117,0,0
203,CO,JEFFERSON,7192730118,0,0
204,CO,JEFFERSON,7192730119,623,498
205,CO,JEFFERSON,7192730120,0,0
206,CO,JEFFERSON,7192730121,0,0
207,CO,JEFFERSON,7192730122,0,0
208,CO,JEFFERSON,7192730123,0,0
209,CO,JEFFERSON,7192730124,0,0
210,CO,JEFFERSON,7192730125,0,0
211,CO,JEFFERSON,7192730126,0,0
212,CO,JEFFERSON,7192930127,0,0
213,CO,JEFFERSON,7192930128,0,0
214,CO,JEFFERSON,7192930129,0,0
215,CO,JEFFERSON,7192930130,0,0
216,CO,JEFFERSON,7192930131,0,0
217,CO,JEFFERSON,7192930132,0,0
218,CO,JEFFERSON,7192930133,0,0
219,CO,JEFFERSON,7192930134,0,0
220,CO,JEFFERSON,7192930135,0,0
221,CO,JEFFERSON,7192930136,0,0
222,CO,JEFFERSON,7192930137,0,0
223,CO,JEFFERSON,7192930138,0,0
224,CO,JEFFERSON,7192930139,0,0
225,CO,JEFFERSON,7192930140,0,0
226,CO,JEFFERSON,7192930141,0,0
227,CO,JEFFERSON,7192930142,0,0
228,CO,JEFFERSON,7192930143,0,0
229,CO,JEFFERSON,7192930144,0,0
230,CO,JEFFERSON,7192930145,0,0
231,CO,JEFFERSON,7192930146,0,0
232,CO,JEFFERSON,7192930147,0,0
233,CO,JEFFERSON,7192930148,0,0
234,CO,JEFFERSON,7192930149,695,561
235,CO,JEFFERSON,7192930150,0,0
236,CO,JEFFERSON,7192930151,0,0
237,CO,JEFFERSON,7192930152,0,0
238,CO,JEFFERSON,7192930153,0,0
239,CO,JEFFERSON,7192930154,0,0
240,CO,JEFFERSON,7192930155,0,0
241,CO,JEFFERSON,7192930156,697,544
242,CO,JEFFERSON,7192930157,463,379
243,CO,JEFFERSON,7202330158,0,0
244,CO,JEFFERSON,7202330159,0,0
245,CO,JEFFERSON,7202330160,483,288
246,CO,JEFFERSON,7202330161,0,0
247,CO,JEFFERSON,7202330162,528,315
248,CO,JEFFERSON,7202330163,0,0
249,CO,JEFFERSON,7202330164,778,617
250,CO,JEFFERSON,7202330165,0,0
251,CO,JEFFERSON,7202330166,0,0
252,CO,JEFFERSON,7202330167,0,0
253,CO,JEFFERSON,7202330168,0,0
254,CO,JEFFERSON,7202330169,0,0
255,CO,JEFFERSON,7202330170,0,0
256,CO,JEFFERSON,7202330171,0,0
257,CO,JEFFERSON,7202330172,0,0
258,CO,JEFFERSON,7202330173,0,0
259,CO,JEFFERSON,7202330174,0,0
260,CO,JEFFERSON,7202330175,0,0
261,CO,JEFFERSON,7202330176,0,0
262,CO,JEFFERSON,7202330177,0,0
263,CO,JEFFERSON,7202330178,0,0
264,CO,JEFFERSON,7202330179,0,0
265,CO,JEFFERSON,7202330180,0,0
266,CO,JEFFERSON,7202330181,0,0
267,CO,JEFFERSON,7202430182,0,0
268,CO,JEFFERSON,7202430183,437,622
269,CO,JEFFERSON,7202430184,0,0
270,CO,JEFFERSON,7202430185,0,0
271,CO,JEFFERSON,7202430186,0,0
272,CO,JEFFERSON,7202430187,0,0
273,CO,JEFFERSON,7202430188,0,0
274,CO,JEFFERSON,7202430189,0,0
275,CO,JEFFERSON,7202430190,0,0
276,CO,JEFFERSON,7202430191,0,0
277,CO,JEFFERSON,7202430192,0,0
278,CO,JEFFERSON,7202430193,0,0
279,CO,JEFFERSON,7202430194,0,0
280,CO,JEFFERSON,7202430195,0,0
281,CO,JEFFERSON,7202430196,0,0
282,CO,JEFFERSON,7202430197,0,0
283,CO,JEFFERSON,7202430198,0,0
284,CO,JEFFERSON,7202430199,0,0
285,CO,JEFFERSON,7202430200,0,0
286,CO,JEFFERSON,7202430201,0,0
287,CO,JEFFERSON,7202530202,0,0
288,CO,JEFFERSON,7202530203,0,0
289,CO,JEFFERSON,7202530204,0,0
290,CO,JEFFERSON,7202730205,0,0
291,CO,JEFFERSON,7202730206,0,0
292,CO,JEFFERSON,7202730207,0,0
293,CO,JEFFERSON,7202730208,585,803
294,CO,JEFFERSON,7202730209,0,0
295,CO,JEFFERSON,7202730210,0,0
296,CO,JEFFERSON,7202830211,0,0
297,CO,JEFFERSON,7202830212,0,0
298,CO,JEFFERSON,7202830213,0,0
299,CO,JEFFERSON,7202830214,0,0
300,CO,JEFFERSON,7202830215,0,0
301,CO,JEFFERSON,7202830216,388,391
302,CO,JEFFERSON,7222230217,0,0
303,CO,JEFFERSON,7222230218,0,0
304,CO,JEFFERSON,7222330219,454,205
305,CO,JEFFERSON,7222330220,0,0
306,CO,JEFFERSON,7222330221,0,0
307,CO,JEFFERSON,7222330222,0,0
308,CO,JEFFERSON,7222330223,460,238
309,CO,JEFFERSON,7222330224,0,0
310,CO,JEFFERSON,7222330225,0,0
311,CO,JEFFERSON,7222330226,0,0
312,CO,JEFFERSON,7222330227,0,0
313,CO,JEFFERSON,7222330228,607,493
314,CO,JEFFERSON,7222430229,0,0
315,CO,JEFFERSON,7222430230,0,0
316,CO,JEFFERSON,7222830231,0,0
317,CO,JEFFERSON,7222830232,0,0
318,CO,JEFFERSON,7222830233,0,0
319,CO,JEFFERSON,7222830234,0,0
320,CO,JEFFERSON,7222830235,0,0
321,CO,JEFFERSON,7222830236,0,0
322,CO,JEFFERSON,7222830237,0,0
323,CO,JEFFERSON,7222830238,0,0
324,CO,JEFFERSON,7222830239,0,0
325,CO,JEFFERSON,7222830240,0,0
326,CO,JEFFERSON,7222830241,0,0
327,CO,JEFFERSON,7222830242,0,0
328,CO,JEFFERSON,7222830243,0,0
329,CO,JEFFERSON,7222830244,0,0
330,CO,JEFFERSON,7222830245,0,0
331,CO,JEFFERSON,7222830246,0,0
332,CO,JEFFERSON,7222830247,0,0
333,CO,JEFFERSON,7222830248,0,0
334,CO,JEFFERSON,7222830249,0,0
335,CO,JEFFERSON,7222830250,0,0
336,CO,JEFFERSON,7222830251,0,0
337,CO,JEFFERSON,7222830252,0,0
338,CO,JEFFERSON,7222830253,0,0
