,STATE,COUNTY,PRECINCT,DEM,REP
0,MN,2,5,436,840
1,MN,2,10,427,771
2,MN,2,15,0,0
3,MN,2,20,0,0
4,MN,2,25,0,0
5,MN,2,30,0,0
6,MN,2,35,0,0
7,MN,2,40,0,0
8,MN,2,45,0,0
9,MN,2,50,481,728
10,MN,2,105,0,0
11,MN,2,110,0,0
12,MN,2,115,0,0
13,MN,2,120,0,0
14,MN,2,125,0,0
15,MN,2,130,0,0
16,MN,2,135,0,0
17,MN,2,140,0,0
18,MN,2,205,0,0
19,MN,2,305,0,0
20,MN,2,310,0,0
21,MN,2,315,0,0
22,MN,2,320,252,231
23,MN,2,325,0,0
24,MN,2,330,0,0
25,MN,2,335,0,0
26,MN,2,340,0,0
27,MN,2,405,0,0
28,MN,2,410,0,0
29,MN,2,415,0,0
30,MN,2,420,0,0
31,MN,2,425,0,0
32,MN,2,430,0,0
33,MN,2,435,0,0
34,MN,2,440,0,0
35,MN,2,505,0,0
36,MN,2,510,0,0
37,MN,2,515,0,0
38,MN,2,520,0,0
39,MN,2,525,0,0
40,MN,2,530,0,0
41,MN,2,535,0,0
42,MN,2,540,0,0
43,MN,2,605,0,0
44,MN,2,705,0,0
45,MN,2,710,0,0
46,MN,2,905,0,0
47,MN,2,1505,0,0
48,MN,2,1510,0,0
49,MN,2,1515,426,763
50,MN,2,1905,0,0
51,MN,2,1910,0,0
52,MN,2,1915,0,0
53,MN,2,1920,0,0
54,MN,2,1925,0,0
55,MN,2,1930,311,630
56,MN,2,2105,0,0
57,MN,2,2205,0,0
58,MN,2,2210,0,0
59,MN,2,2215,0,0
60,MN,2,2220,0,0
61,MN,2,2225,0,0
62,MN,2,2230,0,0
63,MN,2,2235,0,0
64,MN,2,2305,0,0
65,MN,2,2405,337,726
66,MN,2,2410,0,0
67,MN,2,2505,0,0
68,MN,2,2510,0,0
69,MN,2,2515,0,0
70,MN,2,2520,0,0
71,MN,2,2605,0,0
72,MN,2,2610,205,291
73,MN,2,2705,0,0
74,MN,2,2710,0,0
75,MN,2,2805,461,688
76,MN,2,2810,0,0
77,MN,2,2905,0,0
78,MN,2,2910,0,0
79,MN,2,3005,0,0
80,MN,2,3010,0,0
81,MN,5,5,0,0
82,MN,5,10,0,0
83,MN,5,15,0,0
84,MN,5,20,0,0
85,MN,5,25,0,0
86,MN,5,30,0,0
87,MN,5,35,0,0
88,MN,5,40,0,0
89,MN,5,45,0,0
90,MN,5,50,0,0
91,MN,5,55,0,0
92,MN,5,56,0,0
93,MN,5,60,0,0
94,MN,5,70,0,0
95,MN,5,80,0,0
96,MN,5,85,0,0
97,MN,5,90,0,0
98,MN,5,95,0,0
99,MN,5,100,0,0
100,MN,5,105,0,0
101,MN,5,110,0,0
102,MN,5,111,0,0
103,MN,5,112,0,0
104,MN,5,115,0,0
105,MN,5,120,0,0
106,MN,10,5,98,251
107,MN,10,10,0,0
108,MN,10,15,0,0
109,MN,10,65,0,0
110,MN,10,70,177,334
111,MN,10,75,51,126
112,MN,10,80,0,0
113,MN,10,85,0,0
114,MN,10,95,0,0
115,MN,10,100,28,87
116,MN,10,105,0,0
117,MN,10,110,0,0
118,MN,10,120,0,0
119,MN,10,125,0,0
120,MN,10,130,0,0
121,MN,10,135,0,0
122,MN,10,140,0,0
123,MN,10,150,0,0
124,MN,27,1080,0,0
125,MN,27,2695,0,0
126,MN,71,5,0,0
127,MN,71,10,0,0
128,MN,71,15,472,1133
129,MN,71,20,0,0
130,MN,71,22,0,0
131,MN,71,24,0,0
132,MN,71,25,347,570
133,MN,71,30,0,0
134,MN,71,35,0,0
135,MN,71,40,0,0
136,MN,71,45,369,601
137,MN,71,50,0,0
138,MN,71,55,0,0
139,MN,71,60,0,0
140,MN,71,65,0,0
141,MN,71,70,0,0
142,MN,71,75,0,0
143,MN,71,80,0,0
144,MN,71,85,0,0
145,MN,71,90,0,0
146,MN,71,95,0,0
147,MN,71,100,0,0
148,MN,71,105,0,0
149,MN,71,110,0,0
150,MN,71,111,0,0
151,MN,71,120,0,0
152,MN,71,121,0,0
153,MN,71,122,0,0
154,MN,71,125,0,0
155,MN,71,130,0,0
156,MN,71,135,0,0
157,MN,71,140,0,0
158,MN,71,145,323,593
159,MN,71,150,0,0
160,MN,71,155,0,0
161,MN,73,20,0,0
162,MN,73,25,0,0
163,MN,73,27,0,0
164,MN,73,35,0,0
165,MN,73,45,0,0
166,MN,73,50,0,0
167,MN,73,55,0,0
168,MN,73,70,0,0
169,MN,73,85,0,0
170,MN,73,115,0,0
171,MN,73,120,0,0
172,MN,73,125,0,0
173,MN,73,145,0,0
174,MN,73,150,0,0
175,MN,73,155,0,0
176,MN,73,160,0,0
177,MN,73,192,0,0
178,MN,73,230,0,0
179,MN,73,235,0,0
180,MN,73,255,0,0
181,MN,73,260,0,0
182,MN,73,265,0,0
183,MN,73,270,0,0
184,MN,73,275,0,0
185,MN,73,280,0,0
186,MN,73,285,0,0
187,MN,73,290,345,141
188,MN,73,295,0,0
189,MN,73,305,0,0
190,MN,73,307,0,0
191,MN,73,310,0,0
192,MN,73,312,0,0
193,MN,73,315,0,0
194,MN,73,317,0,0
195,MN,73,320,0,0
196,MN,73,330,325,282
197,MN,73,335,0,0
198,MN,73,340,0,0
199,MN,73,345,0,0
200,MN,73,350,0,0
201,MN,73,355,605,754
202,MN,73,360,0,0
203,MN,73,380,0,0
204,MN,73,385,676,556
205,MN,73,390,0,0
206,MN,73,395,0,0
207,MN,73,405,0,0
208,MN,73,410,0,0
209,MN,73,414,0,0
210,MN,73,415,0,0
211,MN,73,416,0,0
212,MN,73,417,0,0
213,MN,73,418,0,0
214,MN,73,419,0,0
215,MN,73,440,0,0
216,MN,73,441,0,0
217,MN,73,442,0,0
218,MN,73,443,0,0
219,MN,73,445,0,0
220,MN,82,105,0,0
221,MN,82,110,0,0
222,MN,82,115,519,909
223,MN,82,120,452,690
224,MN,82,125,0,0
225,MN,82,145,0,0
226,MN,82,150,0,0
227,MN,82,155,0,0
228,MN,82,160,0,0
229,MN,82,165,0,0
230,MN,82,210,0,0
231,MN,82,215,0,0
232,MN,82,305,0,0
233,MN,86,5,0,0
234,MN,86,10,0,0
235,MN,86,15,0,0
236,MN,86,20,0,0
237,MN,86,25,0,0
238,MN,86,30,0,0
239,MN,86,31,0,0
240,MN,86,35,218,522
241,MN,86,40,0,0
242,MN,86,45,0,0
243,MN,86,50,0,0
244,MN,86,55,0,0
245,MN,86,60,0,0
246,MN,86,65,372,642
247,MN,86,70,0,0
248,MN,86,75,0,0
249,MN,86,85,0,0
250,MN,86,90,0,0
251,MN,86,95,0,0
252,MN,86,96,0,0
253,MN,86,100,0,0
254,MN,86,105,0,0
255,MN,86,110,0,0
256,MN,86,111,0,0
257,MN,86,115,0,0
258,MN,86,120,0,0
259,MN,86,125,0,0
260,MN,86,130,0,0
261,MN,86,135,353,596
262,MN,86,140,0,0
263,MN,86,141,0,0
264,MN,86,142,0,0
265,MN,86,145,0,0
266,MN,86,150,442,828
267,MN,86,155,0,0
268,MN,86,156,0,0
269,MN,86,160,0,0
270,MN,86,165,0,0
271,MN,86,170,0,0
272,MN,86,175,0,0
273,MN,86,180,0,0
274,MN,86,185,0,0
275,MN,86,190,0,0
