,STATE,COUNTY,PRECINCT,DEM,REP
0,VA,CAROLINE COUNTY,# AB - Central Absentee Precinct,0,0
1,VA,CAROLINE COUNTY,## Provisional,0,0
2,VA,CAROLINE COUNTY,101 - BOWLING GREEN,194,498
3,VA,CAROLINE COUNTY,102 - SPARTA,0,0
4,VA,CAROLINE COUNTY,201 - NORTH MADISON,0,0
5,VA,CAROLINE COUNTY,202 - SOUTH MADISON,0,0
6,VA,CAROLINE COUNTY,301 - PORT ROYAL,0,0
7,VA,CAROLINE COUNTY,302 - WOODFORD,341,431
8,VA,CAROLINE COUNTY,401 - DAWN,653,371
9,VA,CAROLINE COUNTY,402 - CARMEL CHURCH,0,0
10,VA,CAROLINE COUNTY,501 - WEST MATTAPONI,0,0
11,VA,CAROLINE COUNTY,502 - MILFORD,0,0
12,VA,CAROLINE COUNTY,601 - CHILESBURG,0,0
13,VA,CAROLINE COUNTY,602 - LAKE,151,268
14,VA,ESSEX COUNTY,# AB - Central Absentee Precinct,0,0
15,VA,ESSEX COUNTY,## Provisional,0,0
16,VA,ESSEX COUNTY,101 - GREATER TAPPAHANNOCK,0,0
17,VA,ESSEX COUNTY,201 - NORTH,0,0
18,VA,ESSEX COUNTY,301 - SOUTH,0,0
19,VA,ESSEX COUNTY,401 - CENTRAL,0,0
20,VA,FAUQUIER COUNTY,# AB - Central Absentee Precinct,0,0
21,VA,FAUQUIER COUNTY,## Provisional,0,0
22,VA,FAUQUIER COUNTY,102 - CATLETT,0,0
23,VA,FAUQUIER COUNTY,104 - LOIS,0,0
24,VA,FAUQUIER COUNTY,301 - MORRISVILLE,185,579
25,VA,FAUQUIER COUNTY,303 - BEALETON,0,0
26,VA,FREDERICKSBURG CITY,# AB - Central Absentee Precinct,0,0
27,VA,FREDERICKSBURG CITY,## Provisional,0,0
28,VA,FREDERICKSBURG CITY,101 - PRECINCT 1 - DISTRICT ONE,0,0
29,VA,FREDERICKSBURG CITY,201 - PRECINCT 1 - DISTRICT TWO,0,0
30,VA,FREDERICKSBURG CITY,301 - PRECINCT 1 - DISTRICT THREE,0,0
31,VA,FREDERICKSBURG CITY,401 - PRECINCT 1 - DISTRICT FOUR,0,0
32,VA,FREDERICKSBURG CITY,402 - PRECINCT 2 - DISTRICT FOUR,0,0
33,VA,GLOUCESTER COUNTY,# AB - Central Absentee Precinct,0,0
34,VA,GLOUCESTER COUNTY,## Provisional,0,0
35,VA,GLOUCESTER COUNTY,101 - HARCUM,0,0
36,VA,GLOUCESTER COUNTY,102 - SALEM,0,0
37,VA,GLOUCESTER COUNTY,103 - PEASLEY,0,0
38,VA,GLOUCESTER COUNTY,201 - COURTHOUSE,0,0
39,VA,GLOUCESTER COUNTY,202 - BOTETOURT,0,0
40,VA,GLOUCESTER COUNTY,301 - WHITE MARSH,0,0
41,VA,GLOUCESTER COUNTY,302 - ROANES,0,0
42,VA,GLOUCESTER COUNTY,401 - HAYES,0,0
43,VA,GLOUCESTER COUNTY,402 - SARAHS CREEK,0,0
44,VA,GLOUCESTER COUNTY,501 - ACHILLES,0,0
