,STATE,COUNTY,PRECINCT,DEM,REP
0,VA,ALEXANDRIA CITY,# AB - Central Absentee Precinct,0,0
1,VA,ALEXANDRIA CITY,## Provisional,0,0
2,VA,ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,0,0
3,VA,ALEXANDRIA CITY,102 - CITY HALL,0,0
4,VA,ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,0,0
5,VA,ALEXANDRIA CITY,104 - DURANT CENTER,1150,436
6,VA,ALEXANDRIA CITY,105 - LEE CENTER,0,0
7,VA,ALEXANDRIA CITY,106 - CORA KELLY CENTER,0,0
8,VA,ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,0,0
9,VA,ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,0,0
10,VA,ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,0,0
11,VA,ALEXANDRIA CITY,201 - MAURY SCHOOL,0,0
12,VA,ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,957,561
13,VA,ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE,0,0
14,VA,ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,0,0
15,VA,ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,0,0
16,VA,ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR,0,0
17,VA,ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,0,0
18,VA,ALEXANDRIA CITY,208 - NOVA ARTS CENTER,722,319
19,VA,ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,0,0
20,VA,ALEXANDRIA CITY,210 - The Hermitage,0,0
21,VA,ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,0,0
22,VA,ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,903,238
23,VA,ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,0,0
24,VA,ALEXANDRIA CITY,305 - JOHN ADAMS SCHOOL,0,0
25,VA,ALEXANDRIA CITY,306 - WILLIAM RAMSAY SCHOOL,0,0
26,VA,ALEXANDRIA CITY,307 - SOUTH PORT,0,0
27,VA,ALEXANDRIA CITY,308 - CAMERON STATION COMMUNITY CTR,0,0
28,VA,ARLINGTON COUNTY,# AB - Central Absentee Precinct,0,0
29,VA,ARLINGTON COUNTY,## Provisional,0,0
30,VA,ARLINGTON COUNTY,001 - ARLINGTON,0,0
31,VA,ARLINGTON COUNTY,002 - ASHTON HEIGHTS,0,0
32,VA,ARLINGTON COUNTY,003 - AURORA HILLS,0,0
33,VA,ARLINGTON COUNTY,004 - BALLSTON,0,0
34,VA,ARLINGTON COUNTY,005 - BARCROFT,0,0
35,VA,ARLINGTON COUNTY,006 - CRYSTAL CITY,0,0
36,VA,ARLINGTON COUNTY,007 - CHERRYDALE,918,401
37,VA,ARLINGTON COUNTY,008 - HUME,0,0
38,VA,ARLINGTON COUNTY,009 - COLUMBIA,0,0
39,VA,ARLINGTON COUNTY,010 - WILSON,0,0
40,VA,ARLINGTON COUNTY,011 - EAST FALLS CHURCH,0,0
41,VA,ARLINGTON COUNTY,012 - FAIRLINGTON,0,0
42,VA,ARLINGTON COUNTY,013 - GLEN CARLYN,0,0
43,VA,ARLINGTON COUNTY,014 - CLARENDON,0,0
44,VA,ARLINGTON COUNTY,015 - LYON PARK,0,0
45,VA,ARLINGTON COUNTY,016 - LYON VILLAGE,0,0
46,VA,ARLINGTON COUNTY,017 - OVERLEE KNOLLS,0,0
47,VA,ARLINGTON COUNTY,018 - PARK LANE,0,0
48,VA,ARLINGTON COUNTY,019 - ROSSLYN,0,0
49,VA,ARLINGTON COUNTY,020 - THRIFTON,0,0
50,VA,ARLINGTON COUNTY,021 - VIRGINIA HIGHLANDS,0,0
51,VA,ARLINGTON COUNTY,022 - ABINGDON,0,0
52,VA,ARLINGTON COUNTY,023 - WESTOVER,0,0
53,VA,ARLINGTON COUNTY,024 - WOODLAWN,1186,376
54,VA,ARLINGTON COUNTY,025 - ARLINGTON FOREST,765,267
55,VA,ARLINGTON COUNTY,026 - FILLMORE,0,0
56,VA,ARLINGTON COUNTY,027 - JEFFERSON,0,0
57,VA,ARLINGTON COUNTY,028 - WAKEFIELD,923,275
58,VA,ARLINGTON COUNTY,029 - DOMINION HILLS,0,0
59,VA,ARLINGTON COUNTY,030 - GLEBE,0,0
60,VA,ARLINGTON COUNTY,031 - LEXINGTON,0,0
61,VA,ARLINGTON COUNTY,032 - OAKRIDGE,0,0
62,VA,ARLINGTON COUNTY,033 - ROCK SPRING,0,0
63,VA,ARLINGTON COUNTY,034 - YORKTOWN,0,0
64,VA,ARLINGTON COUNTY,035 - MADISON,994,668
65,VA,ARLINGTON COUNTY,036 - MARSHALL,0,0
66,VA,ARLINGTON COUNTY,037 - NOTTINGHAM,0,0
67,VA,ARLINGTON COUNTY,038 - ARLINGTON VIEW,0,0
68,VA,ARLINGTON COUNTY,039 - ASHLAWN,0,0
69,VA,ARLINGTON COUNTY,040 - VIRGINIA SQUARE,0,0
70,VA,ARLINGTON COUNTY,041 - NAVY LEAGUE,0,0
71,VA,ARLINGTON COUNTY,042 - SHIRLINGTON,0,0
72,VA,ARLINGTON COUNTY,043 - CAMPBELL,0,0
73,VA,ARLINGTON COUNTY,044 - DAWSON TERRACE,570,197
74,VA,ARLINGTON COUNTY,045 - BUCKINGHAM,0,0
75,VA,ARLINGTON COUNTY,046 - CENTRAL,0,0
76,VA,ARLINGTON COUNTY,047 - FOUR MILE RUN,0,0
77,VA,ARLINGTON COUNTY,048 - AUSA,534,296
78,VA,ARLINGTON COUNTY,049 - MONROE,0,0
79,VA,ARLINGTON COUNTY,050 - CRYSTAL PLAZA,0,0
80,VA,ARLINGTON COUNTY,051 - TAYLOR,0,0
81,VA,ARLINGTON COUNTY,052 - GUNSTON,0,0
82,VA,FAIRFAX COUNTY,# AB - Central Absentee Precinct,0,0
83,VA,FAIRFAX COUNTY,## Provisional,0,0
84,VA,FAIRFAX COUNTY,302 - CHESTERBROOK,0,0
85,VA,FAIRFAX COUNTY,305 - EL NIDO,0,0
86,VA,FAIRFAX COUNTY,307 - HAYCOCK,0,0
87,VA,FAIRFAX COUNTY,310 - KIRBY,0,0
88,VA,FAIRFAX COUNTY,312 - LONGFELLOW,0,0
89,VA,FAIRFAX COUNTY,315 - PIMMIT,0,0
90,VA,FAIRFAX COUNTY,316 - SALONA #1,0,0
91,VA,FAIRFAX COUNTY,317 - WESTHAMPTON,0,0
92,VA,FAIRFAX COUNTY,318 - WESTMORELAND,0,0
