,STATE,COUNTY,PRECINCT,DEM,REP
0,NC,ASHE,14,0,0
1,NC,ASHE,16,0,0
2,NC,ASHE,20,0,0
3,NC,ASHE,ABSENTEE MAIL,0,0
4,NC,ASHE,04,0,0
5,NC,ASHE,07,0,0
6,NC,ASHE,02,114,343
7,NC,ASHE,PROVISIONAL,0,0
8,NC,ASHE,11,0,0
9,NC,ASHE,08,0,0
10,NC,ASHE,09,0,0
11,NC,ASHE,06,0,0
12,NC,ASHE,03,0,0
13,NC,ASHE,10,0,0
14,NC,ASHE,ONE STOP,0,0
15,NC,ASHE,13,95,296
16,NC,ASHE,18,0,0
17,NC,ASHE,15,0,0
18,NC,ASHE,12,0,0
19,NC,ASHE,17,0,0
20,NC,ALLEGHANY,04,0,0
21,NC,ALLEGHANY,01,0,0
22,NC,ALLEGHANY,06A,0,0
23,NC,ALLEGHANY,03A,0,0
24,NC,CATAWBA,39,0,0
25,NC,CATAWBA,38,0,0
26,NC,CATAWBA,29,0,0
27,NC,ALEXANDER,S1S2,0,0
28,NC,ALEXANDER,W,0,0
29,NC,ALEXANDER,LRSL,0,0
30,NC,ALEXANDER,B2,0,0
31,NC,ALEXANDER,M,0,0
32,NC,ALEXANDER,G1G2,0,0
33,NC,ALEXANDER,T2T3,0,0
34,NC,ALEXANDER,T1T4T5,0,0
35,NC,ALEXANDER,E,0,0
36,NC,ALEXANDER,B1,0,0
37,NC,AVERY,ONE STOP,0,0
38,NC,AVERY,15,0,0
39,NC,AVERY,12,0,0
40,NC,AVERY,17,0,0
41,NC,AVERY,03,0,0
42,NC,AVERY,06,0,0
43,NC,AVERY,09,0,0
44,NC,AVERY,01,0,0
45,NC,AVERY,04,0,0
46,NC,AVERY,07,0,0
47,NC,AVERY,11,0,0
48,NC,AVERY,02,0,0
49,NC,AVERY,05,0,0
50,NC,AVERY,08,0,0
51,NC,AVERY,ABSENTEE MAIL,0,0
52,NC,AVERY,14,0,0
53,NC,AVERY,16,129,333
54,NC,AVERY,19,0,0
55,NC,AVERY,10,0,0
56,NC,AVERY,18,0,0
57,NC,AVERY,13,0,0
58,NC,AVERY,PROVISIONAL,0,0
59,NC,FORSYTH,703,0,0
60,NC,FORSYTH,502,0,0
61,NC,FORSYTH,405,0,0
62,NC,FORSYTH,404,0,0
63,NC,FORSYTH,802,0,0
64,NC,FORSYTH,805,0,0
65,NC,FORSYTH,808,0,0
66,NC,FORSYTH,402,0,0
67,NC,FORSYTH,015,0,0
68,NC,FORSYTH,101,0,0
69,NC,FORSYTH,065,0,0
70,NC,FORSYTH,207,0,0
71,NC,FORSYTH,PROVISIONAL,0,0
72,NC,FORSYTH,021,0,0
73,NC,FORSYTH,111,247,741
74,NC,FORSYTH,063,0,0
75,NC,FORSYTH,068,0,0
76,NC,FORSYTH,133,0,0
77,NC,FORSYTH,705,0,0
78,NC,FORSYTH,909,0,0
79,NC,FORSYTH,032,0,0
80,NC,FORSYTH,055,0,0
81,NC,FORSYTH,052,0,0
82,NC,FORSYTH,503,0,0
83,NC,FORSYTH,901,0,0
84,NC,FORSYTH,706,0,0
85,NC,FORSYTH,074,0,0
86,NC,FORSYTH,014,0,0
87,NC,FORSYTH,204,0,0
88,NC,FORSYTH,011,1143,1406
89,NC,FORSYTH,401,0,0
90,NC,FORSYTH,603,0,0
91,NC,FORSYTH,606,0,0
92,NC,FORSYTH,403,0,0
93,NC,FORSYTH,042,0,0
94,NC,FORSYTH,034,0,0
95,NC,FORSYTH,033,0,0
96,NC,FORSYTH,803,0,0
97,NC,FORSYTH,ABSENTEE,0,0
98,NC,FORSYTH,707,0,0
99,NC,FORSYTH,201,0,0
100,NC,FORSYTH,203,0,0
101,NC,FORSYTH,206,0,0
102,NC,FORSYTH,091,0,0
103,NC,FORSYTH,071,0,0
104,NC,FORSYTH,031,0,0
105,NC,FORSYTH,902,0,0
106,NC,FORSYTH,809,0,0
107,NC,FORSYTH,907,698,376
108,NC,FORSYTH,806,0,0
109,NC,FORSYTH,501,949,76
110,NC,FORSYTH,506,0,0
111,NC,FORSYTH,607,0,0
112,NC,FORSYTH,304,0,0
113,NC,FORSYTH,051,0,0
114,NC,FORSYTH,012,0,0
115,NC,FORSYTH,904,0,0
116,NC,FORSYTH,302,0,0
117,NC,FORSYTH,123,0,0
118,NC,FORSYTH,701,0,0
119,NC,FORSYTH,702,0,0
120,NC,FORSYTH,054,0,0
121,NC,FORSYTH,067,0,0
122,NC,FORSYTH,062,0,0
123,NC,FORSYTH,083,0,0
124,NC,FORSYTH,082,0,0
125,NC,FORSYTH,122,0,0
126,NC,FORSYTH,092,0,0
127,NC,FORSYTH,072,0,0
128,NC,FORSYTH,073,0,0
129,NC,FORSYTH,075,0,0
130,NC,FORSYTH,112,0,0
131,NC,FORSYTH,704,0,0
132,NC,FORSYTH,132,0,0
133,NC,FORSYTH,301,0,0
134,NC,FORSYTH,602,0,0
135,NC,FORSYTH,605,0,0
136,NC,FORSYTH,303,0,0
137,NC,FORSYTH,306,0,0
138,NC,FORSYTH,081,0,0
139,NC,FORSYTH,061,0,0
140,NC,FORSYTH,064,0,0
141,NC,FORSYTH,066,0,0
142,NC,FORSYTH,708,0,0
143,NC,FORSYTH,305,665,18
144,NC,FORSYTH,906,0,0
145,NC,FORSYTH,709,0,0
146,NC,FORSYTH,205,0,0
147,NC,FORSYTH,ONE STOP,0,0
148,NC,FORSYTH,905,0,0
149,NC,FORSYTH,807,0,0
150,NC,FORSYTH,801,0,0
151,NC,FORSYTH,804,0,0
152,NC,FORSYTH,504,0,0
153,NC,FORSYTH,013,0,0
154,NC,FORSYTH,043,0,0
155,NC,FORSYTH,601,0,0
156,NC,FORSYTH,505,0,0
157,NC,FORSYTH,903,0,0
158,NC,FORSYTH,507,0,0
159,NC,FORSYTH,604,0,0
160,NC,FORSYTH,131,0,0
161,NC,FORSYTH,908,0,0
162,NC,FORSYTH,053,0,0
163,NC,STOKES,PROVISIONAL,0,0
164,NC,STOKES,05,0,0
165,NC,STOKES,02,0,0
166,NC,STOKES,08,0,0
167,NC,STOKES,11,0,0
168,NC,STOKES,14,0,0
169,NC,STOKES,07,62,169
170,NC,STOKES,04,68,405
171,NC,STOKES,ONE STOP KING,0,0
172,NC,STOKES,19,0,0
173,NC,STOKES,16,0,0
174,NC,STOKES,20,0,0
175,NC,STOKES,ABSENTEE MAIL,60,157
176,NC,STOKES,01,54,224
177,NC,STOKES,12,0,0
178,NC,STOKES,17,0,0
179,NC,STOKES,15,0,0
180,NC,STOKES,03,0,0
181,NC,STOKES,ONE STOP DANBURY,287,801
182,NC,STOKES,10,152,579
183,NC,STOKES,09,157,499
184,NC,STOKES,06,0,0
185,NC,STOKES,13,79,397
186,NC,STOKES,18,0,0
187,NC,STOKES,ONE STOP WALNUT COVE,645,1433
188,NC,SURRY,24,0,0
189,NC,SURRY,23,0,0
190,NC,SURRY,CURBSIDE,0,0
191,NC,SURRY,26,0,0
192,NC,SURRY,03,0,0
193,NC,SURRY,06,322,382
194,NC,SURRY,09,0,0
195,NC,SURRY,10,0,0
196,NC,SURRY,13,0,0
197,NC,SURRY,33,0,0
198,NC,SURRY,28,0,0
199,NC,SURRY,27,0,0
200,NC,SURRY,07,0,0
201,NC,SURRY,ABSENTEE BY MAIL,0,0
202,NC,SURRY,12,0,0
203,NC,SURRY,17,0,0
204,NC,SURRY,15,0,0
205,NC,SURRY,05,0,0
206,NC,SURRY,02,0,0
207,NC,SURRY,08,0,0
208,NC,SURRY,22,0,0
209,NC,SURRY,11,0,0
210,NC,SURRY,18,0,0
211,NC,SURRY,21,0,0
212,NC,SURRY,PROVISIONAL,0,0
213,NC,SURRY,14,305,652
214,NC,SURRY,16,0,0
215,NC,SURRY,19,0,0
216,NC,SURRY,25,0,0
217,NC,SURRY,04,293,776
218,NC,SURRY,01,0,0
219,NC,SURRY,20,0,0
220,NC,WATAUGA,11,0,0
221,NC,WATAUGA,08,0,0
222,NC,WATAUGA,05,0,0
223,NC,WATAUGA,02,0,0
224,NC,WATAUGA,OS BLOWING ROCK,0,0
225,NC,WATAUGA,PROVISIONAL,0,0
226,NC,WATAUGA,OS ADMIN,0,0
227,NC,WATAUGA,19,0,0
228,NC,WATAUGA,14,0,0
229,NC,WATAUGA,OS DEEP GAP,384,760
230,NC,WATAUGA,04,0,0
231,NC,WATAUGA,07,0,0
232,NC,WATAUGA,ABSENTEE MAIL,0,0
233,NC,WATAUGA,01,0,0
234,NC,WATAUGA,OS ASU,0,0
235,NC,WATAUGA,20,0,0
236,NC,WATAUGA,16,10,40
237,NC,WATAUGA,13,0,0
238,NC,WATAUGA,18,0,0
239,NC,WATAUGA,OS MEAT CAMP,0,0
240,NC,WATAUGA,09,0,0
241,NC,WATAUGA,OS WWCC,0,0
242,NC,WATAUGA,10,0,0
243,NC,WATAUGA,TRANSFER,0,0
244,NC,WATAUGA,15,0,0
245,NC,WATAUGA,12,0,0
246,NC,WATAUGA,17,89,162
247,NC,WATAUGA,06,0,0
248,NC,WATAUGA,03,0,0
249,NC,WILKES,101,0,0
250,NC,WILKES,103,0,0
251,NC,WILKES,111,0,0
252,NC,WILKES,117,0,0
253,NC,WILKES,ONE STOP OFFICE,0,0
254,NC,WILKES,128,0,0
255,NC,WILKES,123,0,0
256,NC,WILKES,ABSENTEE MAIL,0,0
257,NC,WILKES,102,0,0
258,NC,WILKES,114,0,0
259,NC,WILKES,109,0,0
260,NC,WILKES,108,0,0
261,NC,WILKES,115A,0,0
262,NC,WILKES,ONE STOP MILLERS CREEK,0,0
263,NC,WILKES,124,0,0
264,NC,WILKES,PROVISIONAL,0,0
265,NC,WILKES,110,0,0
266,NC,WILKES,106,0,0
267,NC,WILKES,119,0,0
268,NC,WILKES,129,0,0
269,NC,WILKES,113,0,0
270,NC,WILKES,120,76,510
271,NC,WILKES,126,0,0
272,NC,WILKES,TRANSFER,6,10
273,NC,WILKES,107,117,647
274,NC,WILKES,ONE STOP PLEASANT HILL,267,941
275,NC,WILKES,112,0,0
276,NC,WILKES,125,0,0
277,NC,WILKES,121,0,0
278,NC,WILKES,122,0,0
279,NC,WILKES,118,0,0
280,NC,WILKES,105,0,0
281,NC,WILKES,104,0,0
282,NC,WILKES,127,0,0
283,NC,YADKIN,NBCK,0,0
284,NC,YADKIN,SBCK,0,0
285,NC,YADKIN,SKNB,48,400
286,NC,YADKIN,NLIB,0,0
287,NC,YADKIN,BNVL,0,0
288,NC,YADKIN,SLIB,0,0
289,NC,YADKIN,ONE STOP,0,0
290,NC,YADKIN,FBSH,0,0
291,NC,YADKIN,NKNB,0,0
292,NC,YADKIN,ABSENTEE MAIL,0,0
293,NC,YADKIN,SFAL,0,0
294,NC,YADKIN,PROVISIONAL,0,0
295,NC,YADKIN,NFAL,0,0
296,NC,YADKIN,DCRK,0,0
297,NC,YADKIN,EBND,0,0
