,STATE,COUNTY,PRECINCT,DEM,REP
0,VA,FAIRFAX CITY,# AB - Central Absentee Precinct,0,0
1,VA,FAIRFAX CITY,## Provisional,0,0
2,VA,FAIRFAX CITY,001 - ONE,475,429
3,VA,FAIRFAX CITY,002 - TWO,0,0
4,VA,FAIRFAX CITY,003 - THREE,0,0
5,VA,FAIRFAX CITY,004 - FOUR,0,0
6,VA,FAIRFAX CITY,005 - FIVE,0,0
7,VA,FAIRFAX CITY,006 - SIX,0,0
8,VA,FAIRFAX COUNTY,# AB - Central Absentee Precinct,0,0
9,VA,FAIRFAX COUNTY,## Provisional,33,31
10,VA,FAIRFAX COUNTY,104 - CHAPEL,0,0
11,VA,FAIRFAX COUNTY,105 - FAIRVIEW,0,0
12,VA,FAIRFAX COUNTY,106 - HERITAGE,742,356
13,VA,FAIRFAX COUNTY,108 - KINGS PARK,0,0
14,VA,FAIRFAX COUNTY,109 - LITTLE RUN,839,727
15,VA,FAIRFAX COUNTY,110 - NORTH SPRINGFIELD,0,0
16,VA,FAIRFAX COUNTY,113 - CANTERBURY,0,0
17,VA,FAIRFAX COUNTY,115 - RAVENSWORTH,0,0
18,VA,FAIRFAX COUNTY,116 - WAKEFIELD,0,0
19,VA,FAIRFAX COUNTY,117 - WOODSON,0,0
20,VA,FAIRFAX COUNTY,118 - LAKE BRADDOCK,915,611
21,VA,FAIRFAX COUNTY,119 - LAUREL,0,0
22,VA,FAIRFAX COUNTY,120 - SIDEBURN,0,0
23,VA,FAIRFAX COUNTY,121 - VILLA,0,0
24,VA,FAIRFAX COUNTY,123 - ROBINSON,0,0
25,VA,FAIRFAX COUNTY,125 - SIGNAL HILL,0,0
26,VA,FAIRFAX COUNTY,126 - BONNIE BRAE,0,0
27,VA,FAIRFAX COUNTY,127 - BURKE CENTRE,0,0
28,VA,FAIRFAX COUNTY,128 - CARDINAL,0,0
29,VA,FAIRFAX COUNTY,129 - KEENE MILL,0,0
30,VA,FAIRFAX COUNTY,130 - TERRA CENTRE,0,0
31,VA,FAIRFAX COUNTY,131 - EAGLE VIEW,0,0
32,VA,FAIRFAX COUNTY,132 - MONUMENT,0,0
33,VA,FAIRFAX COUNTY,133 - DANBURY,0,0
34,VA,FAIRFAX COUNTY,134 - UNIVERSITY,0,0
35,VA,FAIRFAX COUNTY,202 - FLINT HILL,782,729
36,VA,FAIRFAX COUNTY,203 - FLORIS,883,757
37,VA,FAIRFAX COUNTY,204 - MADISON,0,0
38,VA,FAIRFAX COUNTY,208 - RESTON #1,0,0
39,VA,FAIRFAX COUNTY,209 - RESTON #2,0,0
40,VA,FAIRFAX COUNTY,213 - VIENNA #1,1063,776
41,VA,FAIRFAX COUNTY,214 - VIENNA #2,0,0
42,VA,FAIRFAX COUNTY,216 - VIENNA #4,0,0
43,VA,FAIRFAX COUNTY,218 - VIENNA #6,0,0
44,VA,FAIRFAX COUNTY,219 - WESTBRIAR,0,0
45,VA,FAIRFAX COUNTY,220 - DOGWOOD,0,0
46,VA,FAIRFAX COUNTY,221 - HUNTERS WOODS,882,529
47,VA,FAIRFAX COUNTY,222 - RESTON #3,0,0
48,VA,FAIRFAX COUNTY,223 - GLADE,0,0
49,VA,FAIRFAX COUNTY,224 - SOUTH LAKES,0,0
50,VA,FAIRFAX COUNTY,225 - HUGHES,0,0
51,VA,FAIRFAX COUNTY,226 - WOLFTRAP,0,0
52,VA,FAIRFAX COUNTY,227 - SUNRISE VALLEY,0,0
53,VA,FAIRFAX COUNTY,233 - NORTH POINT,0,0
54,VA,FAIRFAX COUNTY,234 - ALDRIN,0,0
55,VA,FAIRFAX COUNTY,235 - FRYING PAN,0,0
56,VA,FAIRFAX COUNTY,236 - STUART,375,236
57,VA,FAIRFAX COUNTY,237 - MCNAIR,0,0
58,VA,FAIRFAX COUNTY,238 - CAMERON GLEN,0,0
59,VA,FAIRFAX COUNTY,319 - HERNDON #1,0,0
60,VA,FAIRFAX COUNTY,320 - HERNDON #2,0,0
61,VA,FAIRFAX COUNTY,324 - HERNDON #3,0,0
62,VA,FAIRFAX COUNTY,325 - HUTCHISON,0,0
63,VA,FAIRFAX COUNTY,332 - COATES,0,0
64,VA,FAIRFAX COUNTY,426 - GREENSPRING,0,0
65,VA,FAIRFAX COUNTY,502 - BARCROFT,0,0
66,VA,FAIRFAX COUNTY,503 - BELVEDERE,0,0
67,VA,FAIRFAX COUNTY,504 - BRISTOW,0,0
68,VA,FAIRFAX COUNTY,506 - HOLMES,0,0
69,VA,FAIRFAX COUNTY,508 - MASONVILLE,0,0
70,VA,FAIRFAX COUNTY,511 - RAVENWOOD,0,0
71,VA,FAIRFAX COUNTY,512 - SLEEPY HOLLOW,0,0
72,VA,FAIRFAX COUNTY,513 - SAINT ALBANS,430,271
73,VA,FAIRFAX COUNTY,518 - COLUMBIA,0,0
74,VA,FAIRFAX COUNTY,519 - HUMMER,413,312
75,VA,FAIRFAX COUNTY,522 - CAMELOT,0,0
