,STATE,COUNTY,PRECINCT,DEM,REP
0,CO,ARAPAHOE,1260303101,341,193
1,CO,ARAPAHOE,1260303102,299,206
2,CO,ARAPAHOE,1260303103,0,0
3,CO,ARAPAHOE,1260303104,0,0
4,CO,ARAPAHOE,1260303105,0,0
5,CO,ARAPAHOE,1260303106,134,85
6,CO,ARAPAHOE,1260303107,300,149
7,CO,ARAPAHOE,1260303108,0,0
8,CO,ARAPAHOE,1260303109,0,0
9,CO,ARAPAHOE,1260303110,197,143
10,CO,ARAPAHOE,1260303111,0,0
11,CO,ARAPAHOE,1260303112,0,0
12,CO,ARAPAHOE,1260303113,0,0
13,CO,ARAPAHOE,1260303114,237,108
14,CO,ARAPAHOE,1260303115,0,0
15,CO,ARAPAHOE,1260303116,0,0
16,CO,ARAPAHOE,1260303117,0,0
17,CO,ARAPAHOE,1260303118,0,0
18,CO,ARAPAHOE,1260303119,0,0
19,CO,ARAPAHOE,1260303120,0,0
20,CO,ARAPAHOE,1260303121,0,0
21,CO,ARAPAHOE,1260303122,0,0
22,CO,ARAPAHOE,1260303123,0,0
23,CO,ARAPAHOE,1260303124,0,0
24,CO,ARAPAHOE,1260303125,0,0
25,CO,ARAPAHOE,1260303129,0,0
26,CO,ARAPAHOE,1260303130,335,221
27,CO,ARAPAHOE,1260303131,263,498
28,CO,ARAPAHOE,1260303132,0,0
29,CO,ARAPAHOE,1260303133,0,0
30,CO,ARAPAHOE,1260303134,0,0
31,CO,ARAPAHOE,1260303135,0,0
32,CO,ARAPAHOE,1260303136,0,0
33,CO,ARAPAHOE,1260303140,0,0
34,CO,ARAPAHOE,1263803141,143,215
35,CO,ARAPAHOE,1310903137,0,0
36,CO,ARAPAHOE,1310903138,192,131
37,CO,ARAPAHOE,1310903139,0,0
38,CO,ARAPAHOE,1310903230,0,0
39,CO,ARAPAHOE,1310903402,0,0
40,CO,ARAPAHOE,1310903475,8,10
41,CO,ARAPAHOE,1310903501,0,0
42,CO,ARAPAHOE,1310903502,0,0
43,CO,DENVER,1160116112,368,272
44,CO,DENVER,1160116113,0,0
45,CO,DENVER,1160116114,0,0
46,CO,DENVER,1160116120,0,0
47,CO,DENVER,1160116122,0,0
48,CO,DENVER,1160116123,0,0
49,CO,DENVER,1160116124,0,0
50,CO,DENVER,1160116125,0,0
51,CO,DENVER,1160116126,0,0
52,CO,DENVER,1160116127,424,379
53,CO,DENVER,1160116128,0,0
54,CO,DENVER,1160116129,288,282
55,CO,DENVER,1160116130,0,0
56,CO,DENVER,1160116131,0,0
57,CO,DENVER,1160116132,0,0
58,CO,DENVER,1310216204,538,75
59,CO,DENVER,1310216205,524,65
60,CO,DENVER,1310216206,0,0
61,CO,DENVER,1310216207,0,0
62,CO,DENVER,1310216208,0,0
63,CO,DENVER,1310216209,0,0
64,CO,DENVER,1310216210,0,0
65,CO,DENVER,1310216211,494,81
66,CO,DENVER,1310516530,0,0
67,CO,DENVER,1310616605,0,0
68,CO,DENVER,1310616606,0,0
69,CO,DENVER,1310616607,405,142
70,CO,DENVER,1310616609,0,0
71,CO,DENVER,1310616610,0,0
72,CO,DENVER,1310616611,0,0
73,CO,DENVER,1310616612,0,0
74,CO,DENVER,1310616613,474,171
75,CO,DENVER,1310616614,0,0
76,CO,DENVER,1310616615,438,225
77,CO,DENVER,1310616617,0,0
78,CO,DENVER,1310616618,0,0
79,CO,DENVER,1310616619,0,0
80,CO,DENVER,1310616622,583,258
81,CO,DENVER,1310616623,595,361
82,CO,DENVER,1310616624,0,0
83,CO,DENVER,1310616625,0,0
84,CO,DENVER,1310616626,0,0
85,CO,DENVER,1310616627,0,0
86,CO,DENVER,1310616628,0,0
87,CO,DENVER,1310616629,392,174
88,CO,DENVER,1310616630,0,0
89,CO,DENVER,1310616631,659,217
90,CO,DENVER,1310616641,0,0
91,CO,DENVER,1310616642,0,0
92,CO,DENVER,1310616643,0,0
93,CO,DENVER,1310616644,0,0
94,CO,DENVER,1310616645,509,250
95,CO,DENVER,1310616646,0,0
96,CO,DENVER,1310616647,476,187
97,CO,DENVER,1310616648,519,184
98,CO,DENVER,1310616649,0,0
99,CO,DENVER,1310616650,0,0
100,CO,DENVER,1310616651,0,0
101,CO,DENVER,1310616652,0,0
102,CO,DENVER,1310816841,538,63
103,CO,DENVER,1310816842,475,85
104,CO,DENVER,1310816843,512,73
105,CO,DENVER,1310816844,0,0
106,CO,DENVER,1310816845,0,0
107,CO,DENVER,1310816846,0,0
108,CO,DENVER,1310816848,0,0
109,CO,DENVER,1310816849,0,0
110,CO,DENVER,1310816850,0,0
111,CO,DENVER,1310816851,0,0
112,CO,DENVER,1310816852,0,0
113,CO,DENVER,1310816853,565,154
114,CO,DENVER,1310816854,0,0
115,CO,DENVER,1310816855,0,0
116,CO,DENVER,1310916901,471,146
117,CO,DENVER,1310916903,0,0
118,CO,DENVER,1310916904,0,0
119,CO,DENVER,1310916905,0,0
120,CO,DENVER,1310916906,0,0
121,CO,DENVER,1310916908,0,0
122,CO,DENVER,1310916909,0,0
123,CO,DENVER,1310916910,0,0
124,CO,DENVER,1310916911,0,0
125,CO,DENVER,1310916912,477,316
126,CO,DENVER,1310916916,0,0
127,CO,DENVER,1310916917,0,0
128,CO,DENVER,1310916918,631,331
129,CO,DENVER,1310916919,0,0
130,CO,DENVER,1310916920,0,0
131,CO,DENVER,1310916921,531,260
132,CO,DENVER,1310916922,596,323
133,CO,DENVER,1310916923,475,296
134,CO,DENVER,1310916924,264,90
135,CO,DENVER,1310916927,0,0
136,CO,DENVER,1310916928,0,0
137,CO,DENVER,1310916929,387,223
138,CO,DENVER,1310916930,347,183
139,CO,DENVER,1310916931,320,271
140,CO,DENVER,1310916932,0,0
141,CO,DENVER,1310916933,0,0
142,CO,DENVER,1310916934,353,167
143,CO,DENVER,1310916935,0,0
