,COUNTY,PRECINCT,STATE,DEM,REP
0,BANKS,ANDERSON,GA,42,400
1,BANKS,BALDWIN,GA,0,0
2,BANKS,BERLIN,GA,8,113
3,BANKS,BUSHVILLE,GA,15,193
4,BANKS,COLUMBIA,GA,0,0
5,BANKS,DAVIDS,GA,0,0
6,BANKS,GOLDEN HILL,GA,40,227
7,BANKS,GROVE RIVER,GA,12,216
8,BANKS,HOLLINGSWORTH,GA,18,223
9,BANKS,HOMER,GA,25,295
10,BANKS,POPLAR SPRINGS,GA,0,0
11,BANKS,WASHINGTON,GA,0,0
12,BANKS,WILMONTS,GA,12,169
13,CLARKE,'1A W''VILLE TRAIN DEPOT',GA,497,407
14,CLARKE,2A JUDIA J. HARRIS SCH,GA,0,0
15,CLARKE,5D ACC FLEET MGT BLDG,GA,542,226
16,DAWSON,CENTRAL,GA,0,0
17,DAWSON,EAST,GA,0,0
18,DAWSON,WEST,GA,0,0
19,ELBERT,CENTERVILLE,GA,57,244
20,ELBERT,ELBERTON,GA,348,237
21,ELBERT,ELIAM,GA,34,198
22,ELBERT,GAINES,GA,27,192
23,ELBERT,GOSHEN,GA,0,0
24,ELBERT,LONGSTREET,GA,32,123
25,ELBERT,MOSS-RUCKERSVILLE,GA,0,0
26,ELBERT,PETERSBURG,GA,16,109
27,ELBERT,PIKE,GA,0,0
28,ELBERT,WEBBSBORO,GA,0,0
29,ELBERT,WYCHE,GA,66,151
30,FANNIN,COLWELL,GA,41,314
31,FANNIN,FAIRPLAY,GA,0,0
32,FANNIN,FLINTHILL,GA,0,0
33,FANNIN,HEMPTOWN,GA,40,364
34,FANNIN,HOTHOUSE,GA,41,280
35,FANNIN,MINERAL BLUFF,GA,52,409
36,FANNIN,MOBILE,GA,0,0
37,FANNIN,MORGANTON,GA,0,0
38,FANNIN,NOONTOOTLA,GA,46,219
39,FANNIN,SKENIAH,GA,19,105
40,FANNIN,SUGAR CREEK,GA,0,0
41,FANNIN,TOCCOA,GA,90,542
42,FORSYTH,04 CHESTATEE,GA,211,1257
43,FORSYTH,05 COAL MOUNTAIN,GA,354,1160
44,FORSYTH,06 CROSSROADS,GA,0,0
45,FORSYTH,27 CONCORD,GA,0,0
46,FRANKLIN,CANON,GA,56,379
47,FRANKLIN,CARNESVILLE,GA,56,468
48,FRANKLIN,LAVONIA,GA,0,0
49,FRANKLIN,NORTHEAST,GA,0,0
50,FRANKLIN,ROYSTON,GA,0,0
51,FRANKLIN,SOUTHWEST,GA,0,0
52,FRANKLIN,WEST FRANKLIN,GA,0,0
53,GILMER,BIG CREEK,GA,53,347
54,GILMER,BOARDTOWN,GA,0,0
55,GILMER,CARTECAY,GA,45,438
56,GILMER,CHERRY LOG,GA,0,0
57,GILMER,EAST ELLIJAY,GA,0,0
58,GILMER,ELLIJAY NORTH,GA,59,321
59,GILMER,ELLIJAY NORTHEAST,GA,0,0
60,GILMER,ELLIJAY SOUTH,GA,0,0
61,GILMER,LEACHES,GA,105,576
62,GILMER,MOUNTAINTOWN,GA,57,306
63,GILMER,TAILS CREEK,GA,0,0
64,GILMER,TOWN CREEK,GA,0,0
65,GILMER,YUKON,GA,0,0
66,HABERSHAM,AMYS CREEK,GA,0,0
67,HABERSHAM,CITY OF BALDWIN,GA,61,159
68,HABERSHAM,DEMOREST,GA,121,654
69,HABERSHAM,HABERSHAM NORTH,GA,0,0
70,HABERSHAM,HABERSHAM SOUTH,GA,176,754
71,HABERSHAM,MUD CREEK,GA,132,727
72,HABERSHAM,TOWN OF MOUNT AIRY,GA,0,0
73,HALL,01-WILSON,GA,0,0
74,HALL,02-CHICOPEE,GA,372,406
75,HALL,03-OAKWOOD I,GA,306,452
76,HALL,04-OAKWOOD II,GA,286,1035
77,HALL,05-FLOWERY BRANCH I,GA,0,0
78,HALL,06-FLOWERY BRANCH II,GA,289,878
79,HALL,07-ROBERTS,GA,355,1515
80,HALL,08-MORGAN I,GA,227,1234
81,HALL,09-MORGAN II,GA,0,0
82,HALL,10-CANDLER,GA,513,1286
83,HALL,11-TADMORE,GA,0,0
84,HALL,12-GLADE,GA,226,836
85,HALL,13-LULA,GA,155,1120
86,HALL,14-CLERMONT,GA,0,0
87,HALL,15-QUILLIANS,GA,112,974
88,HALL,16-BARK CAMP,GA,299,1507
89,HALL,17-CHESTATEE,GA,0,0
90,HALL,18-FORK,GA,186,977
91,HALL,19-WHELCHEL,GA,0,0
92,HALL,20-WEST WHELCHEL,GA,271,1212
93,HALL,21-GAINESVILLE I,GA,0,0
94,HALL,22-GAINESVILLE II,GA,596,65
95,HALL,23-GAINESVILLE III,GA,0,0
96,HALL,24-GAINESVILLE IV,GA,0,0
97,HALL,25-GAINESVILLE V,GA,0,0
98,HALL,26-GILLSVILLE,GA,55,467
99,HALL,27-BIG HICKORY,GA,154,1349
100,HALL,28-FRIENDSHIP I,GA,494,2106
101,HALL,29-FRIENDSHIP II,GA,210,951
102,HALL,30-FRIENDSHIP III,GA,0,0
103,HALL,31-FRIENDSHIP IV,GA,274,883
104,HART,BIO,GA,93,293
105,HART,BOWERSVILLE,GA,79,388
106,HART,COKESBURY,GA,0,0
107,HART,GOLDMINE,GA,102,426
108,HART,HARTWELL,GA,333,649
109,HART,REED CREEK,GA,139,585
110,HART,SHOAL CREEK,GA,65,413
111,JACKSON,CENTRAL JACKSON,GA,540,2510
112,JACKSON,NORTH JACKSON,GA,0,0
113,JACKSON,SOUTH JACKSON,GA,0,0
114,JACKSON,WEST JACKSON,GA,625,2788
115,LUMPKIN,DAHLONEGA,GA,716,2910
116,MADISON,COLBERT,GA,262,663
117,MADISON,COLLINS,GA,0,0
118,MADISON,COMER,GA,0,0
119,MADISON,DANIELSVILLE,GA,83,394
120,MADISON,FORK,GA,53,167
121,MADISON,HARRISON,GA,0,0
122,MADISON,HULL,GA,0,0
123,MADISON,ILA,GA,64,370
124,MADISON,MILL,GA,53,386
125,MADISON,PAOLI,GA,0,0
126,MADISON,PITTMAN,GA,0,0
127,MADISON,POCA,GA,51,323
128,PICKENS,APPALACHIAN,GA,0,0
129,PICKENS,JASPER,GA,0,0
130,PICKENS,NELSON,GA,0,0
131,PICKENS,REFUGE,GA,62,501
132,PICKENS,SHARPTOP,GA,134,524
133,PICKENS,YELLOW CREEK,GA,0,0
134,RABUN,RABUN,GA,0,0
135,STEPHENS,SENIOR CENTER,GA,0,0
136,TOWNS,HIAWASSEE,GA,0,0
137,TOWNS,MACEDONIA,GA,90,487
138,TOWNS,TATE CITY,GA,0,0
139,TOWNS,YOUNG HARRIS,GA,165,594
140,UNION,BLAIRSVILLE,GA,0,0
141,UNION,CHOESTOE,GA,0,0
142,UNION,COOSA,GA,0,0
143,UNION,DOOLEY,GA,84,349
144,UNION,GUMLOG,GA,0,0
145,UNION,IVY LOG,GA,0,0
146,UNION,JONES CREEK,GA,0,0
147,UNION,OWLTOWN,GA,0,0
148,UNION,PAT COLWELL,GA,0,0
149,UNION,SUCHES,GA,37,227
150,UNION,TRACKROCK,GA,0,0
151,WHITE,BLUE CREEK,GA,0,0
152,WHITE,BLUE RIDGE,GA,0,0
153,WHITE,HELEN,GA,41,146
154,WHITE,MOSSY CREEK,GA,90,801
