,STATE,COUNTY,PRECINCT,DEM,REP
0,FL,Orange,119,0,0
1,FL,Orange,120,826,813
2,FL,Orange,121,674,569
3,FL,Orange,122,0,0
4,FL,Orange,123,116,67
5,FL,Orange,305,1128,1048
6,FL,Orange,306,1181,618
7,FL,Orange,307,935,478
8,FL,Orange,308,416,330
9,FL,Orange,309,1320,835
10,FL,Orange,310,641,393
11,FL,Orange,311,0,0
12,FL,Orange,312,490,635
13,FL,Orange,313,534,400
14,FL,Orange,314,1033,551
15,FL,Orange,315,0,0
16,FL,Orange,316,0,0
17,FL,Orange,317,570,280
18,FL,Orange,318,842,386
19,FL,Orange,319,596,445
20,FL,Orange,320,592,459
21,FL,Orange,321,295,167
22,FL,Orange,322,859,484
23,FL,Orange,323,0,0
24,FL,Orange,324,0,0
25,FL,Orange,339,0,0
26,FL,Orange,401,0,0
27,FL,Orange,402,978,538
28,FL,Orange,403,1276,904
29,FL,Orange,404,997,700
30,FL,Orange,406,0,0
31,FL,Orange,407,458,521
32,FL,Orange,408,641,1066
33,FL,Orange,409,1038,1147
34,FL,Orange,410,718,603
35,FL,Orange,411,678,797
36,FL,Orange,412,402,459
37,FL,Orange,413,620,683
38,FL,Orange,414,762,818
39,FL,Orange,415,0,0
40,FL,Orange,417,0,0
41,FL,Orange,418,1064,806
42,FL,Orange,419,686,433
43,FL,Orange,421,573,274
44,FL,Orange,422,833,467
45,FL,Orange,423,751,400
46,FL,Orange,424,1330,676
47,FL,Orange,425,897,499
48,FL,Orange,426,942,383
49,FL,Orange,427,997,347
50,FL,Orange,428,976,317
51,FL,Orange,429,1077,385
52,FL,Orange,430,751,989
53,FL,Orange,431,0,0
54,FL,Orange,432,599,804
55,FL,Orange,433,408,804
56,FL,Orange,526,579,325
57,FL,Orange,532,1114,1004
58,FL,Orange,533,813,697
59,FL,Orange,534,476,334
60,FL,Osceola,100,124,182
61,FL,Osceola,101,0,0
62,FL,Osceola,102,0,0
63,FL,Osceola,103,30,34
64,FL,Osceola,104,585,397
65,FL,Osceola,105,0,0
66,FL,Osceola,106,319,372
67,FL,Osceola,107,536,328
68,FL,Osceola,108,28,18
69,FL,Osceola,109,0,0
70,FL,Osceola,110,761,311
71,FL,Osceola,111,248,128
72,FL,Osceola,112,0,0
73,FL,Osceola,113,721,498
74,FL,Osceola,130,0,0
75,FL,Osceola,131,43,39
76,FL,Osceola,132,0,0
77,FL,Osceola,150,20,14
78,FL,Osceola,151,1058,1840
79,FL,Osceola,152,0,0
80,FL,Osceola,153,0,0
81,FL,Osceola,154,116,170
82,FL,Osceola,155,0,0
83,FL,Osceola,156,12,18
84,FL,Osceola,157,44,47
85,FL,Osceola,158,0,0
86,FL,Osceola,160,0,0
87,FL,Osceola,200,4282,1466
88,FL,Osceola,201,702,561
89,FL,Osceola,202,12,49
90,FL,Osceola,203,56,65
91,FL,Osceola,210,1228,416
92,FL,Osceola,211,1221,1020
93,FL,Osceola,250,91,50
94,FL,Osceola,251,606,462
95,FL,Osceola,300,645,449
96,FL,Osceola,301,816,657
97,FL,Osceola,302,0,0
98,FL,Osceola,303,826,274
99,FL,Osceola,304,0,0
100,FL,Osceola,305,1927,480
101,FL,Osceola,306,420,96
102,FL,Osceola,307,0,0
103,FL,Osceola,308,111,122
104,FL,Osceola,309,0,0
105,FL,Osceola,330,398,96
106,FL,Osceola,331,0,0
107,FL,Osceola,350,131,112
108,FL,Osceola,351,365,108
109,FL,Osceola,352,153,41
110,FL,Osceola,360,285,172
111,FL,Osceola,390,0,0
112,FL,Osceola,400,110,345
113,FL,Osceola,401,488,1114
114,FL,Osceola,402,133,241
115,FL,Osceola,403,581,522
116,FL,Osceola,404,0,0
117,FL,Osceola,405,316,224
118,FL,Osceola,406,240,141
119,FL,Osceola,410,0,0
120,FL,Osceola,411,950,332
121,FL,Osceola,412,393,112
122,FL,Osceola,420,1699,1949
123,FL,Osceola,470,172,90
124,FL,Osceola,471,193,172
125,FL,Osceola,500,98,231
126,FL,Osceola,501,0,0
127,FL,Osceola,502,608,1271
128,FL,Osceola,503,975,848
129,FL,Osceola,504,783,1768
130,FL,Osceola,505,0,0
131,FL,Osceola,506,0,0
132,FL,Osceola,507,76,117
133,FL,Osceola,520,979,1511
134,FL,Osceola,521,0,0
135,FL,Osceola,522,773,765
136,FL,Osceola,550,0,0
137,FL,Osceola,551,0,0
138,FL,Osceola,552,0,0
139,FL,Osceola,570,7,4
140,FL,Osceola,571,0,0
141,FL,Osceola,999,5,1
