,COUNTY,PRECINCT,STATE,DEM,REP
0,ARKANSAS,ALMYRA,AR,0,0
1,ARKANSAS,ARKANSAS,AR,4,11
2,ARKANSAS,BARTON,AR,1,23
3,ARKANSAS,BAYOU METO,AR,0,13
4,ARKANSAS,BREWER,AR,2,1
5,ARKANSAS,CHESTER,AR,5,39
6,ARKANSAS,CROCKETT,AR,0,0
7,ARKANSAS,DEWITT WARD 1,AR,42,24
8,ARKANSAS,DEWITT WARD 2,AR,22,54
9,ARKANSAS,DEWITT WARD 3,AR,24,88
10,ARKANSAS,GARLAND,AR,2,18
11,ARKANSAS,GILLETT WARD 1,AR,17,37
12,ARKANSAS,GILLETT WARD 2,AR,12,52
13,ARKANSAS,GILLETT WARD 3,AR,16,22
14,ARKANSAS,GUM POND,AR,0,0
15,ARKANSAS,HENTON,AR,7,42
16,ARKANSAS,HUMPHREY WARD 1,AR,31,17
17,ARKANSAS,HUMPHREY WARD 3,AR,0,0
18,ARKANSAS,KEATON,AR,14,54
19,ARKANSAS,LAGRUE,AR,0,0
20,ARKANSAS,MCFALL,AR,6,4
21,ARKANSAS,MILL BAYOU,AR,8,48
22,ARKANSAS,MORRIS,AR,0,0
23,ARKANSAS,PRAIRIE,AR,13,50
24,ARKANSAS,PT DELUCE,AR,2,24
25,ARKANSAS,ST. CHARLES,AR,0,0
26,ARKANSAS,STANLEY,AR,2,3
27,ARKANSAS,STUTTGART WARD 1,AR,110,48
28,ARKANSAS,STUTTGART WARD 2,AR,0,0
29,ARKANSAS,STUTTGART WARD 3,AR,60,199
30,ASHLEY,BEECH CREEK,AR,0,0
31,ASHLEY,BOYDELL,AR,0,0
32,ASHLEY,COOTER,AR,0,0
33,ASHLEY,CROSSROADS,AR,0,0
34,ASHLEY,CW1,AR,8,5
35,ASHLEY,CW2,AR,5,6
36,ASHLEY,CW3,AR,2,7
37,ASHLEY,FH CITY,AR,0,0
38,ASHLEY,FH RURAL,AR,0,1
39,ASHLEY,HAMBURG RURAL,AR,2,7
40,ASHLEY,HICKORY GROVE,AR,1,2
41,ASHLEY,HW1,AR,0,0
42,ASHLEY,HW2,AR,4,3
43,ASHLEY,HW3,AR,3,3
44,ASHLEY,MILO,AR,2,5
45,ASHLEY,MIST,AR,0,0
