,STATE,COUNTY,PRECINCT,DEM,REP
0,NC,DAVIDSON,54,90,777
1,NC,DAVIDSON,PROVISIONAL,0,0
2,NC,DAVIDSON,34,395,357
3,NC,DAVIDSON,14,138,809
4,NC,DAVIDSON,38,318,70
5,NC,DAVIDSON,58,0,0
6,NC,DAVIDSON,32,278,195
7,NC,DAVIDSON,16,256,1276
8,NC,DAVIDSON,20,223,1134
9,NC,DAVIDSON,70,245,950
10,NC,DAVIDSON,76,260,1337
11,NC,DAVIDSON,46,279,1067
12,NC,DAVIDSON,28,328,893
13,NC,DAVIDSON,04,739,2346
14,NC,DAVIDSON,62,380,174
15,NC,DAVIDSON,CURBSIDE,0,0
16,NC,DAVIDSON,74,316,1468
17,NC,DAVIDSON,44,546,1574
18,NC,DAVIDSON,TRANSFER,0,0
19,NC,DAVIDSON,08,153,384
20,NC,DAVIDSON,64,455,124
21,NC,DAVIDSON,42,114,1008
22,NC,DAVIDSON,22,0,0
23,NC,DAVIDSON,48,241,962
24,NC,DAVIDSON,68,381,498
25,NC,DAVIDSON,88,346,1015
26,NC,DAVIDSON,82,261,1103
27,NC,DAVIDSON,60,690,1210
28,NC,DAVIDSON,26,155,421
29,NC,DAVIDSON,06,204,1096
30,NC,DAVIDSON,10,303,903
31,NC,DAVIDSON,24,166,502
32,NC,DAVIDSON,66,292,389
33,NC,DAVIDSON,40,484,508
34,NC,DAVIDSON,56,0,0
35,NC,DAVIDSON,50,250,1419
36,NC,DAVIDSON,18,176,841
37,NC,DAVIDSON,30,0,0
38,NC,DAVIDSON,84,685,2026
39,NC,DAVIDSON,12,84,325
40,NC,DAVIDSON,36,0,0
41,NC,DAVIDSON,52,418,1795
42,NC,DAVIDSON,72,0,0
43,NC,DAVIDSON,78,0,0
44,NC,DAVIDSON,80A,531,2245
45,NC,DAVIDSON,ABSENTEE,583,695
46,NC,DAVIDSON,86A,605,954
47,NC,DAVIE,11,0,0
48,NC,DAVIE,05,289,1108
49,NC,DAVIE,02,112,415
50,NC,DAVIE,08,0,0
51,NC,DAVIE,CURBSIDE,45,108
52,NC,DAVIE,PROVISIONAL,0,0
53,NC,DAVIE,13,579,1339
54,NC,DAVIE,10,386,1111
55,NC,DAVIE,09,351,796
56,NC,DAVIE,06,215,667
57,NC,DAVIE,03,233,1114
58,NC,DAVIE,ABSENTEE,0,0
59,NC,DAVIE,12,498,1593
60,NC,DAVIE,01,124,466
61,NC,DAVIE,04,191,572
62,NC,DAVIE,07,215,673
63,NC,DAVIE,14,306,921
64,NC,IREDELL,ST1,875,1226
65,NC,IREDELL,ST4,785,869
66,NC,IREDELL,DV1-B,1735,3893
67,NC,IREDELL,CH-A,533,849
68,NC,IREDELL,BA,678,1641
69,NC,IREDELL,NH,117,548
70,NC,IREDELL,SB,192,830
71,NC,IREDELL,CC1,1273,1785
72,NC,IREDELL,ST6,0,0
73,NC,IREDELL,DV2-B,1077,1684
74,NC,IREDELL,CS,448,972
75,NC,IREDELL,ST2,761,787
76,NC,IREDELL,UG,0,0
77,NC,IREDELL,ST5,0,0
78,NC,IREDELL,DV1-A,0,0
79,NC,IREDELL,BE,861,2035
80,NC,IREDELL,CC3,1668,2560
81,NC,IREDELL,SH-B,356,1284
82,NC,IREDELL,CH-B,0,0
83,NC,IREDELL,EM,112,529
84,NC,IREDELL,OL,0,0
85,NC,IREDELL,DV2-A,687,1709
86,NC,IREDELL,FT,0,0
87,NC,IREDELL,TB,370,793
88,NC,IREDELL,CC4,1241,1969
89,NC,IREDELL,CD,599,1832
90,NC,IREDELL,CC2,1332,1582
91,NC,IREDELL,SH-A,379,1266
92,NC,IREDELL,ST3,861,650
93,NC,GUILFORD,G42B,230,151
94,NC,GUILFORD,G30,0,0
95,NC,GUILFORD,G17,0,0
96,NC,GUILFORD,G11,0,0
97,NC,GUILFORD,CURBSIDE 2,0,0
98,NC,GUILFORD,H01,0,0
99,NC,GUILFORD,H02,394,426
100,NC,GUILFORD,G60,0,0
101,NC,GUILFORD,G66,0,0
102,NC,GUILFORD,G63,717,330
103,NC,GUILFORD,H19A,550,71
104,NC,GUILFORD,H29B,947,477
105,NC,GUILFORD,PG1,0,0
106,NC,GUILFORD,SDRI,1339,1830
107,NC,GUILFORD,H10,970,105
108,NC,GUILFORD,H13,504,554
109,NC,GUILFORD,H06,1008,537
110,NC,GUILFORD,SUM2,820,386
111,NC,GUILFORD,G13,0,0
112,NC,GUILFORD,G40A1,605,492
113,NC,GUILFORD,G54,1033,86
114,NC,GUILFORD,G57,802,165
