,COUNTY,PRECINCT,STATE,DEM,REP
0,CONWAY,AUSTIN,AR,10,44
1,CONWAY,BENTLEY CITY,AR,32,108
2,CONWAY,BENTLEY RURAL,AR,22,86
3,CONWAY,BIRD,AR,42,118
4,CONWAY,CATHOLIC POINT,AR,0,0
5,CONWAY,CEDAR FALLS,AR,50,58
6,CONWAY,GREGORY,AR,32,66
7,CONWAY,GRIFFIN,AR,0,0
8,CONWAY,HIGGINS,AR,3,15
9,CONWAY,HOWARD CITY,AR,71,87
10,CONWAY,HOWARD RURAL,AR,42,58
11,CONWAY,LICK MTN.,AR,0,0
12,CONWAY,MARTIN,AR,0,0
13,CONWAY,MCCLAREN,AR,10,42
14,CONWAY,MENIFEE CITY,AR,75,4
15,CONWAY,MENIFEE RURAL,AR,13,19
16,CONWAY,NICHOLS,AR,35,101
17,CONWAY,OLD HICKORY,AR,0,0
18,CONWAY,PETIT JEAN,AR,12,27
19,CONWAY,ST. VINCENT,AR,52,111
20,CONWAY,STEELE,AR,0,0
21,CONWAY,UNION,AR,0,0
22,CONWAY,WARD 1,AR,77,112
23,CONWAY,WARD 2,AR,56,70
24,CONWAY,WARD 3,AR,81,106
25,CONWAY,WARD 4,AR,68,123
26,CONWAY,WASHINGTON EAST,AR,0,0
27,CONWAY,WASHINGTON WEST,AR,44,67
28,CONWAY,WELBOURNE EAST,AR,0,0
29,CONWAY,WELBOURNE WEST,AR,37,97
30,CONWAY,WHITE EAGLE,AR,4,9
31,FAULKNER,01.01 4A,AR,121,108
32,FAULKNER,02 4B,AR,73,52
33,FAULKNER,03.01 4E,AR,144,181
34,FAULKNER,04.01 4D,AR,0,0
35,FAULKNER,05 4F,AR,0,0
36,FAULKNER,06.01 2B,AR,0,0
37,FAULKNER,07 2A,AR,360,173
38,FAULKNER,08 3B,AR,22,49
39,FAULKNER,09 3C-E,AR,96,114
40,FAULKNER,10 3A,AR,121,163
41,FAULKNER,11 4C,AR,142,143
42,FAULKNER,12  E CADRON A,AR,117,356
43,FAULKNER,13 E CADRON B,AR,0,0
44,FAULKNER,14 W CADRON,AR,16,31
45,FAULKNER,15 BENEDICT,AR,28,57
46,FAULKNER,16 BENTON,AR,30,157
47,FAULKNER,17 BRISTOL,AR,24,36
48,FAULKNER,18 CA,AR,71,261
49,FAULKNER,19 CLIFTON,AR,111,326
50,FAULKNER,21 VILONIA,AR,0,0
51,FAULKNER,22 CYPRESS,AR,53,212
52,FAULKNER,23 DANLEY,AR,71,126
53,FAULKNER,24 MAYFLOWER,AR,60,106
54,FAULKNER,25 EAGLE,AR,52,211
55,FAULKNER,26 EAST FORK,AR,0,0
56,FAULKNER,27 ENOLA,AR,0,0
57,FAULKNER,28 HARDIN,AR,38,179
58,FAULKNER,29.01 HARDIN GB EAST,AR,57,195
59,FAULKNER,30 HARVE,AR,0,0
60,FAULKNER,31 MATTHEWS,AR,19,105
61,FAULKNER,32 MOUNTAIN,AR,11,62
62,FAULKNER,33 MT. VERNON,AR,41,107
63,FAULKNER,34 NEWTON,AR,44,125
64,FAULKNER,35 WILSON,AR,33,140
65,FAULKNER,36 PINE MT.,AR,195,232
66,FAULKNER,37 UNION,AR,0,0
67,FAULKNER,38 WALKER,AR,0,0
