,COUNTY,PRECINCT,STATE,DEM,REP
0,CATOOSA,BLACKSTOCK,GA,65,402
1,CATOOSA,BOYNTON,GA,0,0
2,CATOOSA,CATOOSA KEITH,GA,87,602
3,CATOOSA,CHAMBERS,GA,108,556
4,CATOOSA,FORT OGLETHORPE,GA,205,523
5,CATOOSA,GRAYSVILLE,GA,235,851
6,CATOOSA,LAKEVIEW,GA,133,481
7,CATOOSA,POPLAR SPRINGS,GA,138,739
8,CATOOSA,RINGGOLD,GA,0,0
9,CATOOSA,WESTSIDE,GA,200,660
10,CATOOSA,WOODSTATION,GA,132,703
11,CHATTOOGA,ALPINE,GA,53,290
12,CHATTOOGA,CLOUDLAND,GA,38,102
13,CHATTOOGA,COLDWATER,GA,0,0
14,CHATTOOGA,DIRTSELLER,GA,16,53
15,CHATTOOGA,DIRTTOWN,GA,55,278
16,CHATTOOGA,HAYWOOD,GA,10,65
17,CHATTOOGA,LYERLY,GA,45,252
18,CHATTOOGA,PENNVILLE,GA,0,0
19,CHATTOOGA,SEMINOLE,GA,3,54
20,CHATTOOGA,SUBLIGNA,GA,16,193
21,CHATTOOGA,SUMMERVILLE,GA,287,659
22,CHATTOOGA,TELOGA,GA,0,0
23,CHATTOOGA,TRION,GA,130,660
24,DADE,DAVIS,GA,53,423
25,DADE,NEW HOME,GA,0,0
26,DADE,NEW SALEM,GA,0,0
27,DADE,NORTH DADE,GA,0,0
28,DADE,SOUTH DADE,GA,38,198
29,DADE,TRENTON,GA,0,0
30,DADE,WEST BROW,GA,64,349
31,FLOYD,ALTO PARK,GA,163,524
32,FLOYD,ARMUCHEE,GA,60,383
33,FLOYD,BARKERS,GA,96,559
34,FLOYD,CAVE SPRING,GA,126,503
35,FLOYD,CHULIO,GA,58,330
36,FLOYD,EAST LINDALE,GA,187,713
37,FLOYD,EAST ROME,GA,367,449
38,FLOYD,ETOWAH,GA,216,973
39,FLOYD,EVERETT SPRINGS,GA,0,0
40,FLOYD,FLOYD SPRINGS,GA,49,584
41,FLOYD,'FOSTER''S MILL',GA,0,0
42,FLOYD,GARDEN LAKES,GA,0,0
43,FLOYD,GLENWOOD,GA,174,758
44,FLOYD,HOWELL,GA,52,513
45,FLOYD,MT ALTO NORTH,GA,368,442
46,FLOYD,MT ALTO SOUTH,GA,0,0
47,FLOYD,NORTH CAROLINA,GA,53,370
48,FLOYD,NORTH ROME,GA,274,274
49,FLOYD,RIVERSIDE,GA,61,179
50,FLOYD,SOUTH ROME,GA,273,60
51,FLOYD,TEXAS VALLEY,GA,0,0
52,FLOYD,TOWN ROME,GA,255,325
53,FLOYD,VANNS VALLEY,GA,47,177
54,FLOYD,WATTERS,GA,0,0
55,FLOYD,WEST LINDALE,GA,162,637
56,GORDON,CALHOUN CITY,GA,511,1062
57,GORDON,FAIRMOUNT,GA,0,0
58,GORDON,GORDON COUNTY,GA,249,974
59,GORDON,LILY POND,GA,0,0
60,GORDON,OAKMAN,GA,0,0
61,GORDON,OOSTANAULA,GA,0,0
62,GORDON,PINE CHAPEL,GA,21,284
63,GORDON,PLAINVILLE,GA,82,473
64,GORDON,RED BUD,GA,115,721
65,GORDON,RESACA,GA,56,412
66,GORDON,SONORAVILLE,GA,201,1367
67,GORDON,SUGAR VALLEY,GA,49,435
68,HARALSON,BEREA-STEADMAN,GA,16,237
69,HARALSON,BREMEN,GA,0,0
70,HARALSON,BUCHANAN,GA,57,494
71,HARALSON,BUNCOMBE,GA,0,0
72,HARALSON,CORINTH,GA,52,471
73,HARALSON,FELTON,GA,10,107
74,HARALSON,LITTLE CREEK,GA,22,275
75,HARALSON,MT VIEW,GA,5,113
76,HARALSON,SEVENTH,GA,57,465
77,HARALSON,TALLAPOOSA,GA,118,709
78,HARALSON,TWENTIETH,GA,21,215
79,HARALSON,WACO,GA,40,348
80,MURRAY,CARTERS-DOOLITTLE,GA,68,483
81,MURRAY,MCDONALD,GA,84,508
82,MURRAY,NORTH,GA,87,623
83,MURRAY,SHUCK PEN,GA,155,683
84,MURRAY,SOUTHWEST,GA,104,718
85,MURRAY,SPRING PLACE,GA,146,728
86,MURRAY,TOWN,GA,0,0
87,PAULDING,AUSTIN MIDDLE SCHOOL,GA,609,1174
88,PAULDING,BURNT HICKORY PARK,GA,230,1356
89,PAULDING,CARL SCOGGINS MID SC,GA,0,0
90,PAULDING,HIRAM HIGH SCHOOL,GA,0,0
91,PAULDING,MOSES MIDDLE SCHOOL,GA,576,1388
92,PAULDING,NEBO ELEMENTARY SCH,GA,557,1773
93,PAULDING,PAULDING CO HIGH SC,GA,435,753
94,PAULDING,SARA RAGSDALE ELM SC,GA,239,956
95,PAULDING,SHELTON ELEM SCHOOL,GA,1048,2829
96,PAULDING,TAYLOR FARM PARK,GA,990,1097
97,PAULDING,WATSON GOVT COMPLEX,GA,0,0
98,PAULDING,WEST RIDGE CHURCH,GA,973,2269
99,PICKENS,HILL,GA,62,387
100,PICKENS,HINTON,GA,35,261
101,PICKENS,JERUSALEM,GA,44,382
102,PICKENS,LUDVILLE,GA,0,0
103,PICKENS,TALKING ROCK,GA,38,421
104,POLK,ARAGON,GA,109,559
105,POLK,BLOOMING GROVE,GA,56,326
106,POLK,CEDARTOWN,GA,286,611
107,POLK,FISH CREEK,GA,107,511
108,POLK,LAKE CREEK,GA,94,528
109,POLK,ROCKMART,GA,237,685
110,POLK,YOUNGS GROVE,GA,47,404
111,WALKER,ARMUCHEE VALLEY,GA,79,519
112,WALKER,CHATTANOOGA VALLEY,GA,323,1223
113,WALKER,CHICKAMAUGA,GA,205,1083
114,WALKER,FAIRVIEW,GA,150,491
115,WALKER,FAIRYLAND,GA,0,0
116,WALKER,KENSINGTON,GA,72,432
117,WALKER,LAFAYETTE,GA,0,0
118,WALKER,MOUNTAIN,GA,0,0
119,WALKER,ROCK SPRING,GA,180,1039
120,WALKER,ROSSVILLE,GA,271,716
121,WALKER,WALNUT GROVE,GA,0,0
122,WHITFIELD,1A,GA,272,219
123,WHITFIELD,2A,GA,241,604
124,WHITFIELD,3A,GA,0,0
125,WHITFIELD,4A,GA,237,507
126,WHITFIELD,5A,GA,346,127
127,WHITFIELD,6A,GA,263,81
128,WHITFIELD,AN,GA,0,0
129,WHITFIELD,CA,GA,92,505
130,WHITFIELD,CO,GA,88,460
131,WHITFIELD,DG,GA,0,0
132,WHITFIELD,ES,GA,173,301
133,WHITFIELD,FI,GA,159,508
134,WHITFIELD,GL,GA,0,0
135,WHITFIELD,LT,GA,44,373
136,WHITFIELD,MC,GA,73,549
137,WHITFIELD,NI,GA,122,722
138,WHITFIELD,PG,GA,320,990
139,WHITFIELD,TH,GA,196,939
140,WHITFIELD,TI,GA,0,0
141,WHITFIELD,TR,GA,0,0
142,WHITFIELD,UT,GA,43,369
143,WHITFIELD,VA,GA,291,1475
144,WHITFIELD,WS,GA,0,0
