,STATE,COUNTY,PRECINCT,DEM,REP
0,MN,1,5,416,324
1,MN,1,10,183,238
2,MN,1,15,89,48
3,MN,1,20,10,9
4,MN,1,25,30,5
5,MN,1,30,45,19
6,MN,1,35,10,7
7,MN,1,38,0,0
8,MN,1,40,292,289
9,MN,1,45,88,75
10,MN,1,50,147,117
11,MN,1,55,51,31
12,MN,1,60,0,0
13,MN,1,65,106,71
14,MN,1,70,0,0
15,MN,1,75,0,0
16,MN,1,80,58,72
17,MN,1,82,0,0
18,MN,1,85,59,42
19,MN,1,90,120,104
20,MN,1,95,0,0
21,MN,1,100,6,11
22,MN,1,105,8,3
23,MN,1,110,50,36
24,MN,1,115,0,0
25,MN,1,120,63,22
26,MN,1,125,11,13
27,MN,1,130,48,27
28,MN,1,132,15,10
29,MN,1,135,0,0
30,MN,1,140,29,40
31,MN,1,145,290,260
32,MN,1,150,34,27
33,MN,1,155,9,21
34,MN,1,160,28,31
35,MN,1,165,29,17
36,MN,1,170,9,21
37,MN,1,175,0,0
38,MN,1,180,0,0
39,MN,1,185,129,128
40,MN,1,190,0,0
41,MN,1,195,0,0
42,MN,1,200,11,15
43,MN,1,205,78,78
44,MN,1,210,76,76
45,MN,1,215,102,66
46,MN,1,220,0,0
47,MN,1,225,0,0
48,MN,1,230,45,37
49,MN,1,240,0,0
50,MN,1,255,8,4
51,MN,1,260,41,20
52,MN,1,285,15,10
53,MN,1,290,18,14
54,MN,2,5,506,794
55,MN,2,10,496,736
56,MN,2,15,0,0
57,MN,2,20,0,0
58,MN,2,25,540,840
59,MN,2,30,0,0
60,MN,2,35,339,529
61,MN,2,40,436,642
62,MN,2,45,419,695
63,MN,2,50,550,700
64,MN,2,105,0,0
65,MN,2,110,0,0
66,MN,2,115,330,355
67,MN,2,120,424,308
68,MN,2,125,326,273
69,MN,2,130,359,234
70,MN,2,135,327,322
71,MN,2,140,342,360
72,MN,2,205,47,77
73,MN,2,305,471,310
74,MN,2,310,479,368
75,MN,2,315,0,0
76,MN,2,320,291,217
77,MN,2,325,474,520
78,MN,2,330,270,340
79,MN,2,335,0,0
80,MN,2,340,378,339
81,MN,2,405,429,307
82,MN,2,410,329,295
83,MN,2,415,421,336
84,MN,2,420,439,292
85,MN,2,425,404,422
86,MN,2,430,381,481
87,MN,2,435,280,431
88,MN,2,440,491,842
89,MN,2,505,0,0
90,MN,2,510,0,0
91,MN,2,515,0,0
92,MN,2,520,506,511
93,MN,2,525,398,385
94,MN,2,530,618,700
95,MN,2,535,627,648
96,MN,2,540,0,0
97,MN,2,605,642,793
98,MN,2,705,363,306
99,MN,2,710,0,0
100,MN,2,805,654,250
101,MN,2,810,526,210
102,MN,2,815,545,202
103,MN,2,820,0,0
104,MN,2,825,545,284
105,MN,2,830,470,300
106,MN,2,835,520,243
107,MN,2,840,465,208
108,MN,2,905,743,977
109,MN,2,1005,726,798
110,MN,2,1010,576,764
111,MN,2,1015,489,555
112,MN,2,1020,306,310
113,MN,2,1105,539,544
114,MN,2,1110,334,371
115,MN,2,1115,0,0
116,MN,2,1120,380,326
117,MN,2,1125,422,321
118,MN,2,1205,464,414
119,MN,2,1210,469,402
120,MN,2,1215,483,386
121,MN,2,1220,449,313
122,MN,2,1305,493,444
123,MN,2,1310,480,454
124,MN,2,1315,0,0
125,MN,2,1320,722,604
126,MN,2,1405,0,0
127,MN,2,1410,0,0
128,MN,2,1415,322,259
129,MN,2,1420,213,181
130,MN,2,1425,518,392
131,MN,2,1505,506,712
132,MN,2,1510,571,738
133,MN,2,1515,0,0
134,MN,2,1605,480,297
135,MN,2,1610,459,332
136,MN,2,1615,0,0
137,MN,2,1620,0,0
138,MN,2,1705,339,210
139,MN,2,1710,329,171
140,MN,2,1715,545,388
141,MN,2,1720,551,346
142,MN,2,1805,0,0
143,MN,2,1810,587,410
144,MN,2,1815,0,0
145,MN,2,1820,353,177
146,MN,2,1905,0,0
147,MN,2,1910,0,0
148,MN,2,1915,407,659
149,MN,2,1920,0,0
150,MN,2,1925,0,0
151,MN,2,1930,356,614
152,MN,2,2005,111,31
153,MN,2,2105,321,244
154,MN,2,2205,0,0
155,MN,2,2210,0,0
156,MN,2,2215,465,467
157,MN,2,2220,597,862
158,MN,2,2225,358,448
159,MN,2,2230,416,715
160,MN,2,2235,581,793
161,MN,2,2305,818,1120
162,MN,2,2405,383,710
163,MN,2,2410,227,426
164,MN,2,2505,369,546
165,MN,2,2510,302,564
166,MN,2,2515,307,552
167,MN,2,2520,207,323
168,MN,2,2605,681,918
169,MN,2,2610,216,290
170,MN,2,2705,333,606
171,MN,2,2710,581,813
172,MN,2,2805,525,645
173,MN,2,2810,237,298
174,MN,2,2905,426,489
175,MN,2,2910,429,564
176,MN,2,3005,462,651
177,MN,2,3010,0,0
178,MN,2,3105,281,260
179,MN,2,3110,386,264
180,MN,2,3115,587,395
181,MN,3,5,12,18
182,MN,3,10,65,86
183,MN,3,15,0,0
184,MN,3,20,237,283
185,MN,3,25,31,18
186,MN,3,30,43,29
187,MN,3,35,51,51
188,MN,3,40,190,254
189,MN,3,45,50,40
190,MN,3,50,0,0
191,MN,3,51,144,188
192,MN,3,55,369,341
193,MN,3,65,560,441
194,MN,3,75,559,633
195,MN,3,82,38,14
196,MN,3,85,300,365
197,MN,3,90,34,52
198,MN,3,95,39,37
199,MN,3,100,153,154
200,MN,3,105,57,67
201,MN,3,110,34,36
202,MN,3,115,108,147
203,MN,3,120,105,155
204,MN,3,125,303,295
205,MN,3,130,131,87
206,MN,3,135,0,0
207,MN,3,140,325,402
208,MN,3,145,77,48
209,MN,3,150,22,16
210,MN,3,155,126,177
211,MN,3,160,37,20
212,MN,3,165,11,26
213,MN,3,170,115,128
214,MN,3,175,37,30
215,MN,3,180,50,124
216,MN,3,185,30,43
217,MN,3,190,75,54
218,MN,3,195,75,78
219,MN,3,200,14,18
220,MN,3,205,56,92
221,MN,3,210,97,58
222,MN,3,215,78,144
223,MN,3,220,46,81
224,MN,3,225,20,12
225,MN,3,230,56,40
226,MN,3,235,5,24
227,MN,3,240,23,85
228,MN,4,5,56,32
229,MN,4,10,5,5
230,MN,4,15,517,490
231,MN,4,20,427,206
232,MN,4,25,404,280
233,MN,4,30,448,308
234,MN,4,35,502,351
235,MN,4,40,673,435
236,MN,4,45,0,0
237,MN,4,50,23,32
238,MN,4,55,85,90
239,MN,4,60,66,46
240,MN,4,65,0,0
241,MN,4,70,32,34
242,MN,4,75,240,224
243,MN,4,80,325,323
244,MN,4,85,2,1
245,MN,4,90,401,388
246,MN,4,95,62,76
247,MN,4,100,3,1
248,MN,4,105,100,150
249,MN,4,110,31,38
250,MN,4,115,0,0
251,MN,4,120,46,38
252,MN,4,125,24,23
253,MN,4,130,85,117
254,MN,4,135,19,50
255,MN,4,140,6,8
256,MN,4,145,138,148
257,MN,4,150,26,14
258,MN,4,155,11,4
259,MN,4,160,42,51
260,MN,4,165,0,0
261,MN,4,170,0,0
262,MN,4,172,4,20
263,MN,4,175,0,0
264,MN,4,180,0,0
265,MN,4,185,0,0
266,MN,4,190,11,7
267,MN,4,195,349,12
268,MN,4,200,278,6
269,MN,4,202,218,0
270,MN,4,205,53,41
271,MN,4,210,0,0
272,MN,4,215,12,7
273,MN,4,220,13,21
274,MN,4,225,12,13
275,MN,4,230,7,10
276,MN,4,235,44,44
277,MN,4,240,28,100
278,MN,4,245,0,0
279,MN,4,250,231,98
280,MN,4,255,0,0
281,MN,4,260,311,346
282,MN,4,265,25,21
283,MN,4,270,312,281
284,MN,4,275,0,0
285,MN,4,280,10,2
286,MN,4,285,44,22
287,MN,4,290,25,25
288,MN,4,295,0,0
289,MN,4,300,0,0
290,MN,5,5,0,0
291,MN,5,10,375,415
292,MN,5,15,45,33
293,MN,5,20,121,206
294,MN,5,25,109,218
295,MN,5,30,0,0
296,MN,5,35,102,167
297,MN,5,40,147,261
298,MN,5,45,0,0
299,MN,5,50,183,177
300,MN,5,55,289,415
301,MN,5,56,0,0
302,MN,5,60,220,249
303,MN,5,70,263,298
304,MN,5,80,0,0
305,MN,5,85,0,0
306,MN,5,90,178,302
307,MN,5,95,325,306
308,MN,5,100,358,360
309,MN,5,105,0,0
310,MN,5,110,501,551
311,MN,5,111,333,313
312,MN,5,112,360,421
313,MN,5,115,107,121
314,MN,5,120,0,0
315,MN,6,5,48,20
316,MN,6,10,0,0
317,MN,6,15,28,9
318,MN,6,20,7,3
319,MN,6,25,64,75
320,MN,6,30,50,20
321,MN,6,31,0,0
322,MN,6,35,98,41
323,MN,6,40,6,1
324,MN,6,45,0,0
325,MN,6,50,162,86
326,MN,6,55,26,15
327,MN,6,56,5,4
328,MN,6,60,0,0
329,MN,6,65,20,23
330,MN,6,70,23,20
331,MN,6,75,26,31
332,MN,6,80,0,0
333,MN,6,85,0,0
334,MN,6,86,17,23
335,MN,6,90,0,0
336,MN,6,95,56,22
337,MN,6,100,8,11
338,MN,7,5,67,73
339,MN,7,10,63,79
340,MN,7,15,62,63
341,MN,7,20,0,0
342,MN,7,25,0,0
343,MN,7,30,59,43
344,MN,7,35,0,0
345,MN,7,40,383,379
346,MN,7,45,0,0
347,MN,7,50,132,86
348,MN,7,55,128,131
349,MN,7,60,119,111
350,MN,7,65,496,317
351,MN,7,70,125,117
352,MN,7,75,150,213
353,MN,7,80,0,0
354,MN,7,85,0,0
355,MN,7,90,94,73
356,MN,7,95,0,0
357,MN,7,100,222,117
358,MN,7,105,0,0
359,MN,7,106,337,199
360,MN,7,110,215,91
361,MN,7,115,169,88
362,MN,7,120,268,197
363,MN,7,125,229,144
364,MN,7,130,377,362
365,MN,7,135,398,229
366,MN,7,140,503,175
367,MN,7,142,422,280
368,MN,7,145,441,259
369,MN,7,150,299,205
370,MN,7,155,269,163
371,MN,7,160,0,0
372,MN,7,165,1104,573
373,MN,7,170,379,337
374,MN,7,175,73,63
375,MN,7,195,40,59
376,MN,7,197,360,377
377,MN,7,200,307,255
378,MN,7,205,0,0
379,MN,7,210,39,66
380,MN,7,212,0,3
381,MN,7,213,0,1
382,MN,7,215,35,32
383,MN,7,220,0,0
384,MN,7,225,228,247
385,MN,7,230,161,115
386,MN,7,235,50,62
387,MN,7,240,85,61
388,MN,7,245,0,0
389,MN,7,250,55,64
390,MN,7,255,63,52
391,MN,7,260,55,51
392,MN,8,5,0,0
393,MN,8,10,33,58
394,MN,8,15,34,56
395,MN,8,20,5,0
396,MN,8,25,71,42
397,MN,8,30,147,180
398,MN,8,35,28,75
399,MN,8,40,14,15
400,MN,8,45,86,36
401,MN,8,50,61,159
402,MN,8,55,0,0
403,MN,8,60,32,64
404,MN,8,65,54,54
405,MN,8,70,0,0
406,MN,8,75,33,42
407,MN,8,80,0,0
408,MN,8,85,372,279
409,MN,8,90,300,271
410,MN,8,95,241,188
411,MN,8,100,408,415
412,MN,8,105,0,0
413,MN,8,110,369,373
414,MN,8,115,293,338
415,MN,8,120,26,64
416,MN,8,125,31,87
417,MN,8,130,0,0
