,STATE,COUNTY,PRECINCT,DEM,REP
0,NC,CLEVELAND,KINGST,337,191
1,NC,CLEVELAND,MRB-YO,169,617
2,NC,CLEVELAND,BETHWR,0,0
3,NC,CLEVELAND,S 5,0,0
4,NC,CLEVELAND,BR,673,1806
5,NC,CLEVELAND,LAWNDL,438,464
6,NC,CLEVELAND,GROVER,390,1108
7,NC,CLEVELAND,LATT,273,1127
8,NC,CLEVELAND,OAKGRV,0,0
9,NC,CLEVELAND,MULLS,182,759
10,NC,CLEVELAND,KM N,850,1497
11,NC,CLEVELAND,SHANGI,0,0
12,NC,CLEVELAND,S C,0,0
13,NC,CLEVELAND,KM S,767,1339
14,NC,CLEVELAND,CASAR,85,638
15,NC,CLEVELAND,S 4A,1174,1229
16,NC,CLEVELAND,S S,1357,1500
17,NC,CLEVELAND,RIPPY,552,1173
18,NC,CLEVELAND,POLKVL,231,989
19,NC,CLEVELAND,FALSTN,131,659
20,NC,CLEVELAND,WACO,0,0
21,NC,CATAWBA,11,287,283
22,NC,CATAWBA,14,450,539
23,NC,CATAWBA,19,0,0
24,NC,CATAWBA,32,566,819
25,NC,CATAWBA,35,386,573
26,NC,CATAWBA,34,737,1874
27,NC,CATAWBA,01,285,1452
28,NC,CATAWBA,20,0,0
29,NC,CATAWBA,16,520,644
30,NC,CATAWBA,21,0,0
31,NC,CATAWBA,37,537,700
32,NC,CATAWBA,13,362,266
33,NC,CATAWBA,33,841,2229
34,NC,CATAWBA,30,718,1126
35,NC,CATAWBA,31,0,0
36,NC,CATAWBA,08,433,1023
37,NC,CATAWBA,05,439,1064
38,NC,CATAWBA,29,0,0
39,NC,CATAWBA,02,253,906
40,NC,CATAWBA,22,446,1182
41,NC,CATAWBA,04,0,0
42,NC,CATAWBA,07,551,843
43,NC,CATAWBA,25,310,508
44,NC,CATAWBA,28,0,0
45,NC,CATAWBA,27,424,1340
46,NC,CATAWBA,41,448,1484
47,NC,CATAWBA,15,289,10
48,NC,CATAWBA,36,511,889
49,NC,CATAWBA,12,559,145
50,NC,CATAWBA,17,276,393
51,NC,CATAWBA,09,185,1069
52,NC,CATAWBA,10,152,92
53,NC,CATAWBA,26,486,631
54,NC,CATAWBA,23,699,1545
55,NC,CATAWBA,24,571,1593
56,NC,CATAWBA,40,0,0
57,NC,CATAWBA,03,280,842
58,NC,CATAWBA,06,382,921
59,NC,BUNCOMBE,62.1,307,286
60,NC,BUNCOMBE,27.2,0,0
61,NC,BUNCOMBE,33.3,200,237
62,NC,BUNCOMBE,28.1,337,73
63,NC,BUNCOMBE,03.1,507,44
64,NC,BUNCOMBE,25.1,338,193
65,NC,BUNCOMBE,CURBSIDE,0,0
66,NC,BUNCOMBE,OS FVBL,0,0
67,NC,BUNCOMBE,23.3,162,106
68,NC,BUNCOMBE,20.1,169,37
69,NC,BUNCOMBE,17.1,267,104
70,NC,BUNCOMBE,35.1,169,173
71,NC,BUNCOMBE,19.1,162,89
72,NC,BUNCOMBE,11.1,255,25
73,NC,BUNCOMBE,37.1,126,265
74,NC,BUNCOMBE,57.1,255,420
75,NC,BUNCOMBE,OS SBBL,0,0
76,NC,BUNCOMBE,OS WGSC,3001,136
77,NC,BUNCOMBE,38.3,248,477
78,NC,BUNCOMBE,02.1,673,64
79,NC,BUNCOMBE,06.1,251,119
80,NC,BUNCOMBE,OS AVML,5548,1441
81,NC,BUNCOMBE,OS BMBL,4290,2506
82,NC,BUNCOMBE,OS BCPI,2016,349
83,NC,BUNCOMBE,56.2,0,0
84,NC,BUNCOMBE,12.1,0,0
85,NC,BUNCOMBE,29.2,397,269
86,NC,BUNCOMBE,OS NABL,4289,548
87,NC,BUNCOMBE,60.4,0,0
88,NC,BUNCOMBE,OS WABL,0,0
89,NC,BUNCOMBE,61.1,0,0
90,NC,BUNCOMBE,38.2,117,280
91,NC,BUNCOMBE,66.1,196,210
92,NC,BUNCOMBE,33.2,132,130
93,NC,BUNCOMBE,22.2,337,152
94,NC,BUNCOMBE,08.2,425,126
95,NC,BUNCOMBE,07.1,408,102
96,NC,BUNCOMBE,34.1,161,136
97,NC,BUNCOMBE,64.1,0,0
98,NC,BUNCOMBE,OS ECBL,128,60
99,NC,BUNCOMBE,10.1,306,25
100,NC,BUNCOMBE,08.3,465,120
101,NC,BUNCOMBE,32.1,0,0
102,NC,BUNCOMBE,39.3,169,305
103,NC,BUNCOMBE,PROVISIONAL,0,0
104,NC,BUNCOMBE,14.2,348,90
105,NC,BUNCOMBE,36.1,178,225
106,NC,BUNCOMBE,23.2,66,44
107,NC,BUNCOMBE,ABSENTEE,0,0
108,NC,BUNCOMBE,65.1,0,0
109,NC,BUNCOMBE,01.1,0,0
110,NC,BUNCOMBE,21.1,413,186
111,NC,BUNCOMBE,39.2,0,0
112,NC,BUNCOMBE,OS WVTH,123,39
113,NC,BUNCOMBE,OS LCBL,20,30
114,NC,BUNCOMBE,55.1,312,395
115,NC,BUNCOMBE,09.1,652,283
116,NC,BUNCOMBE,TRANSFER,0,0
117,NC,BUNCOMBE,60.2,0,0
118,NC,GASTON,45,840,889
119,NC,GASTON,03,531,273
120,NC,GASTON,06,557,155
121,NC,GASTON,09,429,455
122,NC,GASTON,26,0,0
123,NC,GASTON,40,717,1503
124,NC,GASTON,23,820,1224
125,NC,GASTON,10,0,0
126,NC,GASTON,37,227,540
127,NC,GASTON,31,411,1301
128,NC,GASTON,18,1404,1590
129,NC,GASTON,21,0,0
130,NC,GASTON,30,0,0
131,NC,GASTON,33,175,817
132,NC,GASTON,13,467,807
133,NC,GASTON,11,406,269
134,NC,GASTON,34,189,830
135,NC,GASTON,08,0,0
136,NC,GASTON,02,604,397
137,NC,GASTON,05,544,331
138,NC,GASTON,29,656,1708
139,NC,GASTON,22,608,1452
140,NC,GASTON,42,397,947
141,NC,GASTON,44,734,1844
142,NC,GASTON,36,0,0
143,NC,GASTON,17,0,0
144,NC,GASTON,15,1355,2082
145,NC,GASTON,12,437,864
146,NC,GASTON,24,554,796
147,NC,GASTON,43,727,1455
148,NC,GASTON,46,662,1762
149,NC,GASTON,04,905,1299
150,NC,GASTON,25,378,774
151,NC,GASTON,28,0,0
152,NC,GASTON,41,401,1149
153,NC,GASTON,27,877,1744
154,NC,GASTON,07,470,34
155,NC,GASTON,19,643,1406
156,NC,GASTON,14,287,427
157,NC,GASTON,16,0,0
158,NC,GASTON,32,0,0
159,NC,GASTON,35,178,606
160,NC,GASTON,38,0,0
161,NC,GASTON,39,249,1497
162,NC,GASTON,20,337,1188
163,NC,GASTON,01,387,313
