,STATE,COUNTY,PRECINCT,DEM,REP
0,VA,ALEXANDRIA CITY,# AB - Central Absentee Precinct,0,0
1,VA,ALEXANDRIA CITY,## Provisional,34,24
2,VA,ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING,0,0
3,VA,ALEXANDRIA CITY,102 - CITY HALL,754,455
4,VA,ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL,1027,556
5,VA,ALEXANDRIA CITY,104 - DURANT CENTER,1150,436
6,VA,ALEXANDRIA CITY,105 - LEE CENTER,985,462
7,VA,ALEXANDRIA CITY,106 - CORA KELLY CENTER,0,0
8,VA,ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER,1475,480
9,VA,ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH,1376,398
10,VA,ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS,1130,600
11,VA,ALEXANDRIA CITY,201 - MAURY SCHOOL,1027,390
12,VA,ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL,0,0
13,VA,ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE,0,0
14,VA,ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH,965,466
15,VA,ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL,0,0
16,VA,ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR,793,329
17,VA,ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE,1025,577
18,VA,ALEXANDRIA CITY,208 - NOVA ARTS CENTER,722,319
19,VA,ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL,1110,390
20,VA,ALEXANDRIA CITY,210 - The Hermitage,496,229
21,VA,ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER,638,200
22,VA,ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY,903,238
23,VA,ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL,997,326
24,VA,ALEXANDRIA CITY,305 - JOHN ADAMS SCHOOL,0,0
25,VA,ALEXANDRIA CITY,306 - WILLIAM RAMSAY SCHOOL,869,236
26,VA,ALEXANDRIA CITY,307 - SOUTH PORT,862,291
27,VA,ALEXANDRIA CITY,308 - CAMERON STATION COMMUNITY CTR,893,555
28,VA,ARLINGTON COUNTY,# AB - Central Absentee Precinct,4952,1789
29,VA,ARLINGTON COUNTY,## Provisional,51,17
30,VA,ARLINGTON COUNTY,001 - ARLINGTON,654,174
31,VA,ARLINGTON COUNTY,002 - ASHTON HEIGHTS,0,0
32,VA,ARLINGTON COUNTY,003 - AURORA HILLS,595,346
33,VA,ARLINGTON COUNTY,004 - BALLSTON,0,0
34,VA,ARLINGTON COUNTY,005 - BARCROFT,0,0
35,VA,ARLINGTON COUNTY,006 - CRYSTAL CITY,531,300
36,VA,ARLINGTON COUNTY,007 - CHERRYDALE,918,401
37,VA,ARLINGTON COUNTY,008 - HUME,787,478
38,VA,ARLINGTON COUNTY,009 - COLUMBIA,1004,301
39,VA,ARLINGTON COUNTY,010 - WILSON,0,0
40,VA,ARLINGTON COUNTY,011 - EAST FALLS CHURCH,708,300
41,VA,ARLINGTON COUNTY,012 - FAIRLINGTON,914,430
42,VA,ARLINGTON COUNTY,013 - GLEN CARLYN,623,202
43,VA,ARLINGTON COUNTY,014 - CLARENDON,557,261
44,VA,ARLINGTON COUNTY,015 - LYON PARK,0,0
45,VA,ARLINGTON COUNTY,016 - LYON VILLAGE,822,329
46,VA,ARLINGTON COUNTY,017 - OVERLEE KNOLLS,1034,409
47,VA,ARLINGTON COUNTY,018 - PARK LANE,942,338
48,VA,ARLINGTON COUNTY,019 - ROSSLYN,0,0
49,VA,ARLINGTON COUNTY,020 - THRIFTON,0,0
50,VA,ARLINGTON COUNTY,021 - VIRGINIA HIGHLANDS,0,0
51,VA,ARLINGTON COUNTY,022 - ABINGDON,935,384
52,VA,ARLINGTON COUNTY,023 - WESTOVER,900,344
53,VA,ARLINGTON COUNTY,024 - WOODLAWN,0,0
54,VA,ARLINGTON COUNTY,025 - ARLINGTON FOREST,0,0
55,VA,ARLINGTON COUNTY,026 - FILLMORE,1000,334
56,VA,ARLINGTON COUNTY,027 - JEFFERSON,928,345
57,VA,ARLINGTON COUNTY,028 - WAKEFIELD,923,275
58,VA,ARLINGTON COUNTY,029 - DOMINION HILLS,1086,367
59,VA,ARLINGTON COUNTY,030 - GLEBE,0,0
60,VA,ARLINGTON COUNTY,031 - LEXINGTON,0,0
