,COUNTY,PRECINCT,STATE,DEM,REP
0,ASHLEY,BEECH CREEK,AR,0,0
1,ASHLEY,BOYDELL,AR,0,0
2,ASHLEY,COOTER,AR,0,0
3,ASHLEY,CROSSROADS,AR,0,4
4,ASHLEY,CW1,AR,8,4
5,ASHLEY,CW2,AR,5,5
6,ASHLEY,CW3,AR,2,7
7,ASHLEY,FH CITY,AR,0,0
8,ASHLEY,FH RURAL,AR,0,1
9,ASHLEY,HAMBURG RURAL,AR,1,7
10,ASHLEY,HICKORY GROVE,AR,1,2
11,ASHLEY,HW1,AR,2,0
12,ASHLEY,HW2,AR,3,4
13,ASHLEY,HW3,AR,3,3
14,ASHLEY,MILO,AR,3,4
15,ASHLEY,MIST,AR,0,0
16,ASHLEY,MONTROSE CITY,AR,2,0
17,ASHLEY,MONTROSE RURAL,AR,0,0
18,ASHLEY,MT ZION,AR,0,5
19,ASHLEY,NCE,AR,2,5
20,ASHLEY,NCW,AR,0,0
21,ASHLEY,PARKDALE CITY,AR,0,0
22,ASHLEY,PARKDALE RURAL,AR,0,0
23,ASHLEY,PORTLAND CITY,AR,1,3
24,ASHLEY,PORTLAND RURAL,AR,0,0
25,ASHLEY,SNY/TRA,AR,0,0
26,ASHLEY,VOTECH,AR,1,3
27,ASHLEY,WCR,AR,1,2
28,ASHLEY,WILMOT CITY,AR,3,1
29,ASHLEY,WILMOT RURAL,AR,0,2
30,BRADLEY,BANKS CITY,AR,10,19
31,BRADLEY,BANKS RURAL,AR,25,57
32,BRADLEY,EAGLE LAKE,AR,13,29
33,BRADLEY,HERMITAGE CITY,AR,17,29
34,BRADLEY,HERMITAGE RURAL,AR,15,98
35,BRADLEY,JERSEY,AR,26,39
36,BRADLEY,JOHNSVILLE,AR,15,40
37,BRADLEY,MARION,AR,1,29
38,BRADLEY,NORTH,AR,25,213
39,BRADLEY,SOUTH,AR,14,101
40,BRADLEY,SPRINGHILL,AR,7,61
41,BRADLEY,WARD 1,AR,121,61
42,BRADLEY,WARD 2,AR,0,0
43,BRADLEY,WARD 3,AR,99,88
44,CALHOUN,CHAMBERSVILLE,AR,21,72
45,CALHOUN,CHAMBERSVILLE WEST,AR,0,0
46,CALHOUN,CHAMPAGNOLLE,AR,16,79
47,CALHOUN,DR. RHINE PARK,AR,3,17
48,CALHOUN,HAMPTON CITY,AR,22,50
49,CALHOUN,HAMPTON RURAL,AR,0,0
50,CALHOUN,HAMPTON SOUTH CITY,AR,39,26
51,CALHOUN,HAMPTON SOUTH RURAL,AR,0,3
52,CALHOUN,HARRELL CITY,AR,17,20
53,CALHOUN,HARRELL RURAL 7,AR,2,0
54,CALHOUN,HARRELL RURAL 8,AR,23,28
55,CALHOUN,LOCUST,AR,29,118
56,CALHOUN,LOCUST NORTH,AR,2,20
57,CALHOUN,THORNTON CITY,AR,59,49
58,CALHOUN,THORNTON RURAL,AR,1,47
59,CALHOUN,TINSMAN CITY,AR,5,15
60,CALHOUN,TINSMAN RURAL,AR,8,35
61,CALHOUN,TINSMAN WEST,AR,2,31
62,CALHOUN,WATSON ADDITION,AR,2,19
63,CALHOUN,WOODBERRY,AR,9,50
64,CLARK,AMITY CITY,AR,0,0
65,CLARK,ARKADELPHIA WARD 1,AR,6,2
66,CLARK,ARKADELPHIA WARD 2,AR,13,10
67,CLARK,ARKADELPHIA WARD 3,AR,13,8
68,CLARK,ARKADELPHIA WARD 4,AR,19,11
69,CLARK,ARKADELPHIA WARD 5,AR,17,10
70,CLARK,CADDO VALLEY WARDS 1-3,AR,4,2
71,CLARK,CENTRAL,AR,9,10
72,CLARK,CURTIS,AR,1,0
73,CLARK,EAST COUNTY,AR,0,0
74,CLARK,GUM SPRINGS INSIDE/OUTSIDE,AR,3,1
75,CLARK,GURDON GENERAL,AR,1,2
76,CLARK,GURDON WARDS 1-5,AR,0,0
77,CLARK,HOLLYWOOD,AR,1,1
78,CLARK,NORTH COUNTY,AR,3,8
79,CLARK,NORTHEAST COUNTY,AR,5,11
80,CLARK,OKOLONA CITY,AR,0,0
81,CLARK,SOUTH COUNTY,AR,4,1
82,CLARK,WEST COUNTY,AR,14,5
83,CLARK,WHELEN SPRINGS,AR,0,0
84,CLEVELAND,BOWMAN,AR,0,0
85,CLEVELAND,HARPER,AR,17,88
86,CLEVELAND,HUDGIN,AR,14,57
87,CLEVELAND,HURRICANE,AR,11,114
88,CLEVELAND,KINGSLAND INSIDE,AR,31,49
89,CLEVELAND,KINGSLAND OUTSIDE,AR,0,0
90,CLEVELAND,LEE,AR,21,66
91,CLEVELAND,MILLER,AR,21,151
92,CLEVELAND,NIVEN,AR,6,50
93,CLEVELAND,REDLAND,AR,40,124
94,CLEVELAND,RISON INSIDE,AR,51,62
95,CLEVELAND,RISON OUTSIDE,AR,11,31
96,CLEVELAND,ROWELL,AR,8,61
97,CLEVELAND,SALINE,AR,0,0
98,CLEVELAND,SMITH,AR,12,72
99,CLEVELAND,WHITEOAK,AR,4,78
100,CLEVELAND,WHITEVILLE,AR,28,171
101,COLUMBIA,COLUMBIA NORTH,AR,41,183
102,COLUMBIA,COLUMBIA SOUTH,AR,0,0
103,COLUMBIA,EMERSON CITY,AR,25,37
104,COLUMBIA,EMERSON TOWNSHIP,AR,55,131
105,COLUMBIA,MAG WARD 1,AR,0,0
106,COLUMBIA,MAG WARD 2,AR,104,26
107,COLUMBIA,MAG WARD 3,AR,51,130
108,COLUMBIA,MAG WARD 4,AR,76,132
109,COLUMBIA,MCNEIL CITY,AR,26,31
110,COLUMBIA,MCNEIL TOWNSHIP,AR,49,68
111,COLUMBIA,TAYLOR,AR,20,115
112,COLUMBIA,TAYLOR TOWNSHIP,AR,0,0
113,COLUMBIA,WALDO,AR,142,52
