,STATE,COUNTY,PRECINCT,DEM,REP
0,FL,Broward,A001,0,0
1,FL,Broward,A002,299,188
2,FL,Broward,A004,0,0
3,FL,Broward,A005,0,0
4,FL,Broward,A008,0,0
5,FL,Broward,A010,0,0
6,FL,Broward,B001,0,0
7,FL,Broward,B002,296,592
8,FL,Broward,B003,0,0
9,FL,Broward,B004,396,906
10,FL,Broward,B005,0,0
11,FL,Broward,B006,145,212
12,FL,Broward,C001,0,0
13,FL,Broward,C002,0,0
14,FL,Broward,C003,0,0
15,FL,Broward,C004,0,0
16,FL,Broward,C007,0,0
17,FL,Broward,C008,0,0
18,FL,Broward,C010,0,0
19,FL,Broward,C011,0,0
20,FL,Broward,C012,0,0
21,FL,Broward,C013,0,0
22,FL,Broward,C014,225,267
23,FL,Broward,C015,0,0
24,FL,Broward,C016,0,0
25,FL,Broward,C017,203,379
26,FL,Broward,C018,0,0
27,FL,Broward,C019,0,0
28,FL,Broward,C020,0,0
29,FL,Broward,C022,0,0
30,FL,Broward,C025,0,0
31,FL,Broward,C027,0,0
32,FL,Broward,C029,243,302
33,FL,Broward,C030,0,0
34,FL,Broward,C031,0,0
35,FL,Broward,C033,0,0
36,FL,Broward,C034,0,0
37,FL,Broward,C038,0,0
38,FL,Broward,D001,0,0
39,FL,Broward,D002,0,0
40,FL,Broward,D003,0,0
41,FL,Broward,D006,0,0
42,FL,Broward,D011,0,0
43,FL,Broward,D014,0,0
44,FL,Broward,D015,0,0
45,FL,Broward,D016,736,378
46,FL,Broward,M014,0,0
47,FL,Broward,M029,0,0
48,FL,Broward,N003,0,0
49,FL,Broward,N005,218,120
50,FL,Broward,N006,0,0
51,FL,Broward,N007,0,0
52,FL,Broward,N008,860,584
53,FL,Broward,N009,0,0
54,FL,Broward,N010,0,0
55,FL,Broward,N011,423,399
56,FL,Broward,N012,0,0
57,FL,Broward,N015,0,0
58,FL,Broward,N016,0,0
59,FL,Broward,N017,0,0
60,FL,Broward,N018,0,0
61,FL,Broward,N019,0,0
62,FL,Broward,N020,630,448
63,FL,Broward,N021,0,0
64,FL,Broward,N022,1105,499
65,FL,Broward,N023,0,0
66,FL,Broward,N024,0,0
67,FL,Broward,N025,874,502
68,FL,Broward,N026,0,0
69,FL,Broward,N027,0,0
70,FL,Broward,N028,0,0
71,FL,Broward,N029,876,440
72,FL,Broward,P001,0,0
73,FL,Broward,P002,0,0
74,FL,Broward,P003,0,0
75,FL,Broward,P004,665,137
76,FL,Broward,P005,0,0
77,FL,Broward,P006,0,0
78,FL,Broward,Q010,0,0
79,FL,Broward,Q020,52,193
80,FL,Broward,Q030,619,723
81,FL,Broward,Q031,0,0
82,FL,Broward,R001,0,0
83,FL,Broward,R002,518,558
84,FL,Broward,R003,0,0
85,FL,Broward,R004,0,0
86,FL,Broward,R005,264,291
87,FL,Broward,R006,288,195
88,FL,Broward,R007,0,0
89,FL,Broward,R008,0,0
90,FL,Broward,R009,446,386
91,FL,Broward,R010,256,318
92,FL,Broward,R011,0,0
93,FL,Broward,R012,0,0
94,FL,Broward,R013,0,0
95,FL,Broward,R014,0,0
96,FL,Broward,R015,0,0
97,FL,Broward,R016,634,285
98,FL,Broward,R017,227,73
99,FL,Broward,R018,687,215
100,FL,Broward,R019,0,0
101,FL,Broward,R020,0,0
102,FL,Broward,R021,695,105
103,FL,Broward,R032,0,0
104,FL,Broward,R034,0,0
105,FL,Broward,R035,0,0
106,FL,Broward,R036,0,0
107,FL,Broward,R037,0,0
108,FL,Broward,R038,0,0
109,FL,Broward,R039,0,0
110,FL,Broward,R040,0,0
111,FL,Broward,R041,308,140
112,FL,Broward,R042,258,158
113,FL,Broward,R043,0,0
114,FL,Broward,R044,0,0
115,FL,Broward,R045,422,208
116,FL,Broward,R046,0,0
117,FL,Broward,R047,410,237
118,FL,Broward,R048,0,0
119,FL,Broward,R049,0,0
120,FL,Broward,R052,0,0
121,FL,Broward,R054,271,186
122,FL,Broward,R055,0,0
123,FL,Broward,R058,0,0
124,FL,Broward,R059,0,0
125,FL,Broward,R060,344,141
126,FL,Broward,R061,0,0
127,FL,Broward,R065,0,0
128,FL,Broward,R066,0,0
129,FL,Broward,R067,0,0
130,FL,Broward,R068,0,0
131,FL,Broward,Z003,0,0
132,FL,Broward,Z005,0,0
133,FL,Broward,Z073,0,0
