,STATE,COUNTY,PRECINCT,DEM,REP
0,CO,ADAMS,4253001245,32,188
1,CO,ADAMS,4255601241,0,0
2,CO,ADAMS,4255601246,118,473
3,CO,ADAMS,4255601247,48,244
4,CO,ADAMS,4255601248,273,1095
5,CO,ADAMS,4255601249,0,0
6,CO,ADAMS,4255601250,39,166
7,CO,ADAMS,4255601251,0,13
8,CO,ARAPAHOE,4283603348,0,0
9,CO,ARAPAHOE,4283603350,0,0
10,CO,ARAPAHOE,4293603358,0,0
11,CO,ARAPAHOE,4293603361,0,0
12,CO,ARAPAHOE,4295603357,0,0
13,CO,ARAPAHOE,4295603359,0,0
14,CO,ARAPAHOE,4295603362,0,0
15,CO,ARAPAHOE,4295603363,123,522
16,CO,ARAPAHOE,4295603364,142,568
17,CO,ARAPAHOE,4295603365,53,296
18,CO,BACA,4356405001,33,185
19,CO,BACA,4356405002,38,198
20,CO,BACA,4356405003,22,106
21,CO,BACA,4356405004,38,198
22,CO,BACA,4356405005,16,88
23,CO,BACA,4356405006,23,97
24,CO,BACA,4356405007,0,0
25,CO,BACA,4356405008,77,209
26,CO,BACA,4356405009,0,0
27,CO,BENT,4356406001,39,180
28,CO,BENT,4356406002,0,0
29,CO,BENT,4356406003,178,133
30,CO,BENT,4356406004,133,121
31,CO,BENT,4356406005,74,230
32,CO,BOULDER,4171107616,393,321
33,CO,BOULDER,4171107617,0,0
34,CO,BOULDER,4171107618,0,0
35,CO,BOULDER,4171107619,461,220
36,CO,BOULDER,4171107620,525,363
37,CO,BOULDER,4171107621,0,0
38,CO,BOULDER,4171107622,283,131
39,CO,BOULDER,4171107623,479,166
40,CO,BOULDER,4171107624,351,170
41,CO,BOULDER,4171107625,442,129
42,CO,BOULDER,4171107626,402,280
43,CO,BOULDER,4171107627,225,186
44,CO,BOULDER,4171107628,292,239
45,CO,BOULDER,4171107629,208,111
46,CO,BOULDER,4171107630,0,0
47,CO,BOULDER,4171107631,183,136
48,CO,BOULDER,4171107632,327,397
49,CO,BOULDER,4171107633,211,155
50,CO,BOULDER,4171107634,249,194
51,CO,BOULDER,4171107635,0,0
52,CO,BOULDER,4171107636,345,402
53,CO,BOULDER,4171107637,382,323
