,COUNTY,PRECINCT,STATE,DEM,REP
0,APPLING,1B,GA,0,0
1,APPLING,1C,GA,0,0
2,APPLING,2,GA,317,195
3,APPLING,3A1,GA,10,277
4,APPLING,3C,GA,85,228
5,APPLING,4B,GA,5,303
6,APPLING,4D,GA,38,336
7,APPLING,5A,GA,24,212
8,APPLING,5B,GA,0,0
9,BULLOCH,BAY,GA,53,548
10,BULLOCH,BLITCH,GA,104,518
11,BULLOCH,BROOKLET,GA,181,828
12,BULLOCH,CHURCH,GA,539,515
13,BULLOCH,EMIT,GA,0,0
14,BULLOCH,FAIR,GA,406,774
15,BULLOCH,HAGIN,GA,0,0
16,BULLOCH,LEEFIELD,GA,52,338
17,BULLOCH,LOCKHART,GA,57,219
18,BULLOCH,NEVILS,GA,0,0
19,BULLOCH,PITTMAN PARK,GA,0,0
20,BULLOCH,PORTAL,GA,162,437
21,BULLOCH,REGISTER,GA,87,193
22,BULLOCH,SINKHOLE,GA,21,199
23,BULLOCH,STATESBORO,GA,651,482
24,BULLOCH,STILSON,GA,95,634
25,BURKE,ALEXANDER,GA,0,0
26,BURKE,BLAKENEY,GA,71,53
27,BURKE,FOUR POINTS,GA,208,497
28,BURKE,GIRARD,GA,140,119
29,BURKE,GOUGH,GA,71,59
30,BURKE,GREENSCUT,GA,118,212
31,BURKE,KEYSVILLE,GA,108,69
32,BURKE,MIDVILLE,GA,97,91
33,BURKE,MUNNERLYN,GA,0,0
34,BURKE,NORTH WAYNESBORO,GA,457,137
35,BURKE,SARDIS,GA,136,256
36,BURKE,SCOTTS CROSSROADS,GA,74,42
37,BURKE,SOUTH WAYNESBORO,GA,332,333
38,BURKE,ST. CLAIR,GA,65,73
39,BURKE,TELFAIR,GA,0,0
40,BURKE,VIDETTE,GA,61,77
41,CANDLER,CANDLER-1736,GA,134,345
42,CANDLER,METTER -1685,GA,251,338
43,COFFEE,AMBROSE,GA,98,402
44,COFFEE,BRIDGETOWN,GA,38,92
